geocodigoFundar,geonombreFundar,anios_de_educacion,esperanza_de_vida_al_nacer,pbi_per_capita
NOR,Noruega,12.6,82.3,84580
CHE,Suiza,13.4,83.6,61373
IRL,Irlanda,12.5,82.1,64684
DEU,Alemania,14.1,81.2,46178
HKG,Hong Kong,12.0,84.7,50839
AUS,Australia,12.7,83.3,49831
SWE,Suecia,12.4,82.7,45542
SGP,Singapur,11.5,83.5,68402
NLD,Países Bajos,12.2,82.1,47474
DNK,Dinamarca,12.6,80.8,46312
FIN,Finlandia,12.4,81.7,38897
CAN,Canadá,13.3,82.3,44869
NZL,Nueva Zelanda,12.7,82.1,35336
GBR,Reino Unido,13.0,81.2,38058
USA,Estados Unidos,13.4,78.9,55335
BEL,Bélgica,11.8,81.5,39756
JPN,Japón,12.8,84.5,38674
AUT,Austria,12.6,81.4,42988
ISR,Israel,13.0,82.8,32955
KOR,Corea del Sur,12.2,82.8,37928
ESP,España,9.8,83.4,31497
CZE,Chequia,12.7,79.2,30749
FRA,Francia,11.4,82.5,38516
ITA,Italia,10.2,83.4,34364
GRC,Grecia,10.5,82.1,23451
POL,Polonia,12.3,78.5,27455
LTU,Lituania,13.0,75.7,27371
ARE,Emiratos Árabes Unidos,11.0,77.8,76398
SAU,Arabia Saudita,9.7,75.0,50305
SVK,Eslovaquia,12.6,77.4,27076
PRT,Portugal,9.2,81.9,27036
QAT,Qatar,9.7,80.1,153764
CHL,Chile,10.4,80.0,22105
HUN,Hungría,11.9,76.7,25623
HRV,Croacia,11.4,78.3,22012
OMN,Omán,9.7,77.6,36478
ARG,Argentina,10.6,76.5,18556
RUS,Rusia,12.0,72.4,24669
BLR,Belarús,12.3,74.6,18727
KAZ,Kazajstán,11.8,73.2,25308
BGR,Bulgaria,11.8,74.9,18444
ROU,Rumania,11.0,75.9,20126
KWT,Kuwait,7.3,75.4,65521
URY,Uruguay,8.7,77.8,20186
TUR,Turquía,7.7,77.4,19270
MYS,Malasia,10.2,76.0,24842
SER,Yugoslavia,11.2,75.8,14124
IRN,Irán,10.0,76.5,17011
PAN,Panamá,10.2,78.3,22637
CRI,Costa Rica,8.7,80.1,14686
ALB,Albania,10.1,78.5,11104
GEO,Georgia,12.8,73.6,11985
LKA,Sri Lanka,11.1,76.8,11663
CUB,Cuba,11.8,78.7,8326
BIH,Bosnia y Herzegovina,9.7,77.3,10461
MEX,México,8.6,75.0,16494
THA,Tailandia,7.7,76.9,16649
BRA,Brasil,7.8,75.7,14034
COL,Colombia,8.3,77.1,13545
ARM,Armenia,11.8,74.9,11454
DZA,Argelia,8.0,76.7,14228
PER,Perú,9.2,76.5,12310
ECU,Ecuador,9.0,76.8,10639
AZE,Azerbaiyán,10.5,72.9,16628
UKR,Ucrania,11.3,72.0,9813
DOM,Rep. Dominicana,7.9,73.9,15912
TUN,Túnez,7.2,76.5,11354
MNG,Mongolia,10.2,69.7,13383
LBN,Líbano,8.7,78.9,12559
JAM,Jamaica,9.8,74.4,7273
VEN,Venezuela,10.3,72.1,10710
PRY,Paraguay,8.5,74.1,9339
JOR,Jordania,10.5,74.4,11506
PHL,Filipinas,9.4,71.1,8139
MDA,Moldavia,11.6,71.8,6747
TKM,Turkmenistán,9.8,68.1,26318
UZB,Uzbekistán,11.5,71.6,11220
LBY,Libia,7.6,72.7,15013
IDN,Indonesia,8.0,71.5,11852
ZAF,Sudáfrica,10.2,63.9,12166
BOL,Bolivia,9.0,71.2,6696
EGY,Egipto,7.3,71.8,11957
VNM,Vietnam,8.2,75.3,6814
PSE,Palestina,9.1,73.9,5208
IRQ,Iraq,7.3,70.5,12836
MAR,Marruecos,5.5,76.5,8451
KGZ,Kirguistán,10.9,71.3,5177
SLV,El Salvador,6.9,73.1,8598
TJK,Tayikistán,10.7,70.9,4440
GTM,Guatemala,6.5,74.1,7402
NIC,Nicaragua,6.8,74.3,4952
IND,India,6.5,69.4,6806
HND,Honduras,6.6,75.1,5042
BGD,Bangladesh,6.1,72.3,4099
COG,Congo,6.5,64.3,5715
LAO,Laos,5.2,67.6,6451
GHA,Ghana,7.2,63.8,4267
ZMB,Zambia,7.1,63.5,3534
MMR,Myanmar,5.0,66.9,5838
KHM,Camboya,4.8,69.6,3629
KEN,Kenia,6.6,66.3,3377
AGO,Angola,5.1,60.8,7771
CMR,Camerún,6.3,58.9,2888
ZWE,Zimbabwe,8.3,61.2,1611
PAK,Pakistán,5.2,67.1,5510
SYR,Siria,5.1,71.8,3349
RWA,Ruanda,4.4,68.7,1929
NGA,Nigeria,6.5,54.3,5238
TZA,Tanzanía,6.0,65.0,2875
UGA,Uganda,6.1,63.0,2045
MRT,Mauritania,4.6,64.7,3458
MDG,Madagascar,6.1,66.7,1428
BEN,Benin,3.8,61.5,2220
CIV,Costa de Marfil,5.2,57.4,3714
SEN,Senegal,3.1,67.7,2617
TGO,Togo,4.9,60.8,1451
SDN,Sudán,3.7,65.1,3380
HTI,Haití,5.4,63.7,1729
AFG,Afganistán,3.9,64.5,1935
MWI,Malawi,4.6,63.8,1117
ETH,Etiopía,2.8,66.2,1838
GIN,Guinea,2.7,61.2,1606
LBR,Liberia,4.7,63.7,818
YEM,Yemen,3.2,66.1,2285
COD,Rep. Dem. Congo,6.8,60.4,859
MOZ,Mozambique,3.5,60.2,1133
SLE,Sierra Leona,3.6,54.3,1684
BFA,Burkina Faso,1.6,61.2,1590
MLI,Malí,2.4,58.9,1667
BDI,Burundi,3.1,61.2,651
TCD,Chad,2.4,54.0,2046
CAF,Rep. Centroafricana,4.3,52.8,623
NER,Níger,2.0,62.0,965
