geocodigoFundar,geonombreFundar,anio,pib_per_capita_ppa_porcentaje_eeuu
DEU,Alemania,1900,59.19698727
DEU,Alemania,1901,52.17571833
DEU,Alemania,1902,53.0962568
DEU,Alemania,1903,53.62726068
DEU,Alemania,1904,56.71968784
DEU,Alemania,1905,54.24646313
DEU,Alemania,1906,50.34011239
DEU,Alemania,1907,51.97705774
DEU,Alemania,1908,57.78758719
DEU,Alemania,1909,53.2755363
DEU,Alemania,1910,55.38155372
DEU,Alemania,1911,55.79356796
DEU,Alemania,1912,56.30193202
DEU,Alemania,1913,57.52886426
DEU,Alemania,1914,53.60378855
DEU,Alemania,1915,50.42460566
DEU,Alemania,1916,45.76260642
DEU,Alemania,1917,48.16217047
DEU,Alemania,1918,45.40980942
DEU,Alemania,1919,39.44580549
DEU,Alemania,1920,43.89867033
DEU,Alemania,1921,50.70863672
DEU,Alemania,1922,53.04846195
DEU,Alemania,1923,39.58905074
DEU,Alemania,1924,45.82665166
DEU,Alemania,1925,50.49430595
DEU,Alemania,1926,49.33134064
DEU,Alemania,1927,54.4726262
DEU,Alemania,1928,56.92918297
DEU,Alemania,1929,54.01432892
DEU,Alemania,1930,59.2146855
DEU,Alemania,1931,58.61465569
DEU,Alemania,1932,63.94603188
DEU,Alemania,1933,70.42547072
DEU,Alemania,1934,70.9580573
DEU,Alemania,1935,67.83503209
DEU,Alemania,1936,67.13656044
DEU,Alemania,1937,66.11717201
DEU,Alemania,1938,75.62130906
DEU,Alemania,1939,77.13413622
DEU,Alemania,1940,71.73620769
DEU,Alemania,1941,67.16395063
DEU,Alemania,1942,61.52713805
DEU,Alemania,1943,58.49764995
DEU,Alemania,1944,57.04931674
DEU,Alemania,1945,43.66546743
DEU,Alemania,1946,23.84218582
DEU,Alemania,1947,27.13193722
DEU,Alemania,1948,30.65650087
DEU,Alemania,1949,36.84666378
DEU,Alemania,1950,40.59055118
DEU,Alemania,1951,41.5751938
DEU,Alemania,1952,44.13159815
DEU,Alemania,1953,46.21386771
DEU,Alemania,1954,50.65406977
DEU,Alemania,1955,53.19516408
DEU,Alemania,1956,56.59596482
DEU,Alemania,1957,59.4507641
DEU,Alemania,1958,63.37188717
DEU,Alemania,1959,63.91061453
DEU,Alemania,1960,68.01794318
DEU,Alemania,1961,69.73865199
DEU,Alemania,1962,69.06618887
DEU,Alemania,1963,68.49953879
DEU,Alemania,1964,69.06679764
DEU,Alemania,1965,68.45254792
DEU,Alemania,1966,66.4210573
DEU,Alemania,1967,65.57656948
DEU,Alemania,1968,66.3669748
DEU,Alemania,1969,68.77867328
DEU,Alemania,1970,72.11369897
DEU,Alemania,1971,72.38255309
DEU,Alemania,1972,72.01148973
DEU,Alemania,1973,71.70137584
DEU,Alemania,1974,73.1492049
DEU,Alemania,1975,73.94436739
DEU,Alemania,1976,74.72096977
DEU,Alemania,1977,74.41519946
DEU,Alemania,1978,73.23294407
DEU,Alemania,1979,74.47661024
DEU,Alemania,1980,75.97514437
DEU,Alemania,1981,75.03659835
DEU,Alemania,1982,76.61759671
DEU,Alemania,1983,75.73446515
DEU,Alemania,1984,73.46302531
DEU,Alemania,1985,73.07936892
DEU,Alemania,1986,72.84194978
DEU,Alemania,1987,72.0616182
DEU,Alemania,1988,71.82611605
DEU,Alemania,1989,71.80596365
DEU,Alemania,1990,68.65772538
DEU,Alemania,1991,73.41485138
DEU,Alemania,1992,73.53607858
DEU,Alemania,1993,72.16523491
DEU,Alemania,1994,72.51231185
DEU,Alemania,1995,73.28887488
DEU,Alemania,1996,72.62555032
DEU,Alemania,1997,72.35141999
DEU,Alemania,1998,72.27209454
DEU,Alemania,1999,71.98428061
DEU,Alemania,2000,72.71704153
DEU,Alemania,2001,74.6769275
DEU,Alemania,2002,74.76485743
DEU,Alemania,2003,73.61729511
DEU,Alemania,2004,73.26608114
DEU,Alemania,2005,72.91460868
DEU,Alemania,2006,75.29063625
DEU,Alemania,2007,78.09596109
DEU,Alemania,2008,80.98424616
DEU,Alemania,2009,80.4139933
DEU,Alemania,2010,83.44257216
DEU,Alemania,2011,86.94313035
DEU,Alemania,2012,85.9626146
DEU,Alemania,2013,85.35281049
DEU,Alemania,2014,85.01471044
DEU,Alemania,2015,84.22163488
DEU,Alemania,2016,84.29501085
DEU,Alemania,2017,84.46892886
DEU,Alemania,2018,83.45140716
DEU,Alemania,2019,82.63677102
DEU,Alemania,2020,82.45886956
DEU,Alemania,2021,80.09454668
DEU,Alemania,2022,79.58712808
ARG,Argentina,1900,57.01971262
ARG,Argentina,1901,52.34674888
ARG,Argentina,1902,49.87202086
ARG,Argentina,1903,53.33647678
ARG,Argentina,1904,58.70499234
ARG,Argentina,1905,60.79155983
ARG,Argentina,1906,56.19174966
ARG,Argentina,1907,55.41405575
ARG,Argentina,1908,64.94001268
ARG,Argentina,1909,60.17482031
ARG,Argentina,1910,63.21611866
ARG,Argentina,1911,61.3297854
ARG,Argentina,1912,62.37616574
ARG,Argentina,1913,59.87354884
ARG,Argentina,1914,57.85823199
ARG,Argentina,1915,56.42623585
ARG,Argentina,1916,48.19845272
ARG,Argentina,1917,45.52118429
ARG,Argentina,1918,49.43987032
ARG,Argentina,1919,50.441252
ARG,Argentina,1920,54.52614739
ARG,Argentina,1921,57.18933693
ARG,Argentina,1922,57.90374491
ARG,Argentina,1923,56.11836008
ARG,Argentina,1924,58.09442564
ARG,Argentina,1925,56.02805138
ARG,Argentina,1926,54.65424896
ARG,Argentina,1927,57.44685587
ARG,Argentina,1928,59.73241471
