"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
"1900","Alemania","DEU","103.8184595"
"1901","Alemania","DEU","99.6732738"
"1902","Alemania","DEU","106.4650196"
"1903","Alemania","DEU","100.5451877"
"1904","Alemania","DEU","96.61816752"
"1905","Alemania","DEU","89.23354373"
"1906","Alemania","DEU","89.58630528"
"1907","Alemania","DEU","93.79760609"
"1908","Alemania","DEU","88.98610396"
"1909","Alemania","DEU","88.53459973"
"1910","Alemania","DEU","87.60669731"
"1911","Alemania","DEU","90.97303634"
"1912","Alemania","DEU","90.26193154"
"1913","Alemania","DEU","96.08393919"
"1914","Alemania","DEU","92.6467794"
"1915","Alemania","DEU","89.36375943"
"1916","Alemania","DEU","94.94621474"
"1917","Alemania","DEU","105.801664"
"1918","Alemania","DEU","91.84856094"
"1919","Alemania","DEU","78.2014798"
"1920","Alemania","DEU","80.50939306"
"1921","Alemania","DEU","88.66799205"
"1922","Alemania","DEU","91.61490683"
"1923","Alemania","DEU","70.54563013"
"1924","Alemania","DEU","78.88304455"
"1925","Alemania","DEU","90.12325916"
"1926","Alemania","DEU","90.26076029"
"1927","Alemania","DEU","94.82264151"
"1928","Alemania","DEU","95.30701754"
"1929","Alemania","DEU","92.75966097"
"1930","Alemania","DEU","97.38582193"
"1931","Alemania","DEU","98.37755619"
"1932","Alemania","DEU","95.45778411"
"1933","Alemania","DEU","98.1981982"
"1934","Alemania","DEU","100.3426334"
"1935","Alemania","DEU","104.3043202"
"1936","Alemania","DEU","113.7748557"
"1937","Alemania","DEU","113.581749"
"1938","Alemania","DEU","122.6313357"
"1939","Alemania","DEU","130.323654"
"1940","Alemania","DEU","129.8356701"
"1941","Alemania","DEU","132.6774523"
"1942","Alemania","DEU","133.9727632"
"1943","Alemania","DEU","140.8490849"
"1944","Alemania","DEU","132.8675161"
"1945","Alemania","DEU","103.6295549"
"1946","Alemania","DEU","47.52555137"
"1947","Alemania","DEU","47.867357"
"1948","Alemania","DEU","53.95365504"
"1949","Alemania","DEU","65.02175264"
"1950","Alemania","DEU","77.82110957"
"1951","Alemania","DEU","82.90873114"
"1952","Alemania","DEU","96.51549408"
"1953","Alemania","DEU","100.6307118"
"1954","Alemania","DEU","105.3665911"
"1955","Alemania","DEU","110.6851941"
"1956","Alemania","DEU","116.8803419"
"1957","Alemania","DEU","118.8742102"
"1958","Alemania","DEU","118.2318617"
"1959","Alemania","DEU","136.9403878"
"1960","Alemania","DEU","138.6073807"
"1961","Alemania","DEU","135.6485445"
"1962","Alemania","DEU","144.8336833"
"1963","Alemania","DEU","153.7320299"
"1964","Alemania","DEU","148.8672454"
"1965","Alemania","DEU","144.1851305"
"1966","Alemania","DEU","148.511314"
"1967","Alemania","DEU","146.8529412"
"1968","Alemania","DEU","149.9570815"
"1969","Alemania","DEU","148.3551752"
"1970","Alemania","DEU","148.4405877"
"1971","Alemania","DEU","147.1048904"
"1972","Alemania","DEU","150.3779786"
"1973","Alemania","DEU","150.295485"
"1974","Alemania","DEU","144.7455586"
"1975","Alemania","DEU","148.254287"
"1976","Alemania","DEU","159.2470069"
"1977","Alemania","DEU","157.426715"
"1978","Alemania","DEU","172.3481196"
"1979","Alemania","DEU","170.0854049"
"1980","Alemania","DEU","171.9954128"
"1981","Alemania","DEU","186.0041237"
"1982","Alemania","DEU","193.7662338"
"1983","Alemania","DEU","193.970276"
"1984","Alemania","DEU","199.0707105"
"1985","Alemania","DEU","221.5052777"
"1986","Alemania","DEU","214.1293964"
"1987","Alemania","DEU","215.1379696"
"1988","Alemania","DEU","229.0910708"
"1989","Alemania","DEU","253.9497739"
"1990","Alemania","DEU","247.6204408"
"1991","Alemania","DEU","238.506744"
"1992","Alemania","DEU","223.240148"
"1993","Alemania","DEU","210.8078705"
"1994","Alemania","DEU","207.3485309"
"1995","Alemania","DEU","220.6087861"
"1996","Alemania","DEU","213.9956067"
"1997","Alemania","DEU","205.0374951"
"1998","Alemania","DEU","204.9892604"
"1999","Alemania","DEU","220.1123141"
"2000","Alemania","DEU","232.218086"
"2001","Alemania","DEU","250.9546978"
"2002","Alemania","DEU","285.9990066"
"2003","Alemania","DEU","265.2425267"
"2004","Alemania","DEU","250.4981281"
"2005","Alemania","DEU","235.9567532"
"2006","Alemania","DEU","230.521802"
"2007","Alemania","DEU","222.1793677"
"2008","Alemania","DEU","219.8421472"
"2009","Alemania","DEU","224.84271"
"2010","Alemania","DEU","216.5943087"
"2011","Alemania","DEU","215.9126131"
"2012","Alemania","DEU","221.0316853"
"2013","Alemania","DEU","218.4521713"
"2014","Alemania","DEU","228.9631445"
"2015","Alemania","DEU","227.1202954"
"2016","Alemania","DEU","236.7629139"
"2017","Alemania","DEU","237.5918323"
"2018","Alemania","DEU","248.8503197"
"2019","Alemania","DEU","258.5853254"
"2020","Alemania","DEU","279.0710655"
"2021","Alemania","DEU","261.9044627"
"2022","Alemania","DEU","253.9897872"
"1900","Argentina","ARG","100"
"1901","Argentina","ARG","100"
"1902","Argentina","ARG","100"
"1903","Argentina","ARG","100"
"1904","Argentina","ARG","100"
"1905","Argentina","ARG","100"
"1906","Argentina","ARG","100"
"1907","Argentina","ARG","100"
"1908","Argentina","ARG","100"
"1909","Argentina","ARG","100"
"1910","Argentina","ARG","100"
"1911","Argentina","ARG","100"
"1912","Argentina","ARG","100"
"1913","Argentina","ARG","100"
"1914","Argentina","ARG","100"
"1915","Argentina","ARG","100"
"1916","Argentina","ARG","100"
"1917","Argentina","ARG","100"
"1918","Argentina","ARG","100"
"1919","Argentina","ARG","100"
"1920","Argentina","ARG","100"
"1921","Argentina","ARG","100"
"1922","Argentina","ARG","100"
"1923","Argentina","ARG","100"
"1924","Argentina","ARG","100"
"1925","Argentina","ARG","100"
"1926","Argentina","ARG","100"
"1927","Argentina","ARG","100"
"1928","Argentina","ARG","100"
"1929","Argentina","ARG","100"
"1930","Argentina","ARG","100"
"1931","Argentina","ARG","100"
"1932","Argentina","ARG","100"
"1933","Argentina","ARG","100"
"1934","Argentina","ARG","100"
"1935","Argentina","ARG","100"
"1936","Argentina","ARG","100"
"1937","Argentina","ARG","100"
"1938","Argentina","ARG","100"
