"anio","remuneracion_al_trabajo_asalariado","otros"
"1935","35.4669383","64.5330617"
"1936","35.6213887","64.3786113"
"1937","33.8893203","66.1106797"
"1938","35.4296933","64.5703067"
"1939","35.0274067","64.9725933"
"1940","34.7092175","65.2907825"
"1941","34.1746826","65.8253174"
"1942","32.5448212","67.4551788"
"1943","33.2621452","66.7378548"
"1944","33.862657","66.137343"
"1945","34.9369945","65.0630055"
"1946","35.0470494","64.9529506"
"1947","36.4521013","63.5478987"
"1948","39.457023","60.542977"
"1949","44.0999302","55.9000698"
"1950","44.613468","55.386532"
"1951","42.5935447","57.4064553"
"1952","44.667894","55.332106"
"1953","44.6148765","55.3851235"
"1954","45.6399557","54.3600443"
"1955","42.8029843","57.1970157"
"1956","40.7101595","59.2898405"
"1957","39.301042","60.698958"
"1958","39.8851845","60.1148155"
"1959","33.8760379","66.1239621"
"1960","34.1402681","65.8597319"
"1961","36.6745173","63.3254827"
"1962","35.7227582","64.2772418"
"1963","34.8782433","65.1217567"
"1964","34.7242564","65.2757436"
"1965","36.4297175","63.5702825"
"1966","39.3099904","60.6900096"
"1967","40.8579125","59.1420875"
"1968","40.3243573","59.6756427"
"1969","40.0950943","59.9049057"
"1970","41.1440888","58.8559112"
"1971","41.7861536","58.2138464"
"1972","38.3743474","61.6256526"
"1973","42.0859597","57.9140403"
"1974","45.6936197","54.3063803"
"1975","44.3445797","55.6554203"
"1976","28.4729198","71.5270802"
"1977","27.3487198","72.6512802"
"1978","30.2307598","69.7692402"
"1979","32.9288398","67.0711602"
"1980","37.9468597","62.0531403"
"1981","35.6123021","64.3876979"
"1982","26.9217873","73.0782127"
"1983","31.0785845","68.9214155"
"1984","36.6053423","63.3946577"
"1985","36.3556506","63.6443494"
"1986","37.7937853","62.2062147"
"1987","37.1099946","62.8900054"
"1988","35.4820568","64.5179432"
"1989","29.5542897","70.4457103"
"1990","36.5667332","63.4332668"
"1991","39.4416269","60.5583731"
"1992","45.0655836","54.9344164"
"1993","45.7463222","54.2536778"
"1994","41.7519078","58.2480922"
"1995","40.1339098","59.8660902"
"1996","37.3011604","62.6988396"
"1997","36.5470349","63.4529651"
"1998","37.3540159","62.6459841"
"1999","39.3337912","60.6662088"
"2000","38.7772056","61.2227944"
"2001","39.9169521","60.0830479"
"2002","32.605594","67.394406"
"2003","31.9145394","68.0854606"
"2004","33.3045611","66.6954389"
"2005","35.2864423","64.7135577"
"2006","38.1302047","61.8697953"
"2007","39.2254357","60.7745643"
"2008","41.9318608","58.0681392"
"2009","46.8828952","53.1171048"
"2010","45.2208049","54.7791951"
"2011","47.4944223","52.5055777"
"2012","51.32703","48.67297"
"2013","52.0538691","47.9461309"
"2014","51.0832021","48.9167979"
"2015","53.0972294","46.9027706"
"2016","51.8371105","48.1628895"
"2017","51.8396559","48.1603441"
"2018","47.4033233","52.5966767"
"2019","45.8135479","54.1864521"
"2020","48.0274389","51.9725611"
"2021","43.13032243","56.86967757"
"2022","43.81316525","56.18683475"
