"anio","pbi_precios_const2004","pbi_precios_corr"
"2004","485115.1952","485115.1947"
"2005","528055.9425","582538.1729"
"2006","570549.4042","715904.2717"
"2007","621942.5026","896980.1741"
"2008","647176.1597","1149646.091"
"2009","608872.8764","1247929.269"
"2010","670523.6794","1661720.926"
"2011","710781.5972","2179024.104"
"2012","703485.9895","2637913.848"
"2013","720407.1053","3348308.488"
"2014","702306.046","4579086.425"
"2015","721487.1466","5954510.896"
"2016","706477.8486","8228159.557"
"2017","726389.9478","10660228.49"
"2018","707377.443","14744810.68"
"2019","693223.8036","21558444.15"
"2020","624591.2862","27209814.14"
"2021","691535.0423","46346227.35"
"2022","725810.0774","82436433.71"
