"anio","trimestre","serie","valor"
"2004","1","Pbi","475394.47"
"2004","2","Pbi","470404.36"
"2004","3","Pbi","493957.18"
"2004","4","Pbi","500704.77"
"2005","1","Pbi","515218.81"
"2005","2","Pbi","526579.69"
"2005","3","Pbi","530197.26"
"2005","4","Pbi","540228.01"
"2006","1","Pbi","554258.23"
"2006","2","Pbi","561518.09"
"2006","3","Pbi","577040.87"
"2006","4","Pbi","589380.43"
"2007","1","Pbi","603139.69"
"2007","2","Pbi","616365.13"
"2007","3","Pbi","624528.47"
"2007","4","Pbi","643736.72"
"2008","1","Pbi","649706.07"
"2008","2","Pbi","653304.74"
"2008","3","Pbi","658164.78"
"2008","4","Pbi","627529.05"
"2009","1","Pbi","604452.73"
"2009","2","Pbi","590939.87"
"2009","3","Pbi","614165.92"
"2009","4","Pbi","625932.99"
"2010","1","Pbi","644695.01"
"2010","2","Pbi","673584.31"
"2010","3","Pbi","677359.47"
"2010","4","Pbi","686455.92"
"2011","1","Pbi","702557.81"
"2011","2","Pbi","709655.98"
"2011","3","Pbi","715416.54"
"2011","4","Pbi","715496.05"
"2012","1","Pbi","707763.35"
"2012","2","Pbi","683964.56"
"2012","3","Pbi","705171.17"
"2012","4","Pbi","717044.88"
"2013","1","Pbi","716921.13"
"2013","2","Pbi","721253.02"
"2013","3","Pbi","725192.45"
"2013","4","Pbi","718261.82"
"2014","1","Pbi","707568.77"
"2014","2","Pbi","703292.45"
"2014","3","Pbi","697239.82"
"2014","4","Pbi","701123.14"
"2015","1","Pbi","711412.58"
"2015","2","Pbi","727819.79"
"2015","3","Pbi","727487.23"
"2015","4","Pbi","719228.98"
"2016","1","Pbi","712816.33"
"2016","2","Pbi","701217.91"
"2016","3","Pbi","703848.75"
"2016","4","Pbi","708028.4"
"2017","1","Pbi","714227.72"
"2017","2","Pbi","721980.31"
"2017","3","Pbi","731120.05"
"2017","4","Pbi","738231.71"
"2018","1","Pbi","735527.66"
"2018","2","Pbi","702460.92"
"2018","3","Pbi","700764.4"
"2018","4","Pbi","690756.79"
"2019","1","Pbi","691027.68"
"2019","2","Pbi","697071.59"
"2019","3","Pbi","697614.76"
"2019","4","Pbi","687181.19"
"2004","1","Pbi tendencia","480559.5"
"2004","2","Pbi tendencia","490113.8"
"2004","3","Pbi tendencia","499664.8"
"2004","4","Pbi tendencia","509197.1"
"2005","1","Pbi tendencia","518691.4"
"2005","2","Pbi tendencia","528123.5"
"2005","3","Pbi tendencia","537466.6"
"2005","4","Pbi tendencia","546693.3"
"2006","1","Pbi tendencia","555771.4"
"2006","2","Pbi tendencia","564664.9"
"2006","3","Pbi tendencia","573336.6"
"2006","4","Pbi tendencia","581747.3"
"2007","1","Pbi tendencia","589860.6"
"2007","2","Pbi tendencia","597644.3"
"2007","3","Pbi tendencia","605074.7"
"2007","4","Pbi tendencia","612140"
"2008","1","Pbi tendencia","618840.3"
"2008","2","Pbi tendencia","625195.5"
"2008","3","Pbi tendencia","631244.9"
"2008","4","Pbi tendencia","637045.3"
"2009","1","Pbi tendencia","642670.3"
"2009","2","Pbi tendencia","648187.6"
"2009","3","Pbi tendencia","653640.9"
"2009","4","Pbi tendencia","659038.4"
"2010","1","Pbi tendencia","664363.2"
"2010","2","Pbi tendencia","669578.1"
"2010","3","Pbi tendencia","674633.3"
"2010","4","Pbi tendencia","679481.9"
"2011","1","Pbi tendencia","684078.3"
"2011","2","Pbi tendencia","688381.4"
"2011","3","Pbi tendencia","692361.8"
"2011","4","Pbi tendencia","696003.2"
"2012","1","Pbi tendencia","699303.8"
"2012","2","Pbi tendencia","702273.8"
"2012","3","Pbi tendencia","704929.1"
"2012","4","Pbi tendencia","707273.7"
"2013","1","Pbi tendencia","709312.1"
"2013","2","Pbi tendencia","711054.6"
"2013","3","Pbi tendencia","712516.6"
"2013","4","Pbi tendencia","713719.5"
"2014","1","Pbi tendencia","714693"
"2014","2","Pbi tendencia","715469.3"
"2014","3","Pbi tendencia","716076.4"
"2014","4","Pbi tendencia","716534.6"
"2015","1","Pbi tendencia","716852.4"
"2015","2","Pbi tendencia","717028.6"
"2015","3","Pbi tendencia","717058.8"
"2015","4","Pbi tendencia","716945.1"
"2016","1","Pbi tendencia","716696.4"
"2016","2","Pbi tendencia","716322.7"
"2016","3","Pbi tendencia","715831.9"
"2016","4","Pbi tendencia","715222.3"
"2017","1","Pbi tendencia","714484.6"
"2017","2","Pbi tendencia","713605.2"
"2017","3","Pbi tendencia","712570.3"
"2017","4","Pbi tendencia","711371.2"
"2018","1","Pbi tendencia","710010.9"
"2018","2","Pbi tendencia","708509.3"
"2018","3","Pbi tendencia","706902.1"
"2018","4","Pbi tendencia","705221.1"
"2019","1","Pbi tendencia","703494.6"
"2019","2","Pbi tendencia","701741.5"
"2019","3","Pbi tendencia","699973.2"
"2019","4","Pbi tendencia","698197.9"
