"anio","nom_pcia","valor","cod_pcia"
"2004","Ciudad de Buenos Aires",0.0021,"2"
"2005","Ciudad de Buenos Aires",0.002,"2"
"2006","Ciudad de Buenos Aires",0.0017,"2"
"2007","Ciudad de Buenos Aires",0.0018,"2"
"2008","Ciudad de Buenos Aires",0.0018,"2"
"2009","Ciudad de Buenos Aires",0.0012,"2"
"2010","Ciudad de Buenos Aires",0.0018,"2"
"2011","Ciudad de Buenos Aires",0.0016,"2"
"2012","Ciudad de Buenos Aires",0.0014,"2"
"2013","Ciudad de Buenos Aires",0.0016,"2"
"2014","Ciudad de Buenos Aires",0.0016,"2"
"2015","Ciudad de Buenos Aires",0.0017,"2"
"2016","Ciudad de Buenos Aires",0.0016,"2"
"2017","Ciudad de Buenos Aires",0.0017,"2"
"2018","Ciudad de Buenos Aires",0.0014,"2"
"2019","Ciudad de Buenos Aires",0.0018,"2"
"2020","Ciudad de Buenos Aires",0.0019,"2"
"2021","Ciudad de Buenos Aires",0.0018,"2"
"2004","Buenos Aires",0.0889,"6"
"2005","Buenos Aires",0.0971,"6"
"2006","Buenos Aires",0.0868,"6"
"2007","Buenos Aires",0.0831,"6"
"2008","Buenos Aires",0.082,"6"
"2009","Buenos Aires",0.0604,"6"
"2010","Buenos Aires",0.0842,"6"
"2011","Buenos Aires",0.0811,"6"
"2012","Buenos Aires",0.0749,"6"
"2013","Buenos Aires",0.0779,"6"
"2014","Buenos Aires",0.0742,"6"
"2015","Buenos Aires",0.0814,"6"
"2016","Buenos Aires",0.0822,"6"
"2017","Buenos Aires",0.0793,"6"
"2018","Buenos Aires",0.0693,"6"
"2019","Buenos Aires",0.0875,"6"
"2020","Buenos Aires",0.089,"6"
"2021","Buenos Aires",0.0781,"6"
"2004","Catamarca",0.0501,"10"
"2005","Catamarca",0.0461,"10"
"2006","Catamarca",0.0444,"10"
"2007","Catamarca",0.041,"10"
"2008","Catamarca",0.0497,"10"
"2009","Catamarca",0.0429,"10"
"2010","Catamarca",0.0472,"10"
"2011","Catamarca",0.0449,"10"
"2012","Catamarca",0.0345,"10"
"2013","Catamarca",0.0253,"10"
"2014","Catamarca",0.024,"10"
"2015","Catamarca",0.0386,"10"
"2016","Catamarca",0.0482,"10"
"2017","Catamarca",0.0395,"10"
"2018","Catamarca",0.0412,"10"
"2019","Catamarca",0.0572,"10"
"2020","Catamarca",0.05,"10"
"2021","Catamarca",0.0454,"10"
"2004","Córdoba",0.2114,"14"
"2005","Córdoba",0.2457,"14"
"2006","Córdoba",0.2124,"14"
"2007","Córdoba",0.2427,"14"
"2008","Córdoba",0.2114,"14"
"2009","Córdoba",0.1789,"14"
"2010","Córdoba",0.1977,"14"
"2011","Córdoba",0.1702,"14"
"2012","Córdoba",0.1486,"14"
"2013","Córdoba",0.1867,"14"
"2014","Córdoba",0.2105,"14"
"2015","Córdoba",0.2259,"14"
"2016","Córdoba",0.2274,"14"
"2017","Córdoba",0.217,"14"
"2018","Córdoba",0.1681,"14"
"2019","Córdoba",0.2299,"14"
"2020","Córdoba",0.2296,"14"
"2021","Córdoba",0.2145,"14"
"2004","Corrientes",0.066,"18"
"2005","Corrientes",0.0622,"18"
"2006","Corrientes",0.0596,"18"
"2007","Corrientes",0.0548,"18"
"2008","Corrientes",0.0547,"18"
"2009","Corrientes",0.0529,"18"
"2010","Corrientes",0.0453,"18"
"2011","Corrientes",0.0474,"18"
"2012","Corrientes",0.0401,"18"
"2013","Corrientes",0.0443,"18"
"2014","Corrientes",0.044,"18"
"2015","Corrientes",0.0426,"18"
"2016","Corrientes",0.0399,"18"
"2017","Corrientes",0.0374,"18"
"2018","Corrientes",0.0361,"18"
"2019","Corrientes",0.0381,"18"
"2020","Corrientes",0.0426,"18"
"2021","Corrientes",0.0385,"18"
"2004","Chaco",0.1732,"22"
"2005","Chaco",0.1869,"22"
"2006","Chaco",0.2008,"22"
"2007","Chaco",0.1906,"22"
"2008","Chaco",0.1777,"22"
"2009","Chaco",0.1111,"22"
"2010","Chaco",0.1862,"22"
"2011","Chaco",0.1879,"22"
"2012","Chaco",0.106,"22"
"2013","Chaco",0.1002,"22"
"2014","Chaco",0.1621,"22"
"2015","Chaco",0.1202,"22"
"2016","Chaco",0.1185,"22"
"2017","Chaco",0.1096,"22"
"2018","Chaco",0.1203,"22"
"2019","Chaco",0.1224,"22"
"2020","Chaco",0.1473,"22"
