geocodigoFundar,geonombreFundar,anio,va_agro_sobre_pbi
AFE,África Oriental y Meridional,2021,13.40283341
AFG,Afganistán,2021,33.59761887
AFW,África Occidental y Central,2021,21.56774841
AGO,Angola,2021,11.48634538
ALB,Albania,2021,18.35812525
AND,Andorra,2021,0.53361793
ARB,Mundo árabe,2021,4.926907891
ARE,Emiratos Árabes Unidos,2021,0.943418358
ARG,Argentina,2021,7.306308855
ARM,Armenia,2021,11.34354842
ATG,Antigua y Barbuda,2021,2.082017906
AUS,Australia,2021,2.300252621
AUT,Austria,2021,1.218629132
AZE,Azerbaiyán,2021,5.725983657
BDI,Burundi,2021,28.66022
BEL,Bélgica,2021,0.641438472
BEN,Benin,2021,28.52895061
BFA,Burkina Faso,2021,17.29001582
BGD,Bangladesh,2021,11.63285843
BGR,Bulgaria,2021,4.368048975
BHR,Bahrein,2021,0.279204524
BHS,Bahamas,2021,0.481137137
BIH,Bosnia y Herzegovina,2021,5.019317881
BLR,Belarús,2021,6.706844792
BLZ,Belice,2021,7.903317617
BMU,Bermuda,2021,0.291123152
BOL,Bolivia,2021,12.92292331
BRA,Brasil,2021,6.558762612
BRB,Barbados,2021,1.908407134
BRN,Brunei,2021,1.256290223
BTN,Bhután,2021,15.79477904
BWA,Botswana,2021,1.788520019
CAF,Rep. Centroafricana,2021,35.75533
CEB,Europa Central y Bálticos,2021,2.836279392
CHE,Suiza,2021,0.625932433
CHI,Islas Del Canal,2021,0.882717225
CHL,Chile,2021,3.503759086
CHN,China,2021,7.241017469
CIV,Costa de Marfil,2021,16.18055296
CMR,Camerún,2021,16.96610476
COD,Rep. Dem. Congo,2021,19.04363013
COG,Congo,2021,9.096748689
COL,Colombia,2021,7.770950686
COM,Comoras,2021,35.51165241
CPV,Cabo Verde,2021,5.971474059
CRI,Costa Rica,2021,4.366713259
CSS,Pequeños Estados del Caribe,2021,5.376959424
CUB,Cuba,2021,0.881940963
CUW,Curazao,2021,0.259155034
CYM,Islas Caimán,2021,0.450199847
CYP,Chipre,2021,1.625008073
CZE,Chequia,2021,1.845362946
DEU,Alemania,2021,0.711937967
DJI,Djibouti,2021,1.839328951
DMA,Dominica,2021,16.95815157
DNK,Dinamarca,2021,1.088994751
DOM,Rep. Dominicana,2021,5.665782146
DZA,Argelia,2021,11.23340263
EAR,Bono demográfico temprano,2021,11.26191642
ECU,Ecuador,2021,7.99784979
EGY,Egipto,2021,11.43693261
EMU,Eurozona,2021,1.495438275
ESP,España,2021,2.730775839
EST,Estonia,2021,1.969940228
ETH,Etiopía,2021,37.57911569
EUU,Unión Europea,2021,1.601817661
FCS,Situaciones frágiles y afectadas por conflictos,2021,18.22557142
FIN,Finlandia,2021,2.43672805
FJI,Fiji,2021,15.27648106
FRA,Francia,2021,1.617229883
FRO,Islas Feroe,2021,14.23424051
FSM,Micronesia,2021,22.27564103
GAB,Gabón,2021,6.016489337
GBR,Reino Unido,2021,0.709563899
SSF,África Subsahariana,2021,16.97740015
