"anio","moa","pp_sin_mineria","total","participacion_expo_totales"
"1992","4837.10514","3474.68957","12234.94875","0.67935"
"1993","4929.60182","3251.56454","13117.75794","0.62367"
"1994","5805.03741","3708.62161","15839.21345","0.60064"
"1995","7473.34959","4777.63466","20963.10814","0.58441"
"1996","8438.81404","5770.21648","23810.71697","0.59675"
"1997","9104.43757","5582.11076","26430.85452","0.55566"
"1998","8761.48141","6113.04189","26433.69839","0.56271"
"1999","8192.35990","4690.40799","23308.63474","0.55270"
"2000","7862.96683","4994.73653","26341.02899","0.48812"
"2001","7459.58694","5666.68719","26542.72634","0.49453"
"2002","8137.85680","4797.95401","25650.59871","0.50431"
"2003","10004.08639","5951.57508","29938.75262","0.53294"
"2004","11926.33199","6132.80849","34575.73370","0.52231"
"2005","13141.28305","7046.14984","40386.76709","0.49985"
"2006","15264.94524","7186.67037","46546.20277","0.48235"
"2007","19213.07282","10866.16414","55980.30859","0.53732"
"2008","23905.99650","14882.47365","70018.83943","0.55397"
"2009","21224.82199","7892.43339","55672.09664","0.52301"
"2010","22671.10152","13221.06008","68174.44705","0.52648"
"2011","27675.82208","17827.98930","82981.09128","0.54836"
"2012","26783.65763","16809.73392","79982.38789","0.54504"
"2013","27002.17481","16274.79755","75962.98136","0.56971"
"2014","26420.16562","12851.42002","68405.00000","0.57410"
"2015","23290.50866","12480.39453","56784.00000","0.62995"
"2016","23337.69817","14589.61024","57879.00000","0.65529"
"2017","22562.00000","13981.10438","58622.00000","0.62337"
"2018","22944.00000","13434.02944","61781.00000","0.58882"
"2019","23962.00000","17059.20374","65116.00000","0.62997"
"2020","21785.00000","15867.60787","54884.00000","0.68604"
"2021","30927.00000","21317.89977","77935.00000","0.67037"
"2022","33055.00000","23431.59584","88445.00000","0.63866"
"2023","23821.95305","13884.52552","66788.51599","0.56457"
"2024","29655.52106","17636.65754","79703.20672","0.59335"
"2025","30467.25010","21403.91211","87076.96507","0.59569"
