anio,grupo_carne,valor
1961,aviar,2.077591
1962,aviar,2.421226
1963,aviar,2.895741
1964,aviar,3.925668
1965,aviar,5.792445
1966,aviar,5.462131
1967,aviar,5.534385
1968,aviar,5.990165
1969,aviar,6.227176
1970,aviar,7.844556
1971,aviar,8.753018
1972,aviar,8.318127
1973,aviar,8.263713
1974,aviar,11.095333
1975,aviar,10.730027
1976,aviar,9.811777
1977,aviar,9.230491
1978,aviar,9.702211
1979,aviar,10.815628
1980,aviar,11.238043
1981,aviar,11.040441
1982,aviar,11.827022
1983,aviar,12.203988
1984,aviar,11.881785
1985,aviar,12.101091
1986,aviar,12.879936
1987,aviar,14.517906
1988,aviar,12.348648
1989,aviar,10.821423
1990,aviar,11.345598
1991,aviar,12.448421
1992,aviar,16.057352
1993,aviar,22.416937
1994,aviar,23.40896
1995,aviar,23.782768
1996,aviar,22.928492
1997,aviar,23.806643
1998,aviar,26.947317
1999,aviar,27.854704
2000,aviar,27.694094
2001,aviar,26.651634
2002,aviar,18.83137
2003,aviar,19.491804
2004,aviar,21.7953
2005,aviar,24.086681
2006,aviar,27.436695
2007,aviar,28.554247
2008,aviar,31.101418
2009,aviar,32.916912
2010,aviar,33.970444
2011,aviar,37.677876
2012,aviar,38.58761
2013,aviar,37.78782
2014,aviar,38.9799
2015,aviar,44.491947
2016,aviar,44.05774
2017,aviar,44.540768
2018,aviar,44.1976
2019,aviar,45.155457
2020,aviar,46.39397
1961,vacuna,84.57316
1962,vacuna,87.22491
1963,vacuna,87.70248
1964,vacuna,66.08883
1965,vacuna,67.68972
1966,vacuna,77.43909
1967,vacuna,80.21331
1968,vacuna,84.53684
1969,vacuna,90.10795
1970,vacuna,82.03595
1971,vacuna,62.2068
1972,vacuna,60.34166
1973,vacuna,64.44688
1974,vacuna,72.97121
1975,vacuna,83.96624
1976,vacuna,86.62369
1977,vacuna,86.42638
1978,vacuna,89.66251
1979,vacuna,84.18515
1980,vacuna,85.32886
1981,vacuna,85.00436
1982,vacuna,70.21041
1983,vacuna,67.21211
1984,vacuna,72.57307
1985,vacuna,82.11312
1986,vacuna,72.20175
1987,vacuna,72.04887
1988,vacuna,67.5273
1989,vacuna,65.90867
1990,vacuna,64.19509
1991,vacuna,66.0086
1992,vacuna,64.95838
1993,vacuna,64.6558
1994,vacuna,61.36
1995,vacuna,55.7988
1996,vacuna,54.27705
1997,vacuna,56.02384
1998,vacuna,56.09706
1999,vacuna,60.05299
2000,vacuna,58.82258
2001,vacuna,56.44577
2002,vacuna,52.55104
2003,vacuna,54.91432
2004,vacuna,56.00401
2005,vacuna,55.43399
2006,vacuna,54.90302
2007,vacuna,54.35663
2008,vacuna,53.87826
2009,vacuna,53.68428
2010,vacuna,51.39348
2011,vacuna,49.25193
2012,vacuna,51.31744
2013,vacuna,55.17858
2014,vacuna,51.41563
2015,vacuna,52.27903
2016,vacuna,49.66708
2017,vacuna,51.63179
2018,vacuna,52.13819
2019,vacuna,48.0177
