"geocodigoFundar","geonombreFundar","tipo_carne","valor"
"AFG","Afganistán","aviar","0.81000"
"AFG","Afganistán","caprina_ovina","3.57000"
"AFG","Afganistán","otras_carnes","0.28000"
"AFG","Afganistán","pescado_mariscos","0.38000"
"AFG","Afganistán","porcina","0.00000"
"AFG","Afganistán","vacuna","1.73000"
"AGO","Angola","aviar","7.41000"
"AGO","Angola","caprina_ovina","0.65000"
"AGO","Angola","otras_carnes","0.26000"
"AGO","Angola","pescado_mariscos","14.35000"
"AGO","Angola","porcina","6.79000"
"AGO","Angola","vacuna","3.48000"
"ALB","Albania","aviar","24.78000"
"ALB","Albania","caprina_ovina","8.41000"
"ALB","Albania","otras_carnes","0.08000"
"ALB","Albania","pescado_mariscos","8.61000"
"ALB","Albania","porcina","7.51000"
"ALB","Albania","vacuna","15.90000"
"ARE","Emiratos Árabes Unidos","aviar","46.44000"
"ARE","Emiratos Árabes Unidos","caprina_ovina","8.49000"
"ARE","Emiratos Árabes Unidos","otras_carnes","3.58000"
"ARE","Emiratos Árabes Unidos","pescado_mariscos","23.11000"
"ARE","Emiratos Árabes Unidos","porcina","0.00000"
"ARE","Emiratos Árabes Unidos","vacuna","9.33000"
"ARG","Argentina","aviar","46.73000"
"ARG","Argentina","caprina_ovina","1.07000"
"ARG","Argentina","otras_carnes","1.12000"
"ARG","Argentina","pescado_mariscos","7.12000"
"ARG","Argentina","porcina","17.04000"
"ARG","Argentina","vacuna","48.99000"
"ARM","Armenia","aviar","18.04000"
"ARM","Armenia","caprina_ovina","3.50000"
"ARM","Armenia","otras_carnes","0.07000"
"ARM","Armenia","pescado_mariscos","4.86000"
"ARM","Armenia","porcina","10.77000"
"ARM","Armenia","vacuna","22.30000"
"ATG","Antigua y Barbuda","aviar","67.80000"
"ATG","Antigua y Barbuda","caprina_ovina","1.95000"
"ATG","Antigua y Barbuda","otras_carnes","0.09000"
"ATG","Antigua y Barbuda","pescado_mariscos","54.52000"
"ATG","Antigua y Barbuda","porcina","11.85000"
"ATG","Antigua y Barbuda","vacuna","14.69000"
"AUS","Australia","aviar","53.13000"
"AUS","Australia","caprina_ovina","10.56000"
"AUS","Australia","otras_carnes","1.13000"
"AUS","Australia","pescado_mariscos","24.24000"
"AUS","Australia","porcina","25.05000"
"AUS","Australia","vacuna","26.91000"
"AUT","Austria","aviar","17.54000"
"AUT","Austria","caprina_ovina","1.00000"
"AUT","Austria","otras_carnes","0.46000"
"AUT","Austria","pescado_mariscos","14.12000"
"AUT","Austria","porcina","40.86000"
"AUT","Austria","vacuna","13.85000"
"AZE","Azerbaiyán","aviar","15.68000"
"AZE","Azerbaiyán","caprina_ovina","8.61000"
"AZE","Azerbaiyán","otras_carnes","0.00000"
"AZE","Azerbaiyán","pescado_mariscos","2.13000"
"AZE","Azerbaiyán","porcina","0.93000"
"AZE","Azerbaiyán","vacuna","14.21000"
"BEL","Bélgica","aviar","13.25000"
"BEL","Bélgica","caprina_ovina","0.96000"
"BEL","Bélgica","otras_carnes","2.05000"
"BEL","Bélgica","pescado_mariscos","23.93000"
"BEL","Bélgica","porcina","30.55000"
"BEL","Bélgica","vacuna","13.15000"
"BFA","Burkina Faso","aviar","6.65000"
"BFA","Burkina Faso","caprina_ovina","2.21000"
"BFA","Burkina Faso","otras_carnes","0.43000"
"BFA","Burkina Faso","pescado_mariscos","10.50000"
"BFA","Burkina Faso","porcina","8.03000"
"BFA","Burkina Faso","vacuna","5.76000"
"BGD","Bangladesh","aviar","1.70000"
"BGD","Bangladesh","caprina_ovina","1.45000"
"BGD","Bangladesh","otras_carnes","0.12000"
"BGD","Bangladesh","pescado_mariscos","26.98000"
"BGD","Bangladesh","porcina","0.01000"
"BGD","Bangladesh","vacuna","1.22000"
"BGR","Bulgaria","aviar","25.91000"
"BGR","Bulgaria","caprina_ovina","1.57000"
"BGR","Bulgaria","otras_carnes","0.65000"
"BGR","Bulgaria","pescado_mariscos","7.18000"
"BGR","Bulgaria","porcina","32.80000"
"BGR","Bulgaria","vacuna","2.81000"
"BHR","Bahrein","aviar","39.20000"
"BHR","Bahrein","caprina_ovina","21.63000"
"BHR","Bahrein","otras_carnes","0.90000"
"BHR","Bahrein","pescado_mariscos","19.77000"
"BHR","Bahrein","porcina","0.64000"
"BHR","Bahrein","vacuna","13.89000"
"BHS","Bahamas","aviar","66.29000"
"BHS","Bahamas","caprina_ovina","3.27000"
"BHS","Bahamas","otras_carnes","0.62000"
"BHS","Bahamas","pescado_mariscos","27.68000"
"BHS","Bahamas","porcina","32.46000"
"BHS","Bahamas","vacuna","12.27000"
"BIH","Bosnia y Herzegovina","aviar","22.57000"
"BIH","Bosnia y Herzegovina","caprina_ovina","0.44000"
"BIH","Bosnia y Herzegovina","otras_carnes","0.49000"
"BIH","Bosnia y Herzegovina","pescado_mariscos","5.86000"
"BIH","Bosnia y Herzegovina","porcina","13.33000"
"BIH","Bosnia y Herzegovina","vacuna","15.05000"
"BLR","Belarús","aviar","46.00000"
"BLR","Belarús","caprina_ovina","0.10000"
"BLR","Belarús","otras_carnes","0.21000"
"BLR","Belarús","pescado_mariscos","12.46000"
"BLR","Belarús","porcina","39.12000"
"BLR","Belarús","vacuna","26.29000"
"BLZ","Belice","aviar","47.30000"
"BLZ","Belice","caprina_ovina","0.31000"
"BLZ","Belice","otras_carnes","0.01000"
"BLZ","Belice","pescado_mariscos","16.94000"
"BLZ","Belice","porcina","16.01000"
"BLZ","Belice","vacuna","4.56000"
"BOL","Bolivia","aviar","45.17000"
"BOL","Bolivia","caprina_ovina","3.34000"
"BOL","Bolivia","otras_carnes","1.80000"
"BOL","Bolivia","pescado_mariscos","2.13000"
"BOL","Bolivia","porcina","10.58000"
"BOL","Bolivia","vacuna","23.54000"
"BRA","Brasil","aviar","47.55000"
"BRA","Brasil","caprina_ovina","0.72000"
"BRA","Brasil","otras_carnes","0.48000"
"BRA","Brasil","pescado_mariscos","8.19000"
"BRA","Brasil","porcina","16.75000"
"BRA","Brasil","vacuna","39.07000"
"BRB","Barbados","aviar","48.97000"
"BRB","Barbados","caprina_ovina","3.92000"
"BRB","Barbados","otras_carnes","0.10000"
"BRB","Barbados","pescado_mariscos","43.16000"
"BRB","Barbados","porcina","11.31000"
"BRB","Barbados","vacuna","11.94000"
"BTN","Bhután","aviar","5.34000"
"BTN","Bhután","caprina_ovina","0.32000"
"BTN","Bhután","otras_carnes","0.00000"
"BTN","Bhután","pescado_mariscos","6.26000"
"BTN","Bhután","porcina","2.15000"
"BTN","Bhután","vacuna","6.85000"
"BWA","Botswana","aviar","2.75000"
"BWA","Botswana","caprina_ovina","2.23000"
"BWA","Botswana","otras_carnes","12.62000"
"BWA","Botswana","pescado_mariscos","2.22000"
"BWA","Botswana","porcina","0.50000"
"BWA","Botswana","vacuna","25.18000"
"CAN","Canadá","aviar","41.56000"
"CAN","Canadá","caprina_ovina","1.12000"
"CAN","Canadá","otras_carnes","0.57000"
"CAN","Canadá","pescado_mariscos","20.81000"
"CAN","Canadá","porcina","25.90000"
"CAN","Canadá","vacuna","25.64000"
"CHE","Suiza","aviar","17.52000"
"CHE","Suiza","caprina_ovina","1.25000"
"CHE","Suiza","otras_carnes","0.96000"
"CHE","Suiza","pescado_mariscos","16.46000"
