geocodigoFundar,geonombreFundar,pescado_mariscos
HIC,Países de altos ingresos,26.934196
LIC,Países de bajos ingresos,5.259969
LMC,Países de ingreso medio bajo,14.936611
AFG,Afganistán,0.35959464
AGO,Angola,13.902185
ALB,Albania,8.683039
ARE,Emiratos Árabes Unidos,27.017523
ARG,Argentina,6.804048
ARM,Armenia,5.7878876
ATG,Antigua y Barbuda,57.116673
AUS,Australia,23.940237
AUT,Austria,14.448209
AZE,Azerbaiyán,2.0110862
BDI,Burundi,2.5299058
BEL,Bélgica,22.754787
BEN,Benin,15.552987
BFA,Burkina Faso,8.663307
BGD,Bangladesh,26.27421
BGR,Bulgaria,7.327582
BHR,Bahrein,18.74933
BHS,Bahamas,23.421537
BIH,Bosnia y Herzegovina,7.187648
BLR,Belarús,11.623149
BLZ,Belice,13.35062
BOL,Bolivia,2.73827
BRA,Brasil,8.055862
BRB,Barbados,43.879345
BTN,Bhután,7.311453
BWA,Botswana,2.3918912
CAF,Rep. Centroafricana,6.6620336
CAN,Canadá,20.649815
CHE,Suiza,16.029655
CHL,Chile,14.6291
CHN,China,40.333355
CIV,Costa de Marfil,22.795362
CMR,Camerún,19.179571
COD,Rep. Dem. Congo,4.022168
COG,Congo,23.670317
COL,Colombia,8.881663
COM,Comoras,15.435959
CPV,Cabo Verde,10.305901
CRI,Costa Rica,17.848438
CUB,Cuba,6.073902
CYP,Chipre,24.858616
CZE,Chequia,10.63683
DEU,Alemania,12.658737
DJI,Djibouti,3.1901314
DMA,Dominica,27.851875
DNK,Dinamarca,26.298183
DOM,Rep. Dominicana,8.372867
DZA,Argelia,3.8147426
ECU,Ecuador,8.24545
EGY,Egipto,25.796637
ESP,España,40.295116
EST,Estonia,14.617944
ETH,Etiopía,0.5297368
FIN,Finlandia,33.51807
FJI,Fiji,28.887266
FRA,Francia,33.638912
FSM,Micronesia,48.605923
GAB,Gabón,27.863092
GBR,Reino Unido,18.130749
GEO,Georgia,10.614025
GHA,Ghana,24.08171
GIN,Guinea,9.646849
GMB,Gambia,23.640882
GNB,Guinea-Bissau,1.1422341
GRC,Grecia,21.535734
GRD,Granada,30.779413
GTM,Guatemala,3.0748875
GUY,Guyana,24.636202
HKG,Hong Kong,65.78512
HND,Honduras,2.5246487
HRV,Croacia,19.139153
HTI,Haití,5.0322466
HUN,Hungría,6.2912436
IDN,Indonesia,44.712276
IND,India,7.886377
IRL,Irlanda,22.521992
IRN,Irán,12.143301
IRQ,Iraq,2.9184074
ISL,Islandia,84.30447
ISR,Israel,24.432203
ITA,Italia,29.64125
JAM,Jamaica,26.415413
JOR,Jordania,4.789403
JPN,Japón,46.654346
KAZ,Kazajstán,2.7305465
KEN,Kenia,2.9789176
KGZ,Kirguistán,1.0966938
KHM,Camboya,46.64873
KIR,Kiribati,69.22023
KNA,Saint Kitts y Nevis,43.349308
KOR,Corea del Sur,54.656467
KWT,Kuwait,13.691833
LAO,Laos,24.005362
LBN,Líbano,10.51009
LBR,Liberia,4.2747197
LBY,Libia,14.725788
LCA,Santa Lucía,34.44247
LKA,Sri Lanka,28.567335
LSO,Lesotho,2.8511329
LTU,Lituania,31.892159
LUX,Luxemburgo,31.467758
LVA,Letonia,24.866865
MAC,Macao,70.26411
MAR,Marruecos,18.48105
MDA,Moldavia,15.247419
MDG,Madagascar,3.885057
