"division","gran_rubro","rubro","anio","expo","share"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Azúcar, cacao y artículos de confitería","2025","529.91751","0.00609"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Bebidas, líquidos alcohólicos y vinagre","2025","844.36085","0.00970"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Café, té, yerba mate y especias","2025","187.90710","0.00216"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Carnes y sus preparados","2025","4450.94401","0.05112"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Extractos curtientes y tintóreos","2025","267.97524","0.00308"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Frutas secas o procesadas","2025","173.80944","0.00200"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Grasas y aceites","2025","9635.02940","0.11065"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Lanas elaboradas","2025","105.13423","0.00121"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Otros productos de origen animal","2025","90.46992","0.00104"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Pescados y mariscos elaborados","2025","298.28385","0.00343"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Pieles y cueros","2025","374.40868","0.00430"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Preparados de hortalizas, legumbres y frutas","2025","1093.07375","0.01255"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Productos de molinería y sus preparaciones","2025","763.30203","0.00877"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Productos lácteos","2025","1499.37722","0.01722"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Residuos y desperdicios de las industrias alimentarias","2025","9497.89239","0.10907"
"Agroindustrial","Manufacturas de origen agropecuario (MOA)","Resto de MOA","2025","655.36448","0.00753"
"Agroindustrial","Productos primarios (PP)","Animales vivos","2025","26.72806","0.00031"
"Agroindustrial","Productos primarios (PP)","Cereales","2025","11218.20745","0.12883"
"Agroindustrial","Productos primarios (PP)","Fibras de algodón","2025","100.21009","0.00115"
"Agroindustrial","Productos primarios (PP)","Frutas frescas","2025","638.02662","0.00733"
"Agroindustrial","Productos primarios (PP)","Hortalizas y legumbres sin elaborar","2025","663.04252","0.00761"
"Agroindustrial","Productos primarios (PP)","Lanas sucias","2025","45.31755","0.00052"
"Agroindustrial","Productos primarios (PP)","Miel","2025","211.12495","0.00242"
"Agroindustrial","Productos primarios (PP)","Pescados y mariscos sin elaborar","2025","1767.49102","0.02030"
"Agroindustrial","Productos primarios (PP)","Resto de PP","2025","192.74085","0.00221"
"Agroindustrial","Productos primarios (PP)","Semillas y frutos oleaginosos","2025","6199.23781","0.07119"
"Agroindustrial","Productos primarios (PP)","Tabaco sin elaborar","2025","341.78519","0.00393"
"Resto no agroindustrial","Combustibles y energía (CyE)","Carburantes","2025","2432.52820","0.02794"
"Resto no agroindustrial","Combustibles y energía (CyE)","Gas de petróleo, otros hidrocarburos gaseosos y energía eléctrica","2025","1442.70271","0.01657"
"Resto no agroindustrial","Combustibles y energía (CyE)","Grasas y aceites lubricantes","2025","99.35245","0.00114"
"Resto no agroindustrial","Combustibles y energía (CyE)","Petróleo crudo","2025","6716.38044","0.07713"
"Resto no agroindustrial","Combustibles y energía (CyE)","Resto de CyE","2025","395.20162","0.00454"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Calzado y sus partes componentes","2025","6.68995","0.00008"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Caucho y sus manufacturas","2025","161.07016","0.00185"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Manufacturas de cuero, marroquinería, etcétera","2025","17.32785","0.00020"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Manufacturas de piedra, yeso, vidrio, etcétera","2025","129.58985","0.00149"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Material de transporte terrestre","2025","8232.77192","0.09455"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Materias plásticas y sus manufacturas","2025","954.39918","0.01096"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Metales comunes y sus manufacturas","2025","2305.92180","0.02648"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Máquinas y aparatos; material eléctrico","2025","1536.36176","0.01764"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Papel, cartón, impresos y publicaciones","2025","417.20374","0.00479"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Piedras, metales preciosos y sus manufacturas; monedas","2025","4186.76604","0.04808"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Productos químicos y conexos","2025","4922.23907","0.05653"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Resto de MOI","2025","354.80363","0.00407"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Textiles y confecciones","2025","100.48198","0.00115"
"Resto no agroindustrial","Manufacturas de origen industrial (MOI)","Vehículos de navegación aérea, marítima y fluvial","2025","54.05798","0.00062"
"Resto no agroindustrial","Productos primarios (PP)","Minerales metalíferos, escorias y cenizas","2025","739.95251","0.00850"
