"anio","producto_exportacion","valor"
"1986","carnes_preparados","86.94113"
"1987","carnes_preparados","111.09446"
"1988","carnes_preparados","95.99898"
"1989","carnes_preparados","103.19685"
"1990","carnes_preparados","110.02545"
"1991","carnes_preparados","124.25984"
"1992","carnes_preparados","135.96772"
"1993","carnes_preparados","136.34280"
"1994","carnes_preparados","125.72912"
"1995","carnes_preparados","133.49034"
"1996","carnes_preparados","117.17766"
"1997","carnes_preparados","113.93864"
"1998","carnes_preparados","127.61772"
"1999","carnes_preparados","108.18098"
"2000","carnes_preparados","102.89042"
"2001","carnes_preparados","103.87594"
"2002","carnes_preparados","78.47860"
"2003","carnes_preparados","87.64940"
"2004","carnes_preparados","100.00000"
"2005","carnes_preparados","103.18708"
"2006","carnes_preparados","132.25012"
"2007","carnes_preparados","135.40948"
"2008","carnes_preparados","203.33971"
"2009","carnes_preparados","152.28676"
"2010","carnes_preparados","206.85738"
"2011","carnes_preparados","241.14873"
"2012","carnes_preparados","222.90502"
"2013","carnes_preparados","216.98154"
"2014","carnes_preparados","219.17261"
"2015","carnes_preparados","195.52299"
"2016","carnes_preparados","197.13409"
"2017","carnes_preparados","203.06831"
"2018","carnes_preparados","203.16707"
"2019","carnes_preparados","230.15704"
"2020","carnes_preparados","197.20858"
"2021","carnes_preparados","219.26791"
"2022","carnes_preparados","252.69659"
"2023","carnes_preparados","191.73526"
"2024","carnes_preparados","191.86834"
"2025","carnes_preparados","253.64100"
"1986","cereales","77.89074"
"1987","cereales","65.17177"
"1988","cereales","77.99417"
"1989","cereales","109.29490"
"1990","cereales","106.41807"
"1991","cereales","78.40292"
"1992","cereales","90.53068"
"1993","cereales","94.01351"
"1994","cereales","100.89049"
"1995","cereales","105.80120"
"1996","cereales","143.73093"
"1997","cereales","112.21224"
"1998","cereales","95.38703"
"1999","cereales","86.19752"
"2000","cereales","81.02308"
"2001","cereales","83.99838"
"2002","cereales","86.97138"
"2003","cereales","100.25027"
"2004","cereales","100.00000"
"2005","cereales","86.43101"
"2006","cereales","107.29462"
"2007","cereales","139.92485"
"2008","cereales","202.86218"
"2009","cereales","149.64841"
"2010","cereales","158.99854"
"2011","cereales","228.99207"
"2012","cereales","208.76320"
"2013","cereales","234.23564"
"2014","cereales","190.51085"
"2015","cereales","167.06231"
"2016","cereales","145.28770"
"2017","cereales","139.97210"
"2018","cereales","156.87728"
"2019","cereales","152.41199"
"2020","cereales","147.68239"
"2021","cereales","199.64987"
"2022","cereales","231.97779"
"2023","cereales","238.24232"
"2024","cereales","191.85868"
