anio,valor,nota
1935,0.11,valor oficial
1936,0.11,valor oficial
1937,0.09,valor oficial
1938,0.09,valor oficial
1939,0.09,valor oficial
1940,0.09,valor oficial
1941,0.1,valor oficial
1942,0.09,valor oficial
1943,0.11,valor oficial
1944,0.12,valor oficial
1945,0.12,valor oficial
1946,0.12,valor oficial
1947,0.11,valor oficial
1948,0.13,valor oficial
1949,0.13,valor oficial
1950,0.13,valor oficial
1951,0.13,valor oficial
1952,0.13,valor oficial
1953,0.11,valor oficial
1954,0.08,valor oficial
1955,0.07,valor oficial
1956,0.09,valor oficial
1957,0.11,valor oficial
1958,0.09,valor oficial
1959,0.07,valor oficial
1960,0.08,valor oficial
1961,0.07,valor oficial
1962,0.05,valor oficial
1963,0.06,valor oficial
1964,0.09,valor estimado
1965,0.11,valor estimado
1966,0.13,valor estimado
1967,0.12,valor estimado
1968,0.11,valor estimado
1969,0.1,valor estimado
1970,0.05,valor oficial
1971,0.08,valor oficial
1972,0.06,valor oficial
1973,0.07,valor oficial
1974,0.05,valor oficial
1975,0.04,valor oficial
1976,0.06,valor oficial
1977,0.07,valor oficial
1978,0.19,valor oficial
1979,0.22,valor oficial
1980,0.05,valor oficial
1981,0.07,valor oficial
1982,0.12,valor oficial
1983,0.08,valor oficial
1984,0.09,valor oficial
1985,0.1,valor oficial
1986,0.1,valor oficial
1987,0.12,valor oficial
1988,0.15,valor oficial
1989,0.14,valor oficial
1990,0.16,valor oficial
1991,0.16,valor oficial
1992,0.23,valor oficial
1993,0.17,valor oficial
1994,0.18,valor oficial
1995,0.22,valor oficial
1996,0.22,valor oficial
1997,0.23,valor oficial
1998,0.21,valor oficial
1999,0.2,valor oficial
2000,0.2,valor oficial
2001,0.26,valor oficial
2002,0.45,valor oficial
2003,0.41,valor oficial
2004,0.3,valor oficial
2005,0.29,valor oficial
2006,0.36,valor oficial
2007,0.26,valor oficial
2008,0.26,valor oficial
2009,0.23,valor oficial
2010,0.22,valor oficial
2011,0.17,valor oficial
2012,0.16,valor oficial
2013,0.23,valor oficial
2014,0.24,valor oficial
2015,0.23,valor oficial
2016,0.27,valor oficial
2017,0.26,valor oficial
2018,0.37,valor oficial
2019,0.35,valor oficial
2020,0.33,valor oficial
2021,0.33,valor oficial
2022,0.27,valor oficial
