"cadena","valor"
"Soja","0.23644"
"Maiz","0.13667"
"Bovino","0.12829"
"Lacteo","0.08427"
"Trigo","0.07140"
"Avicola","0.04992"
"Porcinos","0.04738"
"Berries","0.03208"
"Forestal","0.02623"
"Cebada","0.02199"
"Girasol","0.02128"
"Uva","0.02115"
"Arroz","0.01802"
"Maní","0.01664"
"Peras y Manzanas","0.01576"
"Yerba Mate","0.01552"
"Limón","0.00825"
"Tabaco","0.00728"
"Ajo","0.00643"
"Citrico","0.00574"
"Ovinos","0.00574"
"Caña de Azucar","0.00503"
"Sorgo","0.00453"
"Papa","0.00334"
"Miel","0.00302"
"Tomate","0.00260"
"Algodón","0.00250"
"Olivo","0.00152"
"Té","0.00050"
"Caprino","0.00029"
"Colza","0.00019"
