anio,pbi_agro_pcons
1875,971
1876,1139
1877,1302
1878,1237
1879,1330
1880,1222
1881,1293
1882,1790
1883,2003
1884,2027
1885,2228
1886,2350
1887,2486
1888,2694
1889,2510
1890,2309
1891,2578
1892,2866
1893,2916
1894,3651
1895,4472
1896,4094
1897,3706
1898,3796
1899,4538
1900,3831
1901,4736
1902,4324
1903,5364
1904,5637
1905,5811
1906,5958
1907,5134
1908,6424
1909,6197
1910,5951
1911,5374
1912,7838
1913,7198
1914,7061
1915,8473
1916,7550
1917,6218
1918,8717
1919,8663
1920,9004
1921,9096
1922,9420
1923,9599
1924,10995
1925,9829
1926,11429
1927,11729
1928,11933
1929,11910
1930,10630
1931,10893
1932,11483
1933,11535
1934,12142
1935,13855
1936,12593
1937,13016
1938,11842
1939,13211
1940,14131
1941,15781
1942,15588
1943,13651
1944,16440
1945,13188
1946,13788
1947,14845
1948,14872
1949,13718
1950,12938
1951,13807
1952,11829
1953,15488
1954,15401
1955,16040
1956,15300
1957,15222
1958,15888
1959,15727
1960,15978
1961,15885
1962,16535
1963,16839
1964,18005
1965,19076
1966,18352
1967,19136
1968,18074
1969,19091
1970,20151
1971,20464
1972,20859
1973,23083
1974,23716
1975,23081
1976,24159
1977,24720
1978,25346
1979,26050
1980,24684
1981,25512
1982,26881
1983,27253
1984,27357
1985,26976
1986,26977
1987,26250
1988,28386
1989,25923
1990,28306
1991,29449
1992,29306
1993,29687
1994,32013
1995,34063
1996,33325
1997,33347
1998,36965
1999,37881
2000,37299
2001,37571
2002,37128
2003,39860
2004,39125
2005,46858
2006,45805
2007,50114
2008,48875
2009,35994
2010,50814
2011,49453
2012,42851
2013,47568
2014,49085
2015,52897
2016,50299
2017,51789
2018,43726
2019,53949
2020,50119
2021,50723
2022,48288
