anio,valor
1950.0,0.0
1951.0,0.0
1952.0,0.0
1953.0,0.0
1954.0,0.0
1955.0,0.0
1956.0,0.0
1957.0,0.0
1958.0,0.0
1959.0,0.0
1960.0,0.0
1961.0,0.0
1962.0,1.0
1963.0,2.0
1964.0,4.0
1965.0,5.0
1966.0,5.0
1967.0,8.0
1968.0,11.0
1969.0,15.0
1970.0,19.0
1971.0,23.0
1972.0,27.0
1973.0,31.0
1974.0,36.0
1975.0,42.0
1976.0,49.0
1977.0,57.0
1978.0,67.0
1979.0,78.0
1980.0,90.0
1981.0,105.0
1982.0,123.0
1983.0,143.0
1984.0,150.0
1985.0,270.0
1986.0,270.0
1987.0,353.0
1988.0,353.0
1989.0,300.0
1990.0,300.0
1991.0,350.0
1992.0,402.0
1993.0,707.0
1994.0,763.0
1995.0,1474.0
1996.0,1322.0
1997.0,1314.0
1998.0,1040.0
1999.0,1218.0
2000.0,1784.0
2001.0,1340.0
2002.0,1457.0
2003.0,1647.0
2004.0,1848.0
2005.0,2057.0
2006.0,2528.0
2007.0,2957.0
2008.0,2700.0
2009.0,2582.95
2010.0,2654.35
2011.0,3193.25
2012.0,2958.42
2013.0,3825.12
2014.0,4002.71
2015.0,3662.65
2016.0,3673.48
2017.0,3567.76
2018.0,3205.31
2019.0,2592.19
2020.0,2084.5
2021.0,3687.0
