iso3,iso3_desc_fundar,valor,geocodigoFundar,geonombreFundar
ABW,Aruba,1.5,ABW,Aruba
AFG,Afganistán,11107.0,AFG,Afganistán
AGO,Angola,2808.0,AGO,Angola
ALB,Albania,8641.0,ALB,Albania
ARE,Emiratos Árabes Unidos,2662.941999435425,ARE,Emiratos Árabes Unidos
ARG,Argentina,3687.000100471079,ARG,Argentina
ARM,Armenia,18930.0,ARM,Armenia
ASM,Samoa Americana,20.0,ASM,Samoa Americana
ATG,Antigua y Barbuda,20.0,ATG,Antigua y Barbuda
AUS,Australia,126206.337978363,AUS,Australia
AUT,Austria,4920.412978082895,AUT,Austria
AZE,Azerbaiyán,507.0,AZE,Azerbaiyán
BDI,Burundi,1490.0,BDI,Burundi
BEL,Bélgica,223.0,BEL,Bélgica
BEN,Benin,4150.0,BEN,Benin
BES,Bonaire,0.2000000029802322,BES,Bonaire
BFA,Burkina Faso,878.0,BFA,Burkina Faso
BGD,Bangladesh,2638745.0,BGD,Bangladesh
BGR,Bulgaria,15173.62031715363,BGR,Bulgaria
BHR,Bahrein,15.5,BHR,Bahrein
BHS,Bahamas,0.0,BHS,Bahamas
BIH,Bosnia y Herzegovina,3818.599915713072,BIH,Bosnia y Herzegovina
BLR,Belarús,8503.8001537323,BLR,Belarús
BLZ,Belice,605.0,BLZ,Belice
BOL,Bolivia,3853.0,BOL,Bolivia
BRA,Brasil,650356.2900466919,BRA,Brasil
BRB,Barbados,25.5,BRB,Barbados
BRN,Brunei Darussalam,4767.922005383298,BRN,Brunei
BTN,Bhután,193.0,BTN,Bhután
BWA,Botswana,163.0,BWA,Botswana
CAF,República Centroafricana,215.0,CAF,Rep. Centroafricana
CAN,Canadá,191449.0,CAN,Canadá
CHE,Suiza,2364.0,CHE,Suiza
CHL,Chile,1443520.0,CHL,Chile
CHN,China,72805296.99927187,CHN,China
CIV,Costa de Marfil,5720.0,CIV,Costa de Marfil
CMR,Camerún,9800.0,CMR,Camerún
COD,República Democrática del Congo,5195.0,COD,Rep. Dem. Congo
COG,Congo,911.0,COG,Congo
COK,Islas Cook,8.5,COK,Islas Cook
COL,Colombia,192521.0015821457,COL,Colombia
