tipo_carne,anio,valor
Carne bovina,1961,2145064.0
Carne bovina,1962,2378826.0
Carne bovina,1963,2605287.0
Carne bovina,1964,2019240.0
Carne bovina,1965,1995096.0
Carne bovina,1966,2320931.0
Carne bovina,1967,2521953.0
Carne bovina,1968,2561320.0
Carne bovina,1969,2882933.0
Carne bovina,1970,2624011.0
Carne bovina,1971,2000893.0
Carne bovina,1972,2191102.0
Carne bovina,1973,2148578.0
Carne bovina,1974,2163033.0
Carne bovina,1975,2438552.0
Carne bovina,1976,2811410.0
Carne bovina,1977,2913776.0
Carne bovina,1978,3193244.0
Carne bovina,1979,3020199.0
Carne bovina,1980,2839248.0
Carne bovina,1981,2939205.0
Carne bovina,1982,2550542.0
Carne bovina,1983,2455270.0
Carne bovina,1984,2553720.0
Carne bovina,1985,2847838.0
Carne bovina,1986,3023413.0
Carne bovina,1987,2574359.0
Carne bovina,1988,2506467.0
Carne bovina,1989,2558857.0
Carne bovina,1990,3007000.0
Carne bovina,1991,2918000.0
Carne bovina,1992,2784000.0
Carne bovina,1993,2808000.0
Carne bovina,1994,2783000.0
Carne bovina,1995,2688000.0
Carne bovina,1996,2694000.0
Carne bovina,1997,2712000.0
Carne bovina,1998,2469169.0
Carne bovina,1999,2719784.0
Carne bovina,2000,2718000.0
Carne bovina,2001,2461000.0
Carne bovina,2002,2493000.0
Carne bovina,2003,2658000.0
Carne bovina,2004,3024000.0
Carne bovina,2005,3130800.0
Carne bovina,2006,3033600.0
Carne bovina,2007,3223700.0
Carne bovina,2008,3131902.0
Carne bovina,2009,3378460.0
Carne bovina,2010,2630163.0
Carne bovina,2011,2498954.0
Carne bovina,2012,2595815.0
Carne bovina,2013,2821608.0
Carne bovina,2014,2674000.0
Carne bovina,2015,2727000.0
Carne bovina,2016,2644000.0
Carne bovina,2017,2844511.0
Carne bovina,2018,3066094.0
Carne bovina,2019,3135908.0
Carne bovina,2020,3168472.0
Carne bovina,2021,2981690.0
Carne aviar,1961,36241.0
Carne aviar,1962,43474.0
Carne aviar,1963,53928.0
Carne aviar,1964,76194.0
Carne aviar,1965,118194.0
Carne aviar,1966,109450.0
Carne aviar,1967,117040.0
Carne aviar,1968,128260.0
Carne aviar,1969,135850.0
Carne aviar,1970,176660.0
Carne aviar,1971,201300.0
Carne aviar,1972,194150.0
Carne aviar,1973,196240.0
Carne aviar,1974,270060.0
Carne aviar,1975,266530.0
Carne aviar,1976,253500.0
Carne aviar,1977,248000.0
Carne aviar,1978,255000.0
Carne aviar,1979,280000.0
Carne aviar,1980,280650.0
Carne aviar,1981,277500.0
Carne aviar,1982,309000.0
Carne aviar,1983,320400.0
Carne aviar,1984,311000.0
Carne aviar,1985,319500.0
Carne aviar,1986,330000.0
Carne aviar,1987,386250.0
Carne aviar,1988,344569.0
Carne aviar,1989,301668.0
Carne aviar,1990,321713.0
Carne aviar,1991,373549.0
Carne aviar,1992,448259.0
Carne aviar,1993,663135.0
Carne aviar,1994,706384.0
Carne aviar,1995,773735.0
Carne aviar,1996,749452.0
Carne aviar,1997,782391.0
Carne aviar,1998,889597.0
Carne aviar,1999,940390.0
Carne aviar,2000,957790.0
Carne aviar,2001,950652.0
Carne aviar,2002,699440.0
Carne aviar,2003,738212.0
Carne aviar,2004,866000.0
Carne aviar,2005,1010000.0
Carne aviar,2006,1159000.0
Carne aviar,2007,1244000.0
Carne aviar,2008,1400000.0
Carne aviar,2009,1501000.0
Carne aviar,2010,1598000.0
Carne aviar,2011,1779000.0
Carne aviar,2012,1903000.0
Carne aviar,2013,1921000.0
Carne aviar,2014,1934000.0
