geocodigoFundar,geonombreFundar,valor
AFG,Afganistán,86716.51
AGO,Angola,107144.2
ALB,Albania,31712.0
ARE,Emiratos Árabes Unidos,18671.24
ARG,Argentina,2981690.0
ARM,Armenia,69400.0
ATG,Antigua y Barbuda,57.0
AUS,Australia,1893742.0
AUT,Austria,213740.0
AZE,Azerbaiyán,145040.0
BDI,Burundi,14420.37
BEL,Bélgica,247120.0
BEN,Benin,34871.96
BFA,Burkina Faso,126242.0
BGD,Bangladesh,207450.08
BGR,Bulgaria,19140.0
BHR,Bahrein,828.14
BHS,Bahamas,18.28
BIH,Bosnia y Herzegovina,12355.0
BLR,Belarús,348200.0
BLZ,Belice,1660.0
BOL,Bolivia,284195.16
BRA,Brasil,9750000.0
BRB,Barbados,161.0
BRN,Brunei,4243.2
BTN,Bhután,1177.0
BWA,Botswana,34000.0
CAF,Rep. Centroafricana,102050.52
CAN,Canadá,1348866.0
CHE,Suiza,144056.0
CHL,Chile,209971.59
CHN,China,7627084.21
CIV,Costa de Marfil,22764.0
CMR,Camerún,117213.32
COD,Rep. Dem. Congo,21116.0
COG,Congo,5166.46
COK,Islas Cook,2.85
COL,Colombia,767002.09
COM,Comoras,1232.16
CPV,Cabo Verde,709.04
CRI,Costa Rica,92794.0
CUB,Cuba,61550.27
CYP,Chipre,5900.0
CZE,Chequia,74520.0
DEU,Alemania,1080430.0
DJI,Djibouti,6173.22
DMA,Dominica,552.23
DNK,Dinamarca,123110.0
DOM,Rep. Dominicana,62317.0
DZA,Argelia,146270.0
ECU,Ecuador,227235.86
EGY,Egipto,622000.0
ERI,Eritrea,24628.33
ESP,España,717880.0
EST,Estonia,9950.0
ETH,Etiopía,414809.57
FIN,Finlandia,86250.0
FJI,Fiji,3989.0
FRA,Francia,1424320.0
FRO,Islas Feroe,64.0
FSM,Micronesia,253.39
GAB,Gabón,899.93
GBR,Reino Unido,906000.0
GEO,Georgia,20500.0
GHA,Ghana,29893.0
GIN,Guinea,67362.0
GMB,Gambia,2447.58
GNB,Guinea-Bissau,7505.93
GNQ,Guinea Ecuatorial,48.47
GRC,Grecia,33050.0
GRD,Granada,138.92
GTM,Guatemala,236650.0
GUY,Guyana,2094.11
HKG,Hong Kong,4146.36
HND,Honduras,66000.0
HRV,Croacia,43180.0
HTI,Haití,49251.36
HUN,Hungría,30080.0
IDN,Indonesia,506743.0
IND,India,4195000.0
IRL,Irlanda,594510.0
IRN,Irán,342973.0
IRQ,Iraq,38215.82
ISL,Islandia,4965.0
ISR,Israel,153085.0
ITA,Italia,747890.0
JAM,Jamaica,6545.0
JOR,Jordania,41130.0
JPN,Japón,477978.7
KAZ,Kazajstán,540215.73
KEN,Kenia,250607.0
KGZ,Kirguistán,113599.0
KHM,Camboya,62996.82
KNA,Saint Kitts y Nevis,86.84
KOR,Corea del Sur,304000.0
KWT,Kuwait,1980.13
LAO,Laos,62459.62
LBN,Líbano,46156.19
LBR,Liberia,1136.53
LBY,Libia,6667.71
LCA,Santa Lucía,419.29
LKA,Sri Lanka,27860.0
LSO,Lesotho,1416.82
LTU,Lituania,45540.0
LUX,Luxemburgo,10590.0
LVA,Letonia,17040.0
MAC,Macao,771.41
MAR,Marruecos,282000.0
MDA,Moldavia,4825.86
MDG,Madagascar,34379.83
MEX,México,2130591.83
MKD,Macedonia del Norte,4214.0
MLI,Malí,55737.68
MLT,Malta,1050.0
MMR,Myanmar,137234.98
MNE,Montenegro,3528.77
MNG,Mongolia,110620.5
MOZ,Mozambique,17781.0
MRT,Mauritania,31529.44
MUS,Mauricio,1823.0
MWI,Malawi,60835.63
MYS,Malasia,36800.56
NAM,Namibia,24448.83
NCL,Nueva Caledonia,3076.0
NER,Níger,66746.35
NGA,Nigeria,329372.93
NIC,Nicaragua,167367.78
NIU,Niue,1.99
NLD,Países Bajos,429640.0
NOR,Noruega,87736.0
NPL,Nepal,188172.0
NZL,Nueva Zelanda,754462.62
OMN,Omán,15202.89
PAK,Pakistán,2374000.0
PAN,Panamá,76422.0
PER,Perú,189922.92
PHL,Filipinas,182725.24
PNG,Papúa Nueva Guinea,3014.81
POL,Polonia,555220.0
PRI,Puerto Rico,4659.24
PRK,Corea del Norte,20928.45
PRT,Portugal,103000.0
PRY,Paraguay,522776.0
PSE,Palestina,11020.48
PYF,Polinesia Francesa,205.36
QAT,Qatar,1644.57
ROU,Rumania,82720.0
RUS,Rusia,1673546.0
RWA,Ruanda,38838.66
SAU,Arabia Saudita,40000.0
SDN,Sudán,389230.54
SEN,Senegal,87750.0
SGP,Singapur,36.58
SLB,Islas Salomón,765.06
SLE,Sierra Leona,11246.7
SLV,El Salvador,19630.76
SOM,Somalia,54495.14
SRB,Serbia,69785.0
SSD,Sudán del Sur,132911.5
STP,Santo Tomé y Príncipe,208.19
SUR,Suriname,1821.0
SVK,Eslovaquia,11930.0
SVN,Eslovenia,37540.0
SWE,Suecia,137370.0
SWZ,Eswatini,16756.67
SYC,Seychelles,30.0
SYR,Siria,63493.11
TCD,Chad,492409.41
TGO,Togo,6877.75
THA,Tailandia,161644.42
TJK,Tayikistán,270000.0
TKM,Turkmenistán,173336.66
TLS,Timor-Leste,1875.86
TON,Tonga,353.26
TTO,Trinidad y Tobago,1208.0
TUN,Túnez,49900.0
TUR,Turquía,1471550.43
TWN,Taiwán,7853.87
TZA,Tanzanía,508355.0
UGA,Uganda,191722.99
UKR,Ucrania,310500.0
URY,Uruguay,572522.0
USA,Estados Unidos,12733653.0
UZB,Uzbekistán,1006338.31
VCT,San Vicente y las Granadinas,163.1
VEN,Venezuela,374441.25
VNM,Vietnam,322000.0
VUT,Vanuatu,2133.0
WSM,Samoa,1491.62
YEM,Yemen,83351.57
ZAF,Sudáfrica,1053160.0
ZMB,Zambia,188389.74
ZWE,Zimbabwe,700000.0
