"cultivo","campania","rindes_avg"
"Maíz","1969/70","2330.50287"
"Maíz","1970/71","2442.96353"
"Maíz","1971/72","1862.16529"
"Maíz","1972/73","2720.99594"
"Maíz","1973/74","2840.37648"
"Maíz","1974/75","2508.43067"
"Maíz","1975/76","2117.05844"
"Maíz","1976/77","3278.60868"
"Maíz","1977/78","3647.03117"
"Maíz","1978/79","3107.36917"
"Maíz","1979/80","2570.38078"
"Maíz","1980/81","3800.91051"
"Maíz","1981/82","3028.44951"
"Maíz","1982/83","3030.47651"
"Maíz","1983/84","3140.77516"
"Maíz","1984/85","3562.90009"
"Maíz","1985/86","3745.04767"
"Maíz","1986/87","3189.69406"
"Maíz","1987/88","3774.39593"
"Maíz","1988/89","2910.29075"
"Maíz","1989/90","3460.93867"
"Maíz","1990/91","4044.74391"
"Maíz","1991/92","4524.64953"
"Maíz","1992/93","4356.26582"
"Maíz","1993/94","4237.39076"
"Maíz","1994/95","4522.57452"
"Maíz","1995/96","4039.77308"
"Maíz","1996/97","4555.79976"
"Maíz","1997/98","6077.95435"
"Maíz","1998/99","5370.31955"
"Maíz","1999/00","5432.89038"
"Maíz","2000/01","5455.29220"
"Maíz","2001/02","6079.06041"
"Maíz","2002/03","6520.27440"
"Maíz","2003/04","6421.72610"
"Maíz","2004/05","7358.73647"
"Maíz","2005/06","5902.96612"
"Maíz","2006/07","7665.54372"
"Maíz","2007/08","6452.31303"
"Maíz","2008/09","5559.53080"
"Maíz","2009/10","7804.00236"
"Maíz","2010/11","6350.28248"
"Maíz","2011/12","5734.55537"
"Maíz","2012/13","6588.62297"
"Maíz","2013/14","6840.91898"
"Maíz","2014/15","7308.90989"
"Maíz","2015/16","7442.65629"
"Maíz","2016/17","7571.07547"
"Maíz","2017/18","6088.33682"
"Maíz","2018/19","7861.54886"
"Maíz","2019/20","7553.94420"
"Maíz","2020/21","7429.58225"
"Maíz","2021/22","6732.91626"
"Maíz","2022/23","5109.35006"
"Maíz","2023/24","6580.79378"
"Maíz","2024/25","6964.08932"
"Soja","1969/70","1031.95995"
"Soja","1970/71","1624.00220"
"Soja","1971/72","1147.05882"
"Soja","1972/73","1732.42434"
"Soja","1973/74","1440.08828"
"Soja","1974/75","1362.58920"
"Soja","1975/76","1603.22953"
"Soja","1976/77","2121.21212"
"Soja","1977/78","2173.91304"
"Soja","1978/79","2312.50000"
"Soja","1979/80","1724.13793"
"Soja","1980/81","2005.31915"
"Soja","1981/82","2090.04835"
"Soja","1982/83","1753.84750"
"Soja","1983/84","2405.49828"
"Soja","1984/85","1988.37565"
"Soja","1985/86","2141.13390"
"Soja","1986/87","1895.66775"
"Soja","1987/88","2263.78853"
"Soja","1988/89","1653.41812"
"Soja","1989/90","2156.56240"
"Soja","1990/91","2275.02566"
"Soja","1991/92","2291.49653"
"Soja","1992/93","2158.98661"
"Soja","1993/94","2038.62993"
"Soja","1994/95","2044.60277"
"Soja","1995/96","2105.07803"
"Soja","1996/97","1721.18684"
"Soja","1997/98","2693.67972"
"Soja","1998/99","2444.98778"
"Soja","1999/00","2331.33538"
"Soja","2000/01","2569.16300"
"Soja","2001/02","2629.55365"
"Soja","2002/03","2804.48408"
"Soja","2003/04","2208.28293"
"Soja","2004/05","2729.35872"
"Soja","2005/06","2680.00693"
"Soja","2006/07","2973.35526"
"Soja","2007/08","2822.24533"
"Soja","2008/09","1851.74194"
"Soja","2009/10","2922.80022"
"Soja","2010/11","2607.40163"
"Soja","2011/12","2281.74218"
"Soja","2012/13","2546.68865"
"Soja","2013/14","2773.53416"
"Soja","2014/15","3175.51311"
"Soja","2015/16","3016.46859"
"Soja","2016/17","3171.06629"
"Soja","2017/18","2315.58941"
"Soja","2018/19","3333.99299"
"Soja","2019/20","2919.09618"
"Soja","2020/21","2806.74766"
"Soja","2021/22","2763.02955"
"Soja","2022/23","1744.45320"
"Soja","2023/24","2945.02120"
"Soja","2024/25","2927.95757"
"Trigo","1969/70","1352.26697"
"Trigo","1970/71","1329.45943"
"Trigo","1971/72","1266.69809"
"Trigo","1972/73","1591.01477"
"Trigo","1973/74","1657.45270"
"Trigo","1974/75","1410.34848"
"Trigo","1975/76","1626.00083"
"Trigo","1976/77","1711.26322"
"Trigo","1977/78","1355.49918"
"Trigo","1978/79","1728.92209"
"Trigo","1979/80","1692.08272"
"Trigo","1980/81","1548.87627"
"Trigo","1981/82","1400.60852"
"Trigo","1982/83","2049.18033"
"Trigo","1983/84","1837.97219"
"Trigo","1984/85","2305.08475"
"Trigo","1985/86","1616.61959"
"Trigo","1986/87","1777.90493"
"Trigo","1987/88","1879.26750"
"Trigo","1988/89","1836.03992"
"Trigo","1989/90","1891.97790"
"Trigo","1990/91","1896.05865"
"Trigo","1991/92","2173.90826"
"Trigo","1992/93","2320.82168"
"Trigo","1993/94","2021.96077"
"Trigo","1994/95","2165.69583"
"Trigo","1995/96","1936.38637"
"Trigo","1996/97","2241.50681"
"Trigo","1997/98","2595.70505"
"Trigo","1998/99","2304.65190"
"Trigo","1999/00","2486.83013"
"Trigo","2000/01","2490.51809"
"Trigo","2001/02","2235.38750"
"Trigo","2002/03","2033.22562"
"Trigo","2003/04","2539.18283"
"Trigo","2004/05","2627.05524"
"Trigo","2005/06","2530.86786"
"Trigo","2006/07","2625.79360"
"Trigo","2007/08","2830.62244"
"Trigo","2008/09","1963.33984"
"Trigo","2009/10","2757.05953"
"Trigo","2010/11","3503.38363"
"Trigo","2011/12","3225.14845"
"Trigo","2012/13","2657.80884"
"Trigo","2013/14","2661.90942"
"Trigo","2014/15","2810.01311"
"Trigo","2015/16","2862.29700"
"Trigo","2016/17","3304.67727"
"Trigo","2017/18","3180.60714"
"Trigo","2018/19","3215.97722"
"Trigo","2019/20","2938.69511"
"Trigo","2020/21","2759.46130"
"Trigo","2021/22","3382.50970"
"Trigo","2022/23","2287.57191"
"Trigo","2023/24","2843.43554"
"Trigo","2024/25","2919.00261"
