"geocodigoFundar","geonombreFundar","anio","rindes","rindes_trigo_ma5"
"AFG","Afganistán","1961","1.02200",""
"AFG","Afganistán","1962","0.97350",""
"AFG","Afganistán","1963","0.83170",""
"AFG","Afganistán","1964","0.95100",""
"AFG","Afganistán","1965","0.97230","0.95010"
"AFG","Afganistán","1966","0.86660","0.91902"
"AFG","Afganistán","1967","1.12320","0.94896"
"AFG","Afganistán","1968","1.15620","1.01386"
"AFG","Afganistán","1969","1.18550","1.06076"
"AFG","Afganistán","1970","0.95630","1.05756"
"AFG","Afganistán","1971","0.81490","1.04722"
"AFG","Afganistán","1972","0.84570","0.99172"
"AFG","Afganistán","1973","1.17390","0.99526"
"AFG","Afganistán","1974","1.20740","0.99964"
"AFG","Afganistán","1975","1.21280","1.05094"
"AFG","Afganistán","1976","1.24940","1.13784"
"AFG","Afganistán","1977","1.13090","1.19488"
"AFG","Afganistán","1978","1.19800","1.19970"
"AFG","Afganistán","1979","1.23170","1.20456"
"AFG","Afganistán","1980","1.25490","1.21298"
"AFG","Afganistán","1981","1.23500","1.21010"
"AFG","Afganistán","1982","1.22990","1.22990"
"AFG","Afganistán","1983","1.25800","1.24190"
"AFG","Afganistán","1984","1.23190","1.24194"
"AFG","Afganistán","1985","1.22770","1.23650"
"AFG","Afganistán","1986","1.18900","1.22730"
"AFG","Afganistán","1987","1.28490","1.23830"
"AFG","Afganistán","1988","1.17280","1.22126"
"AFG","Afganistán","1989","1.11800","1.19848"
"AFG","Afganistán","1990","1.05100","1.16314"
"AFG","Afganistán","1991","1.02130","1.12960"
"AFG","Afganistán","1992","1.03130","1.07888"
"AFG","Afganistán","1993","1.02110","1.04854"
"AFG","Afganistán","1994","1.02500","1.02994"
"AFG","Afganistán","1995","1.08950","1.03764"
"AFG","Afganistán","1996","1.12200","1.05778"
"AFG","Afganistán","1997","1.27640","1.10680"
"AFG","Afganistán","1998","1.29640","1.16186"
"AFG","Afganistán","1999","1.23290","1.20344"
"AFG","Afganistán","2000","0.72400","1.13034"
"AFG","Afganistán","2001","0.89770","1.08548"
"AFG","Afganistán","2002","1.54190","1.13858"
"AFG","Afganistán","2003","1.50000","1.17930"
"AFG","Afganistán","2004","1.26590","1.18590"
"AFG","Afganistán","2005","1.82150","1.40540"
"AFG","Afganistán","2006","1.37600","1.50106"
"AFG","Afganistán","2007","1.81830","1.55634"
"AFG","Afganistán","2008","1.22630","1.50160"
"AFG","Afganistán","2009","1.96660","1.64174"
"AFG","Afganistán","2010","1.92520","1.66248"
"AFG","Afganistán","2011","1.51790","1.69086"
"AFG","Afganistán","2012","2.01040","1.72928"
"AFG","Afganistán","2013","2.02480","1.88898"
"AFG","Afganistán","2014","2.02370","1.90040"
"AFG","Afganistán","2015","2.19590","1.95454"
"AFG","Afganistán","2016","1.98030","2.04702"
"AFG","Afganistán","2017","2.03420","2.05178"
"AFG","Afganistán","2018","2.21000","2.08882"
"AFG","Afganistán","2019","2.09510","2.10310"
"AFG","Afganistán","2020","1.94340","2.05260"
"AFG","Afganistán","2021","1.96310","2.04916"
"AFG","Afganistán","2022","2.04530","2.05138"
"AFG","Afganistán","2023","2.15060","2.03950"
"AFG","Afganistán","2024","2.26090","2.07266"
"AGO","Angola","1961","1.11110",""
"AGO","Angola","1962","1.11110",""
"AGO","Angola","1963","1.11110",""
"AGO","Angola","1964","0.92860",""
"AGO","Angola","1965","1.11110","1.07460"
"AGO","Angola","1966","1.10000","1.07238"
"AGO","Angola","1967","1.35000","1.12016"
"AGO","Angola","1968","1.35000","1.16794"
"AGO","Angola","1969","0.94300","1.17082"
"AGO","Angola","1970","0.85460","1.11952"
"AGO","Angola","1971","0.91300","1.08212"
"AGO","Angola","1972","1.15920","1.04396"
"AGO","Angola","1973","0.88670","0.95130"
"AGO","Angola","1974","1.30650","1.02400"
"AGO","Angola","1975","1.00000","1.05308"
"AGO","Angola","1976","1.00000","1.07048"
"AGO","Angola","1977","0.76920","0.99248"
"AGO","Angola","1978","0.58820","0.93278"
"AGO","Angola","1979","0.53330","0.77814"
"AGO","Angola","1980","0.58330","0.69480"
"AGO","Angola","1981","0.63160","0.62112"
"AGO","Angola","1982","0.62500","0.59228"
"AGO","Angola","1983","0.62500","0.59964"
"AGO","Angola","1984","0.62500","0.61798"
"AGO","Angola","1985","0.62500","0.62632"
"AGO","Angola","1986","0.80000","0.66000"
"AGO","Angola","1987","0.80000","0.69500"
"AGO","Angola","1988","0.80000","0.73000"
"AGO","Angola","1989","0.80000","0.76500"
"AGO","Angola","1990","0.79950","0.79990"
"AGO","Angola","1991","0.80000","0.79990"
"AGO","Angola","1992","0.80000","0.79990"
"AGO","Angola","1993","0.88620","0.81714"
"AGO","Angola","1994","1.00000","0.85714"
"AGO","Angola","1995","1.18650","0.93454"
"AGO","Angola","1996","1.37580","1.04970"
"AGO","Angola","1997","1.55290","1.20028"
"AGO","Angola","1998","1.71430","1.36590"
"AGO","Angola","1999","1.73910","1.51372"
"AGO","Angola","2000","1.70250","1.61692"
"AGO","Angola","2001","1.66670","1.67510"
"AGO","Angola","2002","1.54850","1.67422"
"AGO","Angola","2003","1.38790","1.60894"
"AGO","Angola","2004","1.24120","1.50936"
"AGO","Angola","2005","1.08600","1.38606"
"AGO","Angola","2006","1.00000","1.25272"
"AGO","Angola","2007","1.00000","1.14302"
"AGO","Angola","2008","1.00000","1.06544"
"AGO","Angola","2009","1.00000","1.01720"
"AGO","Angola","2010","1.05260","1.01052"
"AGO","Angola","2011","1.09590","1.02970"
"AGO","Angola","2012","1.13170","1.05604"
"AGO","Angola","2013","0.99910","1.05586"
"AGO","Angola","2014","0.97790","1.05144"
"AGO","Angola","2015","0.96220","1.03336"
"AGO","Angola","2016","0.94660","1.00350"
"AGO","Angola","2017","0.93100","0.96336"
"AGO","Angola","2018","0.91530","0.94660"
"AGO","Angola","2019","0.87980","0.92698"
"AGO","Angola","2020","0.66950","0.86844"
"AGO","Angola","2021","0.47420","0.77396"
"AGO","Angola","2022","0.59100","0.70596"
"AGO","Angola","2023","1.16340","0.75558"
"AGO","Angola","2024","1.72470","0.92456"
"ALB","Albania","1961","0.77310",""
"ALB","Albania","1962","1.05220",""
"ALB","Albania","1963","0.71270",""
