"cultivo","campania","q_total","share"
"Ajo","1969/70","49110","0.12585"
"Algodón","1969/70","458200","1.17417"
"Alpiste","1969/70","107000","0.27420"
"Arroz","1969/70","407000","1.04297"
"Avena","1969/70","425000","1.08910"
"Banana","1969/70","223440","0.57258"
"Caña de azúcar","1969/70","9700000","24.85704"
"Cebada cervecera","1969/70","499500","1.28001"
"Cebada forrajera","1969/70","70486","0.18063"
"Cebolla total","1969/70","210798","0.54019"
"Centeno","1969/70","377000","0.96609"
"Cártamo","1969/70","105","0.00027"
"Girasol","1969/70","1140000","2.92134"
"Limón","1969/70","201640","0.51672"
"Lino","1969/70","640000","1.64005"
"Mandarina","1969/70","226824","0.58126"
"Maní","1969/70","234500","0.60093"
"Maíz","1969/70","9358372","23.98159"
"Mijo","1969/70","125200","0.32084"
"Naranja","1969/70","863504","2.21280"
"Papa total","1969/70","2332170","5.97638"
"Pomelo","1969/70","130995","0.33569"
"Poroto total","1969/70","39388","0.10093"
"Soja total","1969/70","26800","0.06868"
"Sorgo","1969/70","3820000","9.78906"
"Trigo total","1969/70","7019726","17.98862"
"Tung","1969/70","148600","0.38080"
"Té","1969/70","111000","0.28445"
"Yerba mate","1969/70","76788","0.19678"
"Ajo","1970/71","49214","0.13003"
"Algodón","1970/71","285000","0.75300"
"Alpiste","1970/71","39300","0.10384"
"Arroz","1970/71","288000","0.76093"
"Avena","1970/71","359960","0.95106"
"Banana","1970/71","224800","0.59395"
"Caña de azúcar","1970/71","10260000","27.10813"
"Cebada cervecera","1970/71","318500","0.84151"
"Cebada forrajera","1970/71","48478","0.12808"
"Cebolla total","1970/71","207566","0.54841"
"Centeno","1970/71","180700","0.47743"
"Cártamo","1970/71","1308","0.00346"
"Girasol","1970/71","830000","2.19296"
"Limón","1970/71","198424","0.52426"
"Lino","1970/71","680000","1.79664"
"Mandarina","1970/71","264824","0.69970"
"Maní","1970/71","387600","1.02408"
"Maíz","1970/71","9928194","26.23146"
"Mijo","1970/71","183000","0.48351"
"Naranja","1970/71","988795","2.61251"
"Papa total","1970/71","1954034","5.16279"
"Pomelo","1970/71","143584","0.37937"
"Poroto total","1970/71","58920","0.15567"
"Soja total","1970/71","59000","0.15588"
"Sorgo","1970/71","4660000","12.31227"
"Trigo total","1970/71","4919767","12.99860"
"Tung","1970/71","110000","0.29063"
"Té","1970/71","129000","0.34083"
"Yerba mate","1970/71","90460","0.23901"
"Ajo","1971/72","50746","0.15050"
"Algodón","1971/72","292200","0.86657"
"Alpiste","1971/72","26200","0.07770"
"Arroz","1971/72","294000","0.87191"
"Avena","1971/72","475000","1.40870"
"Banana","1971/72","312700","0.92737"
"Caña de azúcar","1971/72","12870000","38.16826"
"Cebada cervecera","1971/72","476000","1.41166"
"Cebada forrajera","1971/72","77000","0.22836"
"Cebolla total","1971/72","227423","0.67446"
"Centeno","1971/72","256000","0.75921"
"Cártamo","1971/72","2850","0.00845"
"Girasol","1971/72","828000","2.45558"
"Limón","1971/72","185736","0.55083"
"Lino","1971/72","315600","0.93597"
"Mandarina","1971/72","225600","0.66906"
"Maní","1971/72","252000","0.74735"
"Maíz","1971/72","5858318","17.37388"
"Mijo","1971/72","105000","0.31140"
"Naranja","1971/72","748680","2.22034"
"Papa total","1971/72","1336735","3.96432"
"Pomelo","1971/72","139854","0.41476"
"Poroto total","1971/72","57923","0.17178"
"Soja total","1971/72","78000","0.23132"
"Sorgo","1971/72","2360000","6.99900"
"Trigo total","1971/72","5439840","16.13281"
"Tung","1971/72","170000","0.50417"
"Té","1971/72","131000","0.38850"
"Yerba mate","1971/72","126714","0.37579"
"Ajo","1972/73","54545","0.11264"
"Algodón","1972/73","424000","0.87563"
"Alpiste","1972/73","35000","0.07228"
"Arroz","1972/73","260000","0.53694"
"Avena","1972/73","566000","1.16888"
"Banana","1972/73","352160","0.72726"
"Caña de azúcar","1972/73","16870000","34.83915"
"Cebada cervecera","1972/73","760000","1.56952"
"Cebada forrajera","1972/73","120000","0.24782"
"Cebolla total","1972/73","231745","0.47859"
"Centeno","1972/73","690000","1.42496"
"Cártamo","1972/73","4510","0.00931"
"Girasol","1972/73","880000","1.81734"
"Limón","1972/73","231960","0.47903"
"Lino","1972/73","330000","0.68150"
"Mandarina","1972/73","248300","0.51278"
"Maní","1972/73","440000","0.90867"
"Maíz","1972/73","9698405","20.02870"
"Mijo","1972/73","227000","0.46879"
"Naranja","1972/73","781255","1.61341"
"Papa total","1972/73","1532375","3.16459"
"Pomelo","1972/73","179230","0.37014"
"Poroto total","1972/73","72791","0.15032"
"Soja total","1972/73","271904","0.56152"
"Sorgo","1972/73","4960000","10.24317"
"Trigo total","1972/73","7896787","16.30808"
"Tung","1972/73","25000","0.05163"
"Té","1972/73","128600","0.26558"
"Yerba mate","1972/73","150963","0.31176"
"Ajo","1973/74","66821","0.13964"
"Algodón","1973/74","418400","0.87434"
"Alpiste","1973/74","34000","0.07105"
"Arroz","1973/74","316000","0.66035"
"Avena","1973/74","561000","1.17234"
"Banana","1973/74","399400","0.83464"
"Caña de azúcar","1973/74","15536000","32.46599"
"Cebada cervecera","1973/74","608000","1.27055"
"Cebada forrajera","1973/74","124000","0.25913"
"Cebolla total","1973/74","285476","0.59657"
"Centeno","1973/74","613000","1.28100"
"Cártamo","1973/74","7850","0.01640"
"Girasol","1973/74","970000","2.02703"
"Limón","1973/74","306000","0.63946"
"Lino","1973/74","297000","0.62065"
"Mandarina","1973/74","230000","0.48064"
"Maní","1973/74","290000","0.60602"
"Maíz","1973/74","9898570","20.68530"
"Mijo","1973/74","228500","0.47750"
"Naranja","1973/74","832960","1.74066"
"Papa total","1973/74","2171698","4.53826"
"Pomelo","1973/74","177000","0.36988"
"Poroto total","1973/74","115150","0.24063"
"Soja total","1973/74","495880","1.03625"
"Sorgo","1973/74","5900000","12.32939"
"Trigo total","1973/74","6559916","13.70843"
"Tung","1973/74","136000","0.28420"
"Té","1973/74","140000","0.29256"
"Yerba mate","1973/74","134529","0.28113"
"Ajo","1974/75","67621","0.15973"
"Algodón","1974/75","541000","1.27790"
"Alpiste","1974/75","25400","0.06000"
"Arroz","1974/75","351000","0.82910"
"Avena","1974/75","327000","0.77241"
"Banana","1974/75","374300","0.88414"
"Caña de azúcar","1974/75","15600000","36.84890"
"Cebada cervecera","1974/75","365000","0.86217"
"Cebada forrajera","1974/75","65000","0.15354"
"Cebolla total","1974/75","330560","0.78082"
"Centeno","1974/75","306000","0.72281"
"Cártamo","1974/75","3330","0.00787"
"Girasol","1974/75","732000","1.72906"
"Limón","1974/75","339000","0.80075"
"Lino","1974/75","380700","0.89925"
"Mandarina","1974/75","229500","0.54210"
"Maní","1974/75","375200","0.88626"
"Maíz","1974/75","7698750","18.18529"
"Mijo","1974/75","200000","0.47242"
"Naranja","1974/75","728966","1.72190"
"Papa total","1974/75","1347890","3.18386"
"Pomelo","1974/75","185000","0.43699"
"Poroto total","1974/75","108535","0.25637"
"Soja total","1974/75","485000","1.14562"
"Sorgo","1974/75","4830000","11.40899"
"Trigo total","1974/75","5969991","14.10177"
"Tung","1974/75","61000","0.14409"
"Té","1974/75","165000","0.38975"
"Yerba mate","1974/75","142308","0.33615"
"Ajo","1975/76","68525","0.16046"
"Algodón","1975/76","445000","1.04200"
"Alpiste","1975/76","32800","0.07680"
"Arroz","1975/76","309000","0.72354"
"Avena","1975/76","432900","1.01367"
"Banana","1975/76","277500","0.64979"
"Caña de azúcar","1975/76","14310000","33.50785"
"Cebada cervecera","1975/76","447800","1.04855"
"Cebada forrajera","1975/76","74900","0.17538"
"Cebolla total","1975/76","289277","0.67736"
"Centeno","1975/76","273200","0.63972"
"Cártamo","1975/76","5880","0.01377"
"Girasol","1975/76","1085000","2.54060"
"Limón","1975/76","247000","0.57837"
"Lino","1975/76","377000","0.88277"
"Mandarina","1975/76","229000","0.53622"
"Maní","1975/76","337900","0.79122"
"Maíz","1975/76","5854090","13.70776"
"Mijo","1975/76","293700","0.68772"
"Naranja","1975/76","742929","1.73962"
"Papa total","1975/76","1525481","3.57202"
"Pomelo","1975/76","180000","0.42148"
"Poroto total","1975/76","170390","0.39898"
"Soja total","1975/76","695000","1.62739"
"Sorgo","1975/76","5060000","11.84834"
"Trigo total","1975/76","8570000","20.06725"
"Tung","1975/76","118000","0.27631"
"Té","1975/76","133000","0.31143"
"Yerba mate","1975/76","121135","0.28365"
"Ajo","1976/77","72925","0.13865"
"Algodón","1976/77","522000","0.99245"
"Alpiste","1976/77","39000","0.07415"
"Arroz","1976/77","320000","0.60840"
"Avena","1976/77","530000","1.00766"
"Banana","1976/77","220000","0.41827"
"Caña de azúcar","1976/77","16000000","30.41982"
"Cebada cervecera","1976/77","670000","1.27383"
"Cebada forrajera","1976/77","90000","0.17111"
"Cebolla total","1976/77","249522","0.47440"
"Centeno","1976/77","330000","0.62741"
"Cártamo","1976/77","0","0.00000"
"Girasol","1976/77","900000","1.71111"
"Limón","1976/77","320000","0.60840"
"Lino","1976/77","617000","1.17306"
"Mandarina","1976/77","250000","0.47531"
"Maní","1976/77","600000","1.14074"
"Maíz","1976/77","8298552","15.77753"
