"geocodigoFundar","geonombreFundar","anio","valor"
"AR-CUY","Cuyo","2007","2013334.00000"
"AR-NEA","NEA","2007","10049067.00000"
"AR-NOA","NOA","2007","2536581.00000"
"AR-PAM","Pampeana","2007","42984036.00000"
"AR-PAT","Patagonia","2007","1194886.00000"
"AR-CUY","Cuyo","2008","2145433.00000"
"AR-NEA","NEA","2008","10003050.00000"
"AR-NOA","NOA","2008","2654440.00000"
"AR-PAM","Pampeana","2008","39528988.00000"
"AR-PAT","Patagonia","2008","1079344.00000"
"AR-CUY","Cuyo","2009","1959777.00000"
"AR-NEA","NEA","2009","9592736.00000"
"AR-NOA","NOA","2009","2522068.00000"
"AR-PAM","Pampeana","2009","34814368.00000"
"AR-PAT","Patagonia","2009","953052.00000"
"AR-CUY","Cuyo","2010","1766973.00000"
"AR-NEA","NEA","2010","9205491.00000"
"AR-NOA","NOA","2010","2521027.00000"
"AR-PAM","Pampeana","2010","34441971.00000"
"AR-PAT","Patagonia","2010","915143.00000"
"AR-CUY","Cuyo","2011","1728641.00000"
"AR-NEA","NEA","2011","9959517.00000"
"AR-NOA","NOA","2011","2560760.00000"
"AR-PAM","Pampeana","2011","35515808.00000"
"AR-PAT","Patagonia","2011","949427.00000"
"AR-CUY","Cuyo","2012","1712626.00000"
"AR-NEA","NEA","2012","10180529.00000"
"AR-NOA","NOA","2012","2846015.00000"
"AR-PAM","Pampeana","2012","36399596.00000"
"AR-PAT","Patagonia","2012","1062711.00000"
"AR-CUY","Cuyo","2013","1760067.00000"
"AR-NEA","NEA","2013","10167938.00000"
"AR-NOA","NOA","2013","2556607.00000"
"AR-PAM","Pampeana","2013","36956066.00000"
"AR-PAT","Patagonia","2013","955616.00000"
"AR-CUY","Cuyo","2014","1724342.00000"
"AR-NEA","NEA","2014","9914328.00000"
"AR-NOA","NOA","2014","2598532.00000"
"AR-PAM","Pampeana","2014","36966823.00000"
"AR-PAT","Patagonia","2014","963714.00000"
"AR-CUY","Cuyo","2015","1816877.00000"
"AR-NEA","NEA","2015","9893862.00000"
"AR-NOA","NOA","2015","2792843.00000"
"AR-PAM","Pampeana","2015","37610465.00000"
"AR-PAT","Patagonia","2015","1003659.00000"
"AR-CUY","Cuyo","2016","1963264.00000"
"AR-NEA","NEA","2016","9696363.00000"
"AR-NOA","NOA","2016","3033157.00000"
"AR-PAM","Pampeana","2016","38413279.00000"
"AR-PAT","Patagonia","2016","1057317.00000"
"AR-CUY","Cuyo","2017","2015417.00000"
"AR-NEA","NEA","2017","9501212.00000"
"AR-NOA","NOA","2017","3173457.00000"
"AR-PAM","Pampeana","2017","39007405.00000"
"AR-PAT","Patagonia","2017","1095690.00000"
"AR-CUY","Cuyo","2018","2024359.00000"
"AR-NEA","NEA","2018","9294517.00000"
"AR-NOA","NOA","2018","3218977.00000"
"AR-PAM","Pampeana","2018","39352082.00000"
"AR-PAT","Patagonia","2018","1117918.00000"
"AR-CUY","Cuyo","2019","1967156.00000"
"AR-NEA","NEA","2019","9108661.00000"
"AR-NOA","NOA","2019","3142680.00000"
"AR-PAM","Pampeana","2019","39092304.00000"
"AR-PAT","Patagonia","2019","1149998.00000"
"AR-CUY","Cuyo","2020","1812162.00000"
"AR-NEA","NEA","2020","8748091.00000"
"AR-NOA","NOA","2020","2996574.00000"
"AR-PAM","Pampeana","2020","38819566.00000"
"AR-PAT","Patagonia","2020","1141141.00000"
"AR-CUY","Cuyo","2021","1836219.42000"
"AR-NEA","NEA","2021","8707655.68500"
"AR-NOA","NOA","2021","2948248.53500"
"AR-PAM","Pampeana","2021","38762382.97000"
"AR-PAT","Patagonia","2021","1161928.00000"
"AR-CUY","Cuyo","2022","1854969.00000"
"AR-NEA","NEA","2022","8903055.00000"
"AR-NOA","NOA","2022","2909159.00000"
"AR-PAM","Pampeana","2022","39365781.00000"
"AR-PAT","Patagonia","2022","1209631.00000"
"AR-CUY","Cuyo","2023","1862424.00000"
"AR-NEA","NEA","2023","8772196.00000"
"AR-NOA","NOA","2023","2904904.00000"
"AR-PAM","Pampeana","2023","37992195.00000"
"AR-PAT","Patagonia","2023","1252173.00000"
"AR-CUY","Cuyo","2024","1740365.00000"
"AR-NEA","NEA","2024","8820376.00000"
"AR-NOA","NOA","2024","2752417.00000"
"AR-PAM","Pampeana","2024","37105726.00000"
"AR-PAT","Patagonia","2024","1206025.00000"
"AR-CUY","Cuyo","2025","1732183.00000"
"AR-NEA","NEA","2025","8410940.00000"
"AR-NOA","NOA","2025","2709104.00000"
"AR-PAM","Pampeana","2025","32556991.00000"
"AR-PAT","Patagonia","2025","1243755.00000"
