geocodigoFundar,geonombreFundar,anio,valor
ABW,Aruba,2021,2.0
AFG,Afganistán,2021,8051.0
AGO,Angola,2021,5690.0
ALB,Albania,2021,687.53
AND,Andorra,2021,0.7562
ARE,Emiratos Árabes Unidos,2021,91.5615
ARG,Argentina,2021,43276.7597
ARM,Armenia,2021,503.72
ASM,Samoa Americana,2021,2.9
ATG,Antigua y Barbuda,2021,5.0
AUS,Australia,2021,31650.0
AUT,Austria,2021,1387.4794
AZE,Azerbaiyán,2021,2363.0
BDI,Burundi,2021,1620.0
BEL,Bélgica,2021,889.39
BEN,Benin,2021,3400.0
BFA,Burkina Faso,2021,6740.0
BGD,Bangladesh,2021,9468.0
BGR,Bulgaria,2021,3649.5179
BHR,Bahrein,2021,4.1
BHS,Bahamas,2021,11.0
BIH,Bosnia y Herzegovina,2021,1116.0
BLR,Belarús,2021,5719.0
BLZ,Belice,2021,132.0
BMU,Bermuda,2021,0.3
BOL,Bolivia,2021,5119.3672
BRA,Brasil,2021,66008.76
BRB,Barbados,2021,8.0
BRN,Brunei,2021,10.0
BTN,Bhután,2021,100.0
BWA,Botswana,2021,262.0
CAF,Rep. Centroafricana,2021,1920.0
CAN,Canadá,2021,38431.0
CHI,Islas Del Canal,2021,3.63
CHE,Suiza,2021,420.6904
CHL,Chile,2021,1811.9
CHN,China,2021,127862.0
CIV,Costa de Marfil,2021,10300.0
CMR,Camerún,2021,7750.0
COD,Rep. Dem. Congo,2021,15698.0
COG,Congo,2021,678.0
COK,Islas Cook,2021,1.9
COL,Colombia,2021,4498.0
COM,Comoras,2021,118.0
CPV,Cabo Verde,2021,54.0
CRI,Costa Rica,2021,611.0
CUB,Cuba,2021,3561.6
CYM,Islas Caimán,2021,0.7
CYP,Chipre,2021,120.9456
CZE,Chequia,2021,2524.272
DEU,Alemania,2021,11860.0
DJI,Djibouti,2021,3.9
DMA,Dominica,2021,23.0
DNK,Dinamarca,2021,2384.0
DOM,Rep. Dominicana,2021,1232.0
DZA,Argelia,2021,8509.571
ECU,Ecuador,2021,2448.0
EGY,Egipto,2021,4031.0
ERI,Eritrea,2021,692.0
ESH,Sáhara Occidental,2021,4.0
ESP,España,2021,16609.8164
EST,Estonia,2021,705.0
ETH,Etiopía,2021,18595.0
F351,China,2021,128652.0
FIN,Finlandia,2021,2247.0
FJI,Fiji,2021,138.6
FRA,Francia,2021,18970.54
FRO,Islas Feroe,2021,0.07
FSM,Micronesia,2021,2.0
GAB,Gabón,2021,495.0
GBR,Reino Unido,2021,6055.8189
GEO,Georgia,2021,439.9
GHA,Ghana,2021,7417.5
GIN,Guinea,2021,3938.0
GLP,Guadalupe,2021,24.61
GMB,Gambia,2021,447.0
GNB,Guinea-Bissau,2021,550.0
GNQ,Guinea Ecuatorial,2021,100.0
GRC,Grecia,2021,3220.1601
GRD,Granada,2021,7.0
GTM,Guatemala,2021,2737.0
GUF,Guayana Francesa,2021,18.82
GUM,Guam,2021,8.0
GUY,Guyana,2021,449.0
HKG,Hong Kong,2021,3.0
HND,Honduras,2021,1618.0
HRV,Croacia,2021,936.0
HTI,Haití,2021,1305.0
HUN,Hungría,2021,4289.1993
IDN,Indonesia,2021,53600.0
IMN,Isla de Man,2021,23.2
IND,India,2021,168047.948
IRL,Irlanda,2021,437.0
IRN,Irán,2021,17590.0
IRQ,Iraq,2021,5439.0
ISL,Islandia,2021,121.0
ISR,Israel,2021,479.5
ITA,Italia,2021,9361.4345
JAM,Jamaica,2021,188.0
JOR,Jordania,2021,281.0
JPN,Japón,2021,4349.0
KAZ,Kazajstán,2021,29801.7
KEN,Kenia,2021,6410.0
KGZ,Kirguistán,2021,1364.1
KHM,Camboya,2021,4599.1397
KIR,Kiribati,2021,34.0
KNA,Saint Kitts y Nevis,2021,5.1
KOR,Corea del Sur,2021,1547.0
KWT,Kuwait,2021,14.0
LAO,Laos,2021,1354.0
LBN,Líbano,2021,279.3
LBR,Liberia,2021,700.0
LBY,Libia,2021,2050.0
LCA,Santa Lucía,2021,9.57
LIE,Liechtenstein,2021,1.73
LKA,Sri Lanka,2021,2372.0
LSO,Lesotho,2021,433.0
LTU,Lituania,2021,2315.2
LUX,Luxemburgo,2021,64.03
LVA,Letonia,2021,1371.0
MAR,Marruecos,2021,9291.0
MDA,Moldavia,2021,1937.0
MDG,Madagascar,2021,3600.0
MDV,Maldivas,2021,4.9
MEX,México,2021,22899.0
MHL,Islas Marshall,2021,7.0
MKD,Macedonia del Norte,2021,458.0
MLI,Malí,2021,8491.0
MLT,Malta,2021,8.75
MMR,Myanmar,2021,12500.0
MNE,Montenegro,2021,14.4
MNG,Mongolia,2021,1337.8
MNP,Islas Marianas,2021,0.17
MOZ,Mozambique,2021,5950.0
MRT,Mauritania,2021,460.0
MSR,Montserrat,2021,2.0
MTQ,Martinica,2021,16.91
MUS,Mauricio,2021,79.0
MWI,Malawi,2021,4200.0
MYS,Malasia,2021,8286.0
MYT,Mayotte,2021,19.98
NAM,Namibia,2021,812.0
NCL,Nueva Caledonia,2021,9.7
NER,Níger,2021,17813.0
NGA,Nigeria,2021,43472.0
NIC,Nicaragua,2021,1799.0
NIU,Niue,2021,3.8
NLD,Países Bajos,2021,1040.0
NOR,Noruega,2021,807.0
NPL,Nepal,2021,2325.7
NRU,Nauru,2021,0.4
NZL,Nueva Zelanda,2021,690.0
OMN,Omán,2021,116.22
PAK,Pakistán,2021,31303.0
PAN,Panamá,2021,672.316
PER,Perú,2021,6715.689
PHL,Filipinas,2021,11183.0
PLW,Palau,2021,2.3
PNG,Papúa Nueva Guinea,2021,1251.0
POL,Polonia,2021,11458.76
PRI,Puerto Rico,2021,66.2
PRK,Corea del Norte,2021,2545.0
PRT,Portugal,2021,1831.8118
PRY,Paraguay,2021,4824.0
PSE,Palestina,2021,113.2
PYF,Polinesia Francesa,2021,28.5
QAT,Qatar,2021,24.0
REU,Reunión,2021,36.82
ROU,Rumania,2021,8989.0
RUS,Rusia,2021,123442.0
RWA,Ruanda,2021,1618.4
SAU,Arabia Saudita,2021,3637.0
SDN,Sudán,2021,21210.84
SEN,Senegal,2021,3911.0
SGP,Singapur,2021,0.66
SHN,Santa Elena,2021,4.0
SLB,Islas Salomón,2021,112.0
SLE,Sierra Leona,2021,1749.0
SLV,El Salvador,2021,881.0
SMR,San Marino,2021,2.3
SOM,Somalia,2021,1129.0
SPM,San Pedro y Miquelón,2021,2.0
SRB,Serbia,2021,2819.0
SSD,Sudán del Sur,2021,2479.7
STP,Santo Tomé y Príncipe,2021,42.0
SUR,Suriname,2021,62.0
SVK,Eslovaquia,2021,1344.0
SVN,Eslovenia,2021,233.35
SWE,Suecia,2021,2538.65
SWZ,Eswatini,2021,195.0
SYC,Seychelles,2021,1.55
SYR,Siria,2021,5726.617
TCA,Islas Turcas y Caicos,2021,1.0
TCD,Chad,2021,5338.0
TGO,Togo,2021,2820.0
THA,Tailandia,2021,22700.0
TJK,Tayikistán,2021,1042.0
TKL,Tokelau,2021,0.6
TKM,Turkmenistán,2021,2000.0
TLS,Timor-Leste,2021,191.4
TON,Tonga,2021,31.0
TTO,Trinidad y Tobago,2021,47.0
TUN,Túnez,2021,4950.5
TUR,Turquía,2021,23473.0
TUV,Tuvalu,2021,1.8
TWN,Taiwán,2021,787.0
TZA,Tanzanía,2021,15521.2
UGA,Uganda,2021,9100.0
UKR,Ucrania,2021,33777.0
URY,Uruguay,2021,2069.605
USA,Estados Unidos,2021,160436.8
UZB,Uzbekistán,2021,4437.5
VCT,San Vicente y las Granadinas,2021,5.0
VEN,Venezuela,2021,3300.0
VGB,Islas Vírgenes Británicas,2021,2.0
VIR,Islas Vírgenes de EEUU,2021,1.1
VNM,Vietnam,2021,11718.0
VUT,Vanuatu,2021,145.0
WLF,Wallis y Futuna,2021,6.0
WSM,Samoa,2021,43.0
YEM,Yemen,2021,1452.0
ZAF,Sudáfrica,2021,12413.0
ZMB,Zambia,2021,3839.0
ZWE,Zimbabwe,2021,4100.0
