"cultivo","campania","supsem_total"
"Maíz","1969/70",4663760
"Maíz","1970/71",4990990
"Maíz","1971/72",4437630
"Maíz","1972/73",4249455
"Maíz","1973/74",4132500
"Maíz","1974/75",3869850
"Maíz","1975/76",3694900
"Maíz","1976/77",2978900
"Maíz","1977/78",3099200
"Maíz","1978/79",3299350
"Maíz","1979/80",3309450
"Maíz","1980/81",3999550
"Maíz","1981/82",3694650
"Maíz","1982/83",3439500
"Maíz","1983/84",3483100
"Maíz","1984/85",3619900
"Maíz","1985/86",3819800
"Maíz","1986/87",3649880
"Maíz","1987/88",2824894
"Maíz","1988/89",2684800
"Maíz","1989/90",2069820
"Maíz","1990/91",2159700
"Maíz","1991/92",2684000
"Maíz","1992/93",2960820
"Maíz","1993/94",2780580
"Maíz","1994/95",2957200
"Maíz","1995/96",3414350
"Maíz","1996/97",4153200
"Maíz","1997/98",3751630
"Maíz","1998/99",3270050
"Maíz","1999/00",3651900
"Maíz","2000/01",3494523
"Maíz","2001/02",3061661
"Maíz","2002/03",3060374
"Maíz","2003/04",2962400
"Maíz","2004/05",3403837
"Maíz","2005/06",3190440
"Maíz","2006/07",3578235
"Maíz","2007/08",4238329
"Maíz","2008/09",3501328
"Maíz","2009/10",3671260
"Maíz","2010/11",4561101
"Maíz","2011/12",5000330
"Maíz","2012/13",6133378
"Maíz","2013/14",6098885
"Maíz","2014/15",6034480
"Maíz","2015/16",6904538
"Maíz","2016/17",8486694
"Maíz","2017/18",9139766
"Maíz","2018/19",9039594
"Maíz","2019/20",9504473
"Maíz","2020/21",9742230
"Maíz","2021/22",10670126
"Maíz","2022/23",10533195
"Soja","1969/70",30470
"Soja","1970/71",37700
"Soja","1971/72",79800
"Soja","1972/73",169360
"Soja","1973/74",376600
"Soja","1974/75",369500
"Soja","1975/76",442500
"Soja","1976/77",710000
"Soja","1977/78",1200000
"Soja","1978/79",1640000
"Soja","1979/80",2100000
"Soja","1980/81",1925000
"Soja","1981/82",2040000
"Soja","1982/83",2362000
"Soja","1983/84",2920000
"Soja","1984/85",3300000
"Soja","1985/86",3340000
"Soja","1986/87",3684000
"Soja","1987/88",4413000
"Soja","1988/89",4670000
"Soja","1989/90",5100000
"Soja","1990/91",4966200
"Soja","1991/92",5003000
"Soja","1992/93",5318410
"Soja","1993/94",5817490
"Soja","1994/95",6011240
"Soja","1995/96",6002155
"Soja","1996/97",6669500
"Soja","1997/98",7176250
"Soja","1998/99",8400000
"Soja","1999/00",8788181
"Soja","2000/01",10927330
"Soja","2001/02",11627961
"Soja","2002/03",12590244
"Soja","2003/04",14513106
"Soja","2004/05",14390630
"Soja","2005/06",15368083
"Soja","2006/07",16110038
"Soja","2007/08",16571885
"Soja","2008/09",17980895
"Soja","2009/10",18392752
"Soja","2010/11",18870651
"Soja","2011/12",18664148
"Soja","2012/13",19902072
"Soja","2013/14",19705342
"Soja","2014/15",19792100
"Soja","2015/16",20562233
"Soja","2016/17",18057162
"Soja","2017/18",17259260
"Soja","2018/19",17010277
"Soja","2019/20",16918869
"Soja","2020/21",16650093
"Soja","2021/22",16094383
"Soja","2022/23",15978775
"Trigo","1969/70",6238470
"Trigo","1970/71",4467955
"Trigo","1971/72",4985687
"Trigo","1972/73",5625107
"Trigo","1973/74",4251550
"Trigo","1974/75",5182780
"Trigo","1975/76",5752800
"Trigo","1976/77",7191820
"Trigo","1977/78",4599850
"Trigo","1978/79",5229860
"Trigo","1979/80",4999850
"Trigo","1980/81",6195870
"Trigo","1981/82",6565810
"Trigo","1982/83",7409800
"Trigo","1983/84",7199860
"Trigo","1984/85",6e+06
"Trigo","1985/86",5700000
"Trigo","1986/87",5e+06
"Trigo","1987/88",4850000
"Trigo","1988/89",4750000
"Trigo","1989/90",5500000
"Trigo","1990/91",6178400
"Trigo","1991/92",4750850
"Trigo","1992/93",4547700
"Trigo","1993/94",4909900
"Trigo","1994/95",5307850
"Trigo","1995/96",5087800
"Trigo","1996/97",7366850
"Trigo","1997/98",5918665
"Trigo","1998/99",5453250
"Trigo","1999/00",6300000
"Trigo","2000/01",6496600
"Trigo","2001/02",7108900
"Trigo","2002/03",6300210
"Trigo","2003/04",6039857
"Trigo","2004/05",6255365
"Trigo","2005/06",5222485
"Trigo","2006/07",5675975
"Trigo","2007/08",5951577
"Trigo","2008/09",4733735
"Trigo","2009/10",3556705
"Trigo","2010/11",4582250
"Trigo","2011/12",4630600
"Trigo","2012/13",3162138
"Trigo","2013/14",3648070
"Trigo","2014/15",5261085
"Trigo","2015/16",4381128
"Trigo","2016/17",6364015
"Trigo","2017/18",5927610
"Trigo","2018/19",6287149
"Trigo","2019/20",6951171
"Trigo","2020/21",6729898
"Trigo","2021/22",6751729
"Trigo","2022/23",5907287
