"geocodigoFundar","geonombreFundar","cadena","share"
"AR-A","Salta","Algodón textil","0.20000"
"AR-A","Salta","Apícola","1.04000"
"AR-A","Salta","Arrocera","0.06000"
"AR-A","Salta","Avícola","0.99000"
"AR-A","Salta","Azucarera","3.26000"
"AR-A","Salta","Bovina","1.96000"
"AR-A","Salta","Caprina","2.61000"
"AR-A","Salta","Cebada","0.31000"
"AR-A","Salta","Cítricos dulces","4.55000"
"AR-A","Salta","Fruta de carozo","3.03000"
"AR-A","Salta","Frutas finas","4.70000"
"AR-A","Salta","Girasol","0.31000"
"AR-A","Salta","Hortícola","4.37000"
"AR-A","Salta","Legumbres","54.60000"
"AR-A","Salta","Limón","3.54000"
"AR-A","Salta","Láctea","0.60000"
"AR-A","Salta","Maicera","3.63000"
"AR-A","Salta","Maní","1.36000"
"AR-A","Salta","Olivícola","0.75000"
"AR-A","Salta","Ovina","1.21000"
"AR-A","Salta","Peras y Manzanas","0.39000"
"AR-A","Salta","Pesca","0.00000"
"AR-A","Salta","Porcina","1.94000"
"AR-A","Salta","Sojera","1.21000"
"AR-A","Salta","Sorgo","1.80000"
"AR-A","Salta","Tabacalera","34.75000"
"AR-A","Salta","Tealera","0.67000"
"AR-A","Salta","Triguera","1.48000"
"AR-A","Salta","Vitivinícola","1.97000"
"AR-A","Salta","Yerba mate","0.10000"
"AR-B","Buenos Aires","Algodón textil","36.64000"
"AR-B","Buenos Aires","Apícola","35.38000"
"AR-B","Buenos Aires","Arrocera","0.17000"
"AR-B","Buenos Aires","Avícola","29.68000"
"AR-B","Buenos Aires","Azucarera","18.00000"
"AR-B","Buenos Aires","Bovina","40.83000"
"AR-B","Buenos Aires","Caprina","0.63000"
"AR-B","Buenos Aires","Cebada","54.24000"
"AR-B","Buenos Aires","Cítricos dulces","5.75000"
"AR-B","Buenos Aires","Fruta de carozo","8.29000"
"AR-B","Buenos Aires","Frutas finas","4.47000"
"AR-B","Buenos Aires","Girasol","47.51000"
"AR-B","Buenos Aires","Hortícola","19.23000"
"AR-B","Buenos Aires","Legumbres","5.49000"
"AR-B","Buenos Aires","Limón","0.52000"
"AR-B","Buenos Aires","Láctea","31.52000"
"AR-B","Buenos Aires","Maicera","27.27000"
"AR-B","Buenos Aires","Maní","4.86000"
"AR-B","Buenos Aires","Olivícola","2.55000"
"AR-B","Buenos Aires","Ovina","10.95000"
"AR-B","Buenos Aires","Peras y Manzanas","0.65000"
"AR-B","Buenos Aires","Pesca","46.48000"
"AR-B","Buenos Aires","Porcina","39.12000"
"AR-B","Buenos Aires","Sojera","16.35000"
"AR-B","Buenos Aires","Sorgo","38.45000"
"AR-B","Buenos Aires","Tabacalera","30.13000"
"AR-B","Buenos Aires","Tealera","17.37000"
"AR-B","Buenos Aires","Triguera","40.92000"
"AR-B","Buenos Aires","Vitivinícola","0.96000"
"AR-B","Buenos Aires","Yerba mate","0.30000"
"AR-C","CABA","Algodón textil","36.79000"
"AR-C","CABA","Apícola","0.00000"
"AR-C","CABA","Arrocera","0.04000"
"AR-C","CABA","Avícola","1.18000"
"AR-C","CABA","Azucarera","7.90000"
"AR-C","CABA","Bovina","0.25000"
"AR-C","CABA","Caprina","0.00000"
"AR-C","CABA","Cebada","12.99000"
"AR-C","CABA","Cítricos dulces","0.88000"
"AR-C","CABA","Fruta de carozo","1.35000"
"AR-C","CABA","Frutas finas","7.35000"
"AR-C","CABA","Girasol","0.20000"
"AR-C","CABA","Hortícola","1.25000"
"AR-C","CABA","Legumbres","0.00000"
"AR-C","CABA","Limón","0.11000"
"AR-C","CABA","Láctea","4.07000"
"AR-C","CABA","Maicera","0.88000"
"AR-C","CABA","Maní","0.91000"
"AR-C","CABA","Olivícola","0.17000"
"AR-C","CABA","Ovina","0.00000"
"AR-C","CABA","Peras y Manzanas","0.13000"
"AR-C","CABA","Pesca","0.33000"
"AR-C","CABA","Porcina","0.53000"
"AR-C","CABA","Sojera","0.21000"
"AR-C","CABA","Sorgo","1.05000"
"AR-C","CABA","Tabacalera","4.29000"
"AR-C","CABA","Tealera","6.22000"
"AR-C","CABA","Triguera","10.15000"
"AR-C","CABA","Vitivinícola","0.23000"
"AR-C","CABA","Yerba mate","0.07000"
"AR-D","San Luis","Algodón textil","1.22000"
"AR-D","San Luis","Apícola","1.70000"
