"anio","sector","subsector","valor_en_mtco2e"
"1990","AGSyOUT","Emisiones de la quema de biomasa","10.81"
"1990","AGSyOUT","Emisiones directas e indirectas de N2O y otros","12.79"
"1990","AGSyOUT","Ganado","83.23"
"1990","AGSyOUT","Tierras","44.35"
"1991","AGSyOUT","Emisiones de la quema de biomasa","10.91"
"1991","AGSyOUT","Emisiones directas e indirectas de N2O y otros","13.08"
"1991","AGSyOUT","Ganado","84.52"
"1991","AGSyOUT","Tierras","67.71"
"1992","AGSyOUT","Emisiones de la quema de biomasa","10.95"
"1992","AGSyOUT","Emisiones directas e indirectas de N2O y otros","13.36"
"1992","AGSyOUT","Ganado","85.87"
"1992","AGSyOUT","Tierras","70.09"
"1993","AGSyOUT","Emisiones de la quema de biomasa","10.9"
"1993","AGSyOUT","Emisiones directas e indirectas de N2O y otros","13.4"
"1993","AGSyOUT","Ganado","88"
"1993","AGSyOUT","Tierras","62.71"
"1994","AGSyOUT","Emisiones de la quema de biomasa","6.16"
"1994","AGSyOUT","Emisiones directas e indirectas de N2O y otros","13.97"
"1994","AGSyOUT","Ganado","88.59"
"1994","AGSyOUT","Tierras","65.65"
"1995","AGSyOUT","Emisiones de la quema de biomasa","6.34"
"1995","AGSyOUT","Emisiones directas e indirectas de N2O y otros","14.33"
"1995","AGSyOUT","Ganado","86.88"
"1995","AGSyOUT","Tierras","69.46"
"1996","AGSyOUT","Emisiones de la quema de biomasa","5.72"
"1996","AGSyOUT","Emisiones directas e indirectas de N2O y otros","15.01"
"1996","AGSyOUT","Ganado","83.74"
"1996","AGSyOUT","Tierras","88.52"
"1997","AGSyOUT","Emisiones de la quema de biomasa","5.69"
"1997","AGSyOUT","Emisiones directas e indirectas de N2O y otros","15.24"
"1997","AGSyOUT","Ganado","82.39"
"1997","AGSyOUT","Tierras","84"
"1998","AGSyOUT","Emisiones de la quema de biomasa","7.09"
"1998","AGSyOUT","Emisiones directas e indirectas de N2O y otros","15.11"
"1998","AGSyOUT","Ganado","78.34"
"1998","AGSyOUT","Tierras","102.29"
"1999","AGSyOUT","Emisiones de la quema de biomasa","6.01"
"1999","AGSyOUT","Emisiones directas e indirectas de N2O y otros","16.24"
"1999","AGSyOUT","Ganado","81.89"
"1999","AGSyOUT","Tierras","87.85"
"2000","AGSyOUT","Emisiones de la quema de biomasa","14.09"
"2000","AGSyOUT","Emisiones directas e indirectas de N2O y otros","15.78"
"2000","AGSyOUT","Ganado","81.08"
"2000","AGSyOUT","Tierras","85.2"
"2001","AGSyOUT","Emisiones de la quema de biomasa","18.84"
"2001","AGSyOUT","Emisiones directas e indirectas de N2O y otros","15.76"
