"fecha","emisiones_anuales_co2_toneladas","emisiones_anuales_ch4_en_co2_toneladas","emisiones_anuales_n2o_en_co2_toneladas"
"1850-01-01","2839368700","1239410300","138085570"
"1851-01-01","2930253300","1244053500","140629650"
"1852-01-01","2987249700","1250690200","143116460"
"1853-01-01","3055989000","1258188200","145510580"
"1854-01-01","3129268200","1270683600","147776560"
"1855-01-01","3144610600","1277144000","149878940"
"1856-01-01","3176914000","1285785900","151782320"
"1857-01-01","3219507700","1291693000","153451260"
"1858-01-01","3243909400","1297412700","154850300"
"1859-01-01","3309993000","1306537200","155944050"
"1860-01-01","3185172700","1317394200","156697020"
"1861-01-01","3098898000","1325737500","157235820"
"1862-01-01","3080446200","1332219600","157720020"
"1863-01-01","3090769400","1343444700","158163650"
"1864-01-01","3093259000","1354034300","158580750"
"1865-01-01","3071586800","1363879800","158985390"
"1866-01-01","3103401500","1374173400","159391620"
"1867-01-01","3146627800","1382192100","159813460"
"1868-01-01","3132262000","1389063000","160264940"
"1869-01-01","3146879200","1399233900","160760180"
"1870-01-01","3384672000","1406288100","161313140"
"1871-01-01","3519464000","1419818000","163699680"
"1872-01-01","3629751600","1438473500","169204660"
"1873-01-01","3735810300","1453699300","177105760"
"1874-01-01","3751948000","1458419000","186680720"
"1875-01-01","3827509800","1474550700","197207250"
"1876-01-01","3867539700","1485301200","207962990"
"1877-01-01","3939569000","1496806900","218225680"
"1878-01-01","4003565800","1506971100","227273020"
"1879-01-01","4084720600","1522491500","234382720"
"1880-01-01","4226245400","1544155000","238832450"
"1881-01-01","4220942800","1561757700","241495760"
"1882-01-01","4337133000","1579726300","243778690"
"1883-01-01","4467207000","1599365600","245757760"
"1884-01-01","4485550600","1611340000","247509400"
"1885-01-01","4487161300","1623186400","249110140"
"1886-01-01","4551036000","1636274000","250636430"
"1887-01-01","4660116000","1654783100","252164750"
"1888-01-01","4784974300","1679934700","253771580"
"1889-01-01","4777402000","1692225300","255533420"
"1890-01-01","5146904600","1718403200","265580980"
"1891-01-01","5315171300","1737434100","268665470"
"1892-01-01","5368376300","1750324000","271884220"
"1893-01-01","5428667400","1757734400","275193120"
"1894-01-01","5512702500","1777375600","278548160"
"1895-01-01","5637095400","1800435500","281905300"
"1896-01-01","5728007000","1817188100","285220480"
"1897-01-01","5814794000","1838661200","288449730"
"1898-01-01","5933303300","1861336800","291548900"
"1899-01-01","6149725700","1892892400","294474000"
"1900-01-01","6327397400","1919434000","297180960"
"1901-01-01","6432971000","1940258800","300023550"
"1902-01-01","6551868400","1957980900","303318880"
"1903-01-01","6747718000","1993049600","306968000"
"1904-01-01","6860719600","2008741400","310872100"
"1905-01-01","7023188500","2034703400","314932300"
"1906-01-01","7157016000","2067408900","319049630"
"1907-01-01","7552962600","2118702300","323125220"
"1908-01-01","7479411000","2118948900","327060260"
"1909-01-01","7634219500","2148498700","330755740"
"1910-01-01","7675062300","2176726000","334112900"
"1911-01-01","7686531000","2199404500","337997280"
"1912-01-01","7784210400","2224509700","343157300"
"1913-01-01","8043607600","2267473700","349318270"
"1914-01-01","7714725400","2242105600","356205300"
"1915-01-01","7622298000","2252618800","363543780"
"1916-01-01","7826395000","2295839700","371058750"
"1917-01-01","7967003000","2328252000","378475550"
"1918-01-01","7946791000","2320674000","385519460"
"1919-01-01","7440107500","2289851600","391915520"
"1920-01-01","8127808500","2355939800","397389150"
"1921-01-01","7819825700","2312732200","402572900"
"1922-01-01","8032061400","2362875100","408172540"
"1923-01-01","8462210600","2442961700","414022880"
"1924-01-01","8491962400","2471401500","419958750"
"1925-01-01","8599438000","2494893300","425815070"
"1926-01-01","8516677600","2503064000","431426530"
"1927-01-01","8859067000","2576835600","436628130"
"1928-01-01","8850274000","2593685000","441254500"
"1929-01-01","9156853000","2652568000","445140670"
"1930-01-01","8898983000","2655119400","448121380"
"1931-01-01","8550860300","2641003500","450546240"
"1932-01-01","8260392000","2637243400","452935740"
"1933-01-01","8449710000","2681494000","455381060"
"1934-01-01","8791567000","2747953700","457973150"
"1935-01-01","8975181000","2798561300","460803140"
"1936-01-01","9370570000","2877913900","463962240"
"1937-01-01","9645478000","2941116400","467541380"
"1938-01-01","9405432000","2948610600","471631650"
"1939-01-01","9652833000","3006318300","476324260"
"1940-01-01","10197106000","3072626700","481710240"
"1941-01-01","10478856000","3125017300","499506620"
"1942-01-01","10502653000","3161399300","538084540"
"1943-01-01","10572953000","3225130500","592516300"
"1944-01-01","10649714000","3271150000","657873900"
"1945-01-01","9754170000","3239567400","729229760"
"1946-01-01","10127491000","3339598000","801655800"
"1947-01-01","10580725000","3456030700","870224640"
"1948-01-01","10784451000","3512277000","930008000"
"1949-01-01","10488614000","3561372200","976078460"
"1950-01-01","11859315000","3655735600","1003508000"
"1951-01-01","12381128000","3781375000","1020493400"
"1952-01-01","12605430000","3868934100","1038580160"
"1953-01-01","12895349000","3968627200","1057863700"
"1954-01-01","13188833000","4080287700","1078439200"
"1955-01-01","14039569000","4284808200","1100401800"
"1956-01-01","14706745000","4428571000","1123847000"
"1957-01-01","15124513000","4570263600","1148870300"
"1958-01-01","15580667000","4674362400","1175566600"
"1959-01-01","16403755000","4887778300","1204031200"
"1960-01-01","15969804000","5037093400","1234359900"
"1961-01-01","15689702000","5093045000","1306421200"
"1962-01-01","15538028000","5184802000","1351319900"
"1963-01-01","15847396000","5324968000","1395579100"
"1964-01-01","16235159000","5443405300","1445608400"
"1965-01-01","16181429000","5600457700","1502395400"
"1966-01-01","16535396000","5818159000","1565935900"
"1967-01-01","17022173000","5901971500","1622444700"
"1968-01-01","17730890000","6009331700","1674068900"
"1969-01-01","18247290000","6207558700","1713399400"
"1970-01-01","19564257000","6380700700","1733136000"
"1971-01-01","19850500000","6400896500","1721748500"
"1972-01-01","20543357000","6535773700","1781381500"
"1973-01-01","21242071000","6701360000","1838348300"
"1974-01-01","21074823000","6732541000","1853733800"
"1975-01-01","21206071000","6838506000","1909274100"
"1976-01-01","22128361000","6940657700","1960862800"
"1977-01-01","22627277000","7034889000","2005145100"
"1978-01-01","23056103000","7078635500","2045400300"
"1979-01-01","23366150000","7258599400","2102052700"
"1980-01-01","23434297000","7223191600","2114992600"
"1981-01-01","23251036000","7061930500","2068633300"
"1982-01-01","23161694000","7152942000","2108318100"
"1983-01-01","23779402000","7169005600","2146789400"
"1984-01-01","25241764000","7277242400","2159491600"
"1985-01-01","25434644000","7389074000","2159674400"
"1986-01-01","25897908000","7492555300","2165048300"
"1987-01-01","26224708000","7575858000","2211225900"
"1988-01-01","26820393000","7707428400","2203937800"
"1989-01-01","27043900000","7882258400","2227226000"
"1990-01-01","27358580000","7922044000","2235833000"
"1991-01-01","27621520000","7894829000","2215446800"
"1992-01-01","27225686000","7886601000","2231490800"
"1993-01-01","27360092000","7907494000","2215232000"
"1994-01-01","28216310000","7978743000","2254487600"
"1995-01-01","28537694000","8099806000","2317894000"
"1996-01-01","29568004000","8187666400","2365439700"
"1997-01-01","31164310000","8190730000","2345032700"
"1998-01-01","29740409000","8126733300","2360753700"
"1999-01-01","30054218000","8170446300","2374050600"
"2000-01-01","30082568000","8328514000","2358258700"
"2001-01-01","29919089000","8325567500","2368829700"
"2002-01-01","30824399000","8317607000","2404541200"
"2003-01-01","32640156000","8547519500","2419334400"
"2004-01-01","33099530000","8734270000","2501009000"
"2005-01-01","33533485000","8891205000","2523355600"
"2006-01-01","34837730000","9067994000","2563218000"
"2007-01-01","34993504000","9150783000","2637330000"
"2008-01-01","35709334000","9260415000","2609540900"
"2009-01-01","35702890000","9209168000","2580072200"
"2010-01-01","37390650000","9393331000","2639586300"
