"iso3","continente_fundar","anio","valor_en_ton"
"AFG","Asia","1949","14656"
"AFG","Asia","1950","84272"
"AFG","Asia","1951","91600"
"AFG","Asia","1952","91600"
"AFG","Asia","1953","106256"
"AFG","Asia","1954","106256"
"AFG","Asia","1955","153888"
"AFG","Asia","1956","183200"
"AFG","Asia","1957","293120"
"AFG","Asia","1958","329760"
"AFG","Asia","1959","384571"
"AFG","Asia","1960","413885"
"AFG","Asia","1961","490798"
"AFG","Asia","1962","688594"
"AFG","Asia","1963","706736"
"AFG","Asia","1964","838551"
"AFG","Asia","1965","1006917"
"AFG","Asia","1966","1091159"
"AFG","Asia","1967","1281865"
"AFG","Asia","1968","1223391"
"AFG","Asia","1969","941232"
"AFG","Asia","1970","1670397"
"AFG","Asia","1971","1893554"
"AFG","Asia","1972","1530347"
"AFG","Asia","1973","1635454"
"AFG","Asia","1974","1913152"
"AFG","Asia","1975","2121383"
"AFG","Asia","1976","1980859"
"AFG","Asia","1977","2384175"
"AFG","Asia","1978","2153300"
"AFG","Asia","1979","2232754"
"AFG","Asia","1980","1756302"
"AFG","Asia","1981","1978463"
"AFG","Asia","1982","2094580.9"
"AFG","Asia","1983","2519954"
"AFG","Asia","1984","2821540"
"AFG","Asia","1985","3501422"
"AFG","Asia","1986","3133645"
"AFG","Asia","1987","3113826"
"AFG","Asia","1988","2856896"
"AFG","Asia","1989","2764855"
"AFG","Asia","1990","2024326.1"
"AFG","Asia","1991","1914301"
"AFG","Asia","1992","1482054"
"AFG","Asia","1993","1486943"
"AFG","Asia","1994","1453829"
"AFG","Asia","1995","1417327"
"AFG","Asia","1996","1370104"
"AFG","Asia","1997","1304152"
"AFG","Asia","1998","1278504"
"AFG","Asia","1999","1091640"
"AFG","Asia","2000","1047127.94"
"AFG","Asia","2001","1069098"
"AFG","Asia","2002","1340995"
"AFG","Asia","2003","1559602"
"AFG","Asia","2004","1237247"
"AFG","Asia","2005","1889507"
"AFG","Asia","2006","2159318"
"AFG","Asia","2007","2799909"
"AFG","Asia","2008","4254477"
"AFG","Asia","2009","6391888"
"AFG","Asia","2010","8364803.5"
"AFG","Asia","2011","11838316"
"AFG","Asia","2012","10035314"
"AFG","Asia","2013","9250510"
"AFG","Asia","2014","9170309"
"AFG","Asia","2015","9791093"
"AFG","Asia","2016","9067598"
"AFG","Asia","2017","9867969"
"AFG","Asia","2018","10818048"
"AFG","Asia","2019","11081621"
"AFG","Asia","2020","11888066"
"AFG","Asia","2021","12283148"
"AFG","Asia","2022","12147948"
"ALB","Europa","1949","1014928"
"ALB","Europa","1950","296725"
"ALB","Europa","1951","402981"
"ALB","Europa","1952","373669"
"ALB","Europa","1953","413973"
"ALB","Europa","1954","501909.03"
"ALB","Europa","1955","663006"
"ALB","Europa","1956","838789"
"ALB","Europa","1957","1505607"
"ALB","Europa","1958","1201465"
"ALB","Europa","1959","1443319"
"ALB","Europa","1960","2022231.1"
"ALB","Europa","1961","2278533"
"ALB","Europa","1962","2461733"
"ALB","Europa","1963","2080617"
"ALB","Europa","1964","2014694.9"
"ALB","Europa","1965","2172159"
"ALB","Europa","1966","2549579"
"ALB","Europa","1967","2677493"
"ALB","Europa","1968","3069214"
"ALB","Europa","1969","3241303"
"ALB","Europa","1970","3739486"
"ALB","Europa","1971","4348023"
"ALB","Europa","1972","5637977"
"ALB","Europa","1973","5286406"
"ALB","Europa","1974","4341512"
"ALB","Europa","1975","4591172"
"ALB","Europa","1976","4947198"
"ALB","Europa","1977","5717343"
"ALB","Europa","1978","6491245"
"ALB","Europa","1979","7583971"
"ALB","Europa","1980","5170837"
"ALB","Europa","1981","7339622"
"ALB","Europa","1982","7307607"
"ALB","Europa","1983","7630809"
"ALB","Europa","1984","7825903"
"ALB","Europa","1985","7881540"
"ALB","Europa","1986","8058077"
"ALB","Europa","1987","7447081"
"ALB","Europa","1988","7329222"
"ALB","Europa","1989","8986169"
"ALB","Europa","1990","5520602"
"ALB","Europa","1991","4290226"
"ALB","Europa","1992","2517116"
"ALB","Europa","1993","2337999"
"ALB","Europa","1994","1923806"
"ALB","Europa","1995","2089065.1"
"ALB","Europa","1996","2017508"
"ALB","Europa","1997","1543009"
"ALB","Europa","1998","1754709"
"ALB","Europa","1999","2986196"
"ALB","Europa","2000","3024926"
"ALB","Europa","2001","3220656"
"ALB","Europa","2002","3748272"
"ALB","Europa","2003","4303499"
"ALB","Europa","2004","4176684"
"ALB","Europa","2005","4261413"
"ALB","Europa","2006","3910715"
"ALB","Europa","2007","3948970"
"ALB","Europa","2008","4397043"
"ALB","Europa","2009","4406552"
"ALB","Europa","2010","4783865"
"ALB","Europa","2011","5314676"
"ALB","Europa","2012","4850060"
"ALB","Europa","2013","5287465"
"ALB","Europa","2014","5999650"
"ALB","Europa","2015","4712144"
"ALB","Europa","2016","4631979"
"ALB","Europa","2017","5293048"
"ALB","Europa","2018","4894953"
"ALB","Europa","2019","4826944"
"ALB","Europa","2020","5018921"
"ALB","Europa","2021","4903652"
"ALB","Europa","2022","4954730"
"ALB","Europa","1933","7328"
"ALB","Europa","1934","7328"
"ALB","Europa","1935","18320"
"ALB","Europa","1936","128209.99"
"ALB","Europa","1937","296725"
"ALB","Europa","1938","348080"
"ALB","Europa","1939","432352"
"ALB","Europa","1940","692496"
"ALB","Europa","1941","626485"
"ALB","Europa","1942","743792"
"ALB","Europa","1943","461664"
"ALB","Europa","1944","153888"
"ALB","Europa","1945","120912"
"ALB","Europa","1946","483648"
"ALB","Europa","1947","926992"
"ALB","Europa","1948","703488"
"DZA","África","1949","908165"
"DZA","África","1950","3783605"
"DZA","África","1951","4131178.8"
"DZA","África","1952","3889207"
"DZA","África","1953","3999006"
"DZA","África","1954","4152301.8"
"DZA","África","1955","4606578"
"DZA","África","1956","4995053"
"DZA","África","1957","5537086"
"DZA","África","1958","5214119"
"DZA","África","1959","5657017"
"DZA","África","1960","6151241"
"DZA","África","1961","6055920"
"DZA","África","1962","5661010"
"DZA","África","1963","5419154"
"DZA","África","1964","5643044"
"DZA","África","1965","6588533"
"DZA","África","1966","8420862"
"DZA","África","1967","8431587"
"DZA","África","1968","9050236"
"DZA","África","1969","11262968"
"DZA","África","1970","15058960"
"DZA","África","1971","18649530"
"DZA","África","1972","28322640"
"DZA","África","1973","38277400"
"DZA","África","1974","31876660"
"DZA","África","1975","32001206"
"DZA","África","1976","39131068"
"DZA","África","1977","41844910"
"DZA","África","1978","62455264"
"DZA","África","1979","45545550"
"DZA","África","1980","66416464"
"DZA","África","1981","46341984"
"DZA","África","1982","39173030"
"DZA","África","1983","52503910"
"DZA","África","1984","70946536"
"DZA","África","1985","72609070"
"DZA","África","1986","76080390"
"DZA","África","1987","83883496"
"DZA","África","1988","83708040"
"DZA","África","1989","79808264"
"DZA","África","1990","76737624"
"DZA","África","1991","78806830"
"DZA","África","1992","79883310"
"DZA","África","1993","81943970"
"DZA","África","1994","88608390"
"DZA","África","1995","96776920"
"DZA","África","1996","100039430"
"DZA","África","1997","88369416"
"DZA","África","1998","106536560"
"DZA","África","1999","91449100"
"DZA","África","2000","85398600"
"DZA","África","2001","86839250"
"DZA","África","2002","90692380"
"DZA","África","2003","94580616"
"DZA","África","2004","91714220"
"DZA","África","2005","110992510"
"DZA","África","2006","105896180"
"DZA","África","2007","109889440"
"DZA","África","2008","111087410"
"DZA","África","2009","118856330"
"DZA","África","2010","118353256"
"DZA","África","2011","125094570"
"DZA","África","2012","135674290"
"DZA","África","2013","140786380"
"DZA","África","2014","151282780"
"DZA","África","2015","160087460"
"DZA","África","2016","158481630"
"DZA","África","2017","165089600"
"DZA","África","2018","171276020"
"DZA","África","2019","178577220"
"DZA","África","2020","169892770"
"DZA","África","2021","180225200"
"DZA","África","2022","176345140"
"DZA","África","1916","3664"
"DZA","África","1917","7328"
"DZA","África","1918","18320"
"DZA","África","1919","18320"
"DZA","África","1920","21984"
"DZA","África","1921","25648"
"DZA","África","1922","25648"
"DZA","África","1923","14656"
"DZA","África","1924","29312"
"DZA","África","1925","32976"
"DZA","África","1926","40304"
"DZA","África","1927","58624"
"DZA","África","1928","73072"
"DZA","África","1929","80381"
"DZA","África","1930","84005"
"DZA","África","1931","98619"
"DZA","África","1932","113227"
"DZA","África","1933","120615"
"DZA","África","1934","138846"
"DZA","África","1935","131644"
"DZA","África","1936","51029"
"DZA","África","1937","69349"
"DZA","África","1938","32976"
"DZA","África","1939","161216"
"DZA","África","1940","238160"
"DZA","África","1941","311440"
"DZA","África","1942","498304"
"DZA","África","1943","468665"
"DZA","África","1944","497921"
"DZA","África","1945","615136"
"DZA","África","1946","761639"
"DZA","África","1947","743287"
"DZA","África","1948","801884"
"AND","Europa","1949","0"
"AND","Europa","1950","0"
"AND","Europa","1951","0"
"AND","Europa","1952","0"
"AND","Europa","1953","0"
"AND","Europa","1954","0"
"AND","Europa","1955","0"
"AND","Europa","1956","0"
"AND","Europa","1957","0"
"AND","Europa","1958","0"
"AND","Europa","1959","0"
"AND","Europa","1960","0"
"AND","Europa","1961","0"
"AND","Europa","1962","0"
"AND","Europa","1963","0"
"AND","Europa","1964","0"
"AND","Europa","1965","0"
"AND","Europa","1966","0"
"AND","Europa","1967","0"
"AND","Europa","1968","0"
"AND","Europa","1969","0"
"AND","Europa","1970","0"
"AND","Europa","1971","0"
"AND","Europa","1972","0"
"AND","Europa","1973","0"
"AND","Europa","1974","0"
"AND","Europa","1975","0"
"AND","Europa","1976","0"
"AND","Europa","1977","0"
"AND","Europa","1978","0"
"AND","Europa","1979","0"
"AND","Europa","1980","0"
"AND","Europa","1981","0"
"AND","Europa","1982","0"
"AND","Europa","1983","0"
"AND","Europa","1984","0"
"AND","Europa","1985","0"
"AND","Europa","1986","0"
"AND","Europa","1987","0"
"AND","Europa","1988","0"
"AND","Europa","1989","0"
"AND","Europa","1990","406704"
"AND","Europa","1991","406704"
"AND","Europa","1992","406704"
"AND","Europa","1993","410368"
"AND","Europa","1994","406704"
"AND","Europa","1995","425024"
"AND","Europa","1996","454336"
"AND","Europa","1997","465328"
"AND","Europa","1998","490976"
"AND","Europa","1999","512960.03"
"AND","Europa","2000","523952"
"AND","Europa","2001","523952"
"AND","Europa","2002","531280"
"AND","Europa","2003","534944"
"AND","Europa","2004","560592"
"AND","Europa","2005","575248"
"AND","Europa","2006","545936"
"AND","Europa","2007","538608"
"AND","Europa","2008","538608"
"AND","Europa","2009","516623.97"
"AND","Europa","2010","516623.97"
"AND","Europa","2011","490976"
"AND","Europa","2012","487312"
"AND","Europa","2013","476320"
"AND","Europa","2014","461664"
"AND","Europa","2015","465328"
"AND","Europa","2016","468992"
"AND","Europa","2017","465328"
"AND","Europa","2018","494640"
"AND","Europa","2019","483648"
"AND","Europa","2020","373728"
"AND","Europa","2021","363046"
"AND","Europa","2022","368645"
"AND","Europa","1750","0"
"AND","Europa","1751","0"
"AND","Europa","1752","0"
"AND","Europa","1753","0"
"AND","Europa","1754","0"
"AND","Europa","1755","0"
"AND","Europa","1756","0"
