"iso3","continente_fundar","iso3_desc_fundar","anio","valor_en_porcent"
"AFG","Asia","Afganistán","2022","0.000326999"
"ALB","Europa","Albania","2022","0.000133372"
"DZA","África","Argelia","2022","0.004746868"
"AND","Europa","Andorra","2022","9.923e-06"
"AGO","África","Angola","2022","0.00043258"
"AIA","América del Norte, Central y el Caribe","Anguila","2022","3.741e-06"
"ATG","América del Norte, Central y el Caribe","Antigua y Barbuda","2022","1.621e-05"
"ARG","América del Sur","Argentina","2022","0.005191535"
"ARM","Asia","Armenia","2022","0.000172484"
"ABW","América del Norte, Central y el Caribe","Aruba","2022","2.3308e-05"
"AUS","Oceanía","Australia","2022","0.010559395"
"AUT","Europa","Austria","2022","0.001655149"
"AZE","Asia","Azerbaiyán","2022","0.001024573"
"BHS","América del Norte, Central y el Caribe","Bahamas","2022","5.7066e-05"
"BHR","Asia","Bahrein","2022","0.001017386"
"BGD","Asia","Bangladesh","2022","0.002748423"
"BRB","América del Norte, Central y el Caribe","Barbados","2022","3.3186e-05"
"BLR","Europa","Belarús","2022","0.001582812"
"BEL","Europa","Bélgica","2022","0.002412002"
"BLZ","América del Norte, Central y el Caribe","Belice","2022","1.9522e-05"
"BEN","África","Benin","2022","0.000226977"
"BMU","América del Norte, Central y el Caribe","Bermuda","2022","1.199e-05"
"BTN","Asia","Bhután","2022","2.8413e-05"
"BOL","América del Sur","Bolivia","2022","0.00057857"
"BES","América del Norte, Central y el Caribe","Bonaire, San Eustaquio y Saba","2022","2.973e-06"
"BIH","Europa","Bosnia y Herzegovina","2022","0.000531247"
"BWA","África","Botswana","2022","0.000201005"
"BRA","América del Sur","Brasil","2022","0.013014269"
"VGB","América del Norte, Central y el Caribe","Islas Vírgenes Británicas","2022","4.22e-06"
"BRN","Asia","Brunei Darussalam","2022","0.000289468"
"BGR","Europa","Bulgaria","2022","0.001242201"
"BFA","África","Burkina Faso","2022","0.00016049"
"BDI","África","Burundi","2022","2.1493e-05"
"KHM","Asia","Camboya","2022","0.000537151"
"CMR","África","Camerún","2022","0.000257677"
"CAN","América del Norte, Central y el Caribe","Canadá","2022","0.014749584"
"CPV","África","Cabo Verde","2022","1.531e-05"
"CAF","África","República Centroafricana","2022","6.09e-06"
"TCD","África","Chad","2022","6.3774e-05"
"CHL","América del Sur","Chile","2022","0.002271284"
"CHN","Asia","China","2022","0.306779075"
"CXR","Oceanía","Isla Christmas","2022","0"
"COL","América del Sur","Colombia","2022","0.002684211"
"COM","África","Comoras","2022","1.1111e-05"
"COG","África","Congo","2022","0.000200053"
"COK","Oceanía","Islas Cook","2022","1.832e-06"
"CRI","América del Norte, Central y el Caribe","Costa Rica","2022","0.000212348"
"CIV","África","Costa de Marfil","2022","0.000315861"
"HRV","Europa","Croacia","2022","0.000471768"
"CUB","América del Norte, Central y el Caribe","Cuba","2022","0.000563153"
"CUW","América del Norte, Central y el Caribe","Curazao","2022","4.7287e-05"
"CYP","Europa","Chipre","2022","0.000189217"
"CZE","Europa","Chequia","2022","0.002637143"
"COD","África","República Democrática del Congo","2022","9.6948e-05"
"DNK","Europa","Dinamarca","2022","0.00078222"
"DJI","África","Djibouti","2022","1.2195e-05"
"DMA","América del Norte, Central y el Caribe","Dominica","2022","4.124e-06"
"DOM","América del Norte, Central y el Caribe","Dominicana","2022","0.000636288"
"TLS","Asia","Timor-Leste","2022","1.8005e-05"
"ECU","América del Sur","Ecuador","2022","0.001120152"
"EGY","África","Egipto","2022","0.006970475"
"SLV","América del Norte, Central y el Caribe","El Salvador","2022","0.000207656"
"GNQ","África","Guinea Ecuatorial","2022","0.000136641"
"ERI","África","Eritrea","2022","1.8757e-05"
"EST","Europa","Estonia","2022","0.000277575"
"SWZ","África","Eswatini","2022","3.4053e-05"
"ETH","África","Etiopía","2022","0.000513415"
"FRO","Europa","Islas Feroe","2022","2.0138e-05"
"FJI","Oceanía","Fiji","2022","2.8908e-05"
"FIN","Europa","Finlandia","2022","0.000973438"
"FRA","Europa","Francia","2022","0.008009035"
"PYF","Oceanía","Polinesia Francesa","2022","2.3505e-05"
"GAB","África","Gabón","2022","0.000153582"
"GMB","África","Gambia","2022","2.074e-05"
"GEO","Asia","Georgia","2022","0.0002986"
"DEU","Europa","Alemania","2022","0.017916784"
"GHA","África","Ghana","2022","0.000560082"
"GRC","Europa","Grecia","2022","0.001606006"
"GRL","Europa","Groenlandia","2022","1.5928e-05"
"GRD","América del Norte, Central y el Caribe","Granada","2022","9.163e-06"
"GTM","América del Norte, Central y el Caribe","Guatemala","2022","0.000516645"
"GIN","África","Guinea","2022","0.000133342"
"GNB","África","Guinea-Bissau","2022","8.795e-06"
"GUY","América del Sur","Guyana","2022","9.5213e-05"
"HTI","América del Norte, Central y el Caribe","Haití","2022","6.586e-05"
"HND","América del Norte, Central y el Caribe","Honduras","2022","0.000300398"
"HKG","Asia","Hong Kong","2022","0.000822855"
"HUN","Europa","Hungría","2022","0.001193913"
"ISL","Europa","Islandia","2022","9.5357e-05"
"IND","Asia","India","2022","0.076168522"
"IDN","Asia","Indonesia","2022","0.01962012"
