"anio","sector","subsector","valor_en_mtco2e"
1990,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","6.44"
1990,"Energía","Industrias de la energía","22.29"
1990,"Energía","Industrias manufactureras y de la construcción","20.92"
1990,"Energía","Otros sectores","22.94"
1990,"Energía","Transporte","22.86"
1991,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","6.78"
1991,"Energía","Industrias de la energía","27.2"
1991,"Energía","Industrias manufactureras y de la construcción","18.52"
1991,"Energía","Otros sectores","22"
1991,"Energía","Transporte","26.36"
1992,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","7.08"
1992,"Energía","Industrias de la energía","25.97"
1992,"Energía","Industrias manufactureras y de la construcción","20.64"
1992,"Energía","Otros sectores","22.88"
1992,"Energía","Transporte","27.66"
1993,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","7.52"
1993,"Energía","Industrias de la energía","24.85"
1993,"Energía","Industrias manufactureras y de la construcción","17.98"
1993,"Energía","Otros sectores","25.7"
1993,"Energía","Transporte","29.22"
1994,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","8.12"
1994,"Energía","Industrias de la energía","22.54"
1994,"Energía","Industrias manufactureras y de la construcción","20.95"
1994,"Energía","Otros sectores","26.05"
1994,"Energía","Transporte","32.46"
1995,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","8.8"
1995,"Energía","Industrias de la energía","24.94"
1995,"Energía","Industrias manufactureras y de la construcción","20.58"
1995,"Energía","Otros sectores","25.94"
1995,"Energía","Transporte","32.05"
1996,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","9.87"
1996,"Energía","Industrias de la energía","28.53"
1996,"Energía","Industrias manufactureras y de la construcción","22.02"
1996,"Energía","Otros sectores","27.55"
1996,"Energía","Transporte","39.75"
1997,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","10.51"
1997,"Energía","Industrias de la energía","28.7"
1997,"Energía","Industrias manufactureras y de la construcción","22.33"
1997,"Energía","Otros sectores","27.96"
1997,"Energía","Transporte","38.7"
1998,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","10.87"
1998,"Energía","Industrias de la energía","31.51"
1998,"Energía","Industrias manufactureras y de la construcción","24.44"
1998,"Energía","Otros sectores","28.54"
1998,"Energía","Transporte","40.38"
1999,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","10.95"
1999,"Energía","Industrias de la energía","35.97"
1999,"Energía","Industrias manufactureras y de la construcción","23.77"
1999,"Energía","Otros sectores","29.58"
1999,"Energía","Transporte","37.89"
2000,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","11.59"
2000,"Energía","Industrias de la energía","35.71"
2000,"Energía","Industrias manufactureras y de la construcción","23.66"
2000,"Energía","Otros sectores","29.51"
2000,"Energía","Transporte","34.41"
2001,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","12.16"
2001,"Energía","Industrias de la energía","29.86"
2001,"Energía","Industrias manufactureras y de la construcción","22.98"
2001,"Energía","Otros sectores","30.47"
2001,"Energía","Transporte","35.93"
2002,"Energía","Emisiones fugitivas provenientes de la fabricación de combustibles","11.78"
2002,"Energía","Industrias de la energía","27.53"
2002,"Energía","Industrias manufactureras y de la construcción","22.61"
2002,"Energía","Otros sectores","29.05"
2002,"Energía","Transporte","33.09"
