"anio","sector","geocodigoFundar","unit","entity","valor_en_ggco2e","geonombreFundar"
"1750","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","558000","Mundo"
"1750","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","152000","Mundo"
"1750","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","1.41e-12","Mundo"
"1750","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","203","Mundo"
"1750","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","84700","Mundo"
"1751","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","559000","Mundo"
"1751","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","162000","Mundo"
"1751","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","402","Mundo"
"1751","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","203","Mundo"
"1751","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","84900","Mundo"
"1752","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","561000","Mundo"
"1752","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","162000","Mundo"
"1752","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","804","Mundo"
"1752","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","204","Mundo"
"1752","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","85200","Mundo"
"1753","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","563000","Mundo"
"1753","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","163000","Mundo"
"1753","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","1210","Mundo"
"1753","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","204","Mundo"
"1753","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","85400","Mundo"
"1754","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","564000","Mundo"
"1754","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","163000","Mundo"
"1754","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","1610","Mundo"
"1754","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","204","Mundo"
"1754","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","85600","Mundo"
"1755","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","566000","Mundo"
"1755","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","164000","Mundo"
"1755","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","2010","Mundo"
"1755","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","205","Mundo"
"1755","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","85900","Mundo"
"1756","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","567000","Mundo"
"1756","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","165000","Mundo"
"1756","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","2410","Mundo"
"1756","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","215","Mundo"
"1756","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","86100","Mundo"
"1757","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","569000","Mundo"
"1757","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","165000","Mundo"
"1757","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","2820","Mundo"
"1757","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","216","Mundo"
"1757","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","86300","Mundo"
"1758","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","570000","Mundo"
"1758","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","166000","Mundo"
"1758","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","3220","Mundo"
"1758","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","216","Mundo"
"1758","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","86500","Mundo"
"1759","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","572000","Mundo"
"1759","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","166000","Mundo"
"1759","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","3620","Mundo"
"1759","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","216","Mundo"
"1759","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","86800","Mundo"
"1760","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","574000","Mundo"
"1760","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","166000","Mundo"
"1760","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","4020","Mundo"
"1760","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","217","Mundo"
"1760","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87000","Mundo"
"1761","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","575000","Mundo"
"1761","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","168000","Mundo"
"1761","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","4420","Mundo"
"1761","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","233","Mundo"
"1761","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87200","Mundo"
"1762","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","576000","Mundo"
"1762","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","168000","Mundo"
"1762","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","4830","Mundo"
"1762","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","233","Mundo"
"1762","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87400","Mundo"
"1763","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","578000","Mundo"
"1763","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","169000","Mundo"
"1763","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","5230","Mundo"
"1763","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","234","Mundo"
"1763","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87500","Mundo"
"1764","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","579000","Mundo"
"1764","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","169000","Mundo"
"1764","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","5630","Mundo"
"1764","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","234","Mundo"
"1764","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87700","Mundo"
"1765","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","581000","Mundo"
"1765","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","169000","Mundo"
"1765","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","6030","Mundo"
"1765","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","234","Mundo"
"1765","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","87900","Mundo"
"1766","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","582000","Mundo"
"1766","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","171000","Mundo"
"1766","Otros","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","6430","Mundo"
"1766","PIUP","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","255","Mundo"
"1766","Residuos","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","88100","Mundo"
"1767","AGSyOUT","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","584000","Mundo"
"1767","Energía","WLD","CO2 * gigagram / yr","KYOTOGHG (AR6GWP100)","171000","Mundo"
