"iso3","anio","valor_en_ton"
"AFG","1949","0.0019921463"
"AFG","1950","0.011265611"
"AFG","1951","0.012097932"
"AFG","1952","0.011946474"
"AFG","1953","0.013684762"
"AFG","1954","0.013511202"
"AFG","1955","0.019303724"
"AFG","1956","0.022651596"
"AFG","1957","0.0357019"
"AFG","1958","0.039568856"
"AFG","1959","0.04541344"
"AFG","1960","0.04800073"
"AFG","1961","0.05583506"
"AFG","1962","0.07677442"
"AFG","1963","0.07717596"
"AFG","1964","0.08963178"
"AFG","1965","0.10526929"
"AFG","1966","0.11153449"
"AFG","1967","0.12805797"
"AFG","1968","0.119381055"
"AFG","1969","0.0896882"
"AFG","1970","0.1553428"
"AFG","1971","0.17189354"
"AFG","1972","0.13558789"
"AFG","1973","0.14128816"
"AFG","1974","0.16117701"
"AFG","1975","0.1744933"
"AFG","1976","0.15942173"
"AFG","1977","0.18791811"
"AFG","1978","0.1664211"
"AFG","1979","0.17193046"
"AFG","1980","0.14065449"
"AFG","1981","0.17735797"
"AFG","1982","0.20762497"
"AFG","1983","0.25322488"
"AFG","1984","0.2754418"
"AFG","1985","0.33308113"
"AFG","1986","0.2999149"
"AFG","1987","0.30164644"
"AFG","1988","0.27513915"
"AFG","1989","0.25904718"
"AFG","1990","0.18928127"
"AFG","1991","0.17815459"
"AFG","1992","0.122916184"
"AFG","1993","0.106181666"
"AFG","1994","0.094065115"
"AFG","1995","0.08632284"
"AFG","1996","0.080092125"
"AFG","1997","0.07331302"
"AFG","1998","0.06913398"
"AFG","1999","0.05667073"
"AFG","2000","0.053580754"
"AFG","2001","0.054300264"
"AFG","2002","0.06385612"
"AFG","2003","0.068871394"
"AFG","2004","0.0525291"
"AFG","2005","0.07740329"
"AFG","2006","0.08486903"
"AFG","2007","0.108090796"
"AFG","2008","0.16098854"
"AFG","2009","0.23340572"
"AFG","2010","0.2967329"
"AFG","2011","0.40474042"
"AFG","2012","0.32938865"
"AFG","2013","0.29328325"
"AFG","2014","0.2802986"
"AFG","2015","0.29007638"
"AFG","2016","0.2617953"
"AFG","2017","0.2768525"
"AFG","2018","0.29487586"
"AFG","2019","0.29340136"
"AFG","2020","0.30503938"
"AFG","2021","0.30631703"
"AFG","2022","0.29536375"
"ALB","1949","0.8254675"
"ALB","1950","0.23688973"
"ALB","1951","0.31258827"
"ALB","1952","0.28159842"
"ALB","1953","0.30288926"
"ALB","1954","0.35621372"
"ALB","1955","0.45607167"
"ALB","1956","0.5589598"
"ALB","1957","0.97162575"
"ALB","1958","0.7504532"
"ALB","1959","0.8720845"
"ALB","1960","1.1817696"
"ALB","1961","1.2879791"
"ALB","1962","1.3465087"
"ALB","1963","1.1018455"
"ALB","1964","1.0336964"
"ALB","1965","1.0807874"
"ALB","1966","1.2312679"
"ALB","1967","1.2555965"
