"anio","sector","subsector","valor_en_mtco2e"
1990,"Procesos industriales y uso de productos","Industria de los metales","4.95"
1990,"Procesos industriales y uso de productos","Industria de los minerales","2.68"
1990,"Procesos industriales y uso de productos","Industria química","0.77"
1990,"Procesos industriales y uso de productos","Otros","0.12"
1991,"Procesos industriales y uso de productos","Industria de los metales","3.86"
1991,"Procesos industriales y uso de productos","Industria de los minerales","3.14"
1991,"Procesos industriales y uso de productos","Industria química","0.77"
1991,"Procesos industriales y uso de productos","Otros","0.12"
1992,"Procesos industriales y uso de productos","Industria de los metales","3.41"
1992,"Procesos industriales y uso de productos","Industria de los minerales","3.59"
1992,"Procesos industriales y uso de productos","Industria química","0.76"
1992,"Procesos industriales y uso de productos","Otros","0.13"
1993,"Procesos industriales y uso de productos","Industria de los metales","3.44"
1993,"Procesos industriales y uso de productos","Industria de los minerales","4.01"
1993,"Procesos industriales y uso de productos","Industria química","0.79"
1993,"Procesos industriales y uso de productos","Otros","0.15"
1994,"Procesos industriales y uso de productos","Industria de los metales","4.29"
1994,"Procesos industriales y uso de productos","Industria de los minerales","4.47"
1994,"Procesos industriales y uso de productos","Industria química","0.78"
1994,"Procesos industriales y uso de productos","Otros","0.12"
1995,"Procesos industriales y uso de productos","Industria de los metales","4.72"
1995,"Procesos industriales y uso de productos","Industria de los minerales","3.96"
1995,"Procesos industriales y uso de productos","Industria química","0.84"
1995,"Procesos industriales y uso de productos","Otros","0.11"
1996,"Procesos industriales y uso de productos","Industria de los metales","5.34"
1996,"Procesos industriales y uso de productos","Industria de los minerales","4.06"
1996,"Procesos industriales y uso de productos","Industria química","0.81"
1996,"Procesos industriales y uso de productos","Otros","0.12"
1997,"Procesos industriales y uso de productos","Industria de los metales","5.65"
1997,"Procesos industriales y uso de productos","Industria de los minerales","4.87"
1997,"Procesos industriales y uso de productos","Industria química","0.85"
1997,"Procesos industriales y uso de productos","Otros","0.13"
1998,"Procesos industriales y uso de productos","Industria de los metales","5.79"
1998,"Procesos industriales y uso de productos","Industria de los minerales","5.08"
1998,"Procesos industriales y uso de productos","Industria química","0.79"
1998,"Procesos industriales y uso de productos","Otros","0.15"
1999,"Procesos industriales y uso de productos","Industria de los metales","5.25"
1999,"Procesos industriales y uso de productos","Industria de los minerales","4.97"
1999,"Procesos industriales y uso de productos","Industria química","0.79"
1999,"Procesos industriales y uso de productos","Otros","0.17"
2000,"Procesos industriales y uso de productos","Industria de los metales","5.9"
2000,"Procesos industriales y uso de productos","Industria de los minerales","3.51"
2000,"Procesos industriales y uso de productos","Industria química","1.09"
2000,"Procesos industriales y uso de productos","Otros","0.21"
2001,"Procesos industriales y uso de productos","Industria de los metales","5.4"
2001,"Procesos industriales y uso de productos","Industria de los minerales","3.66"
2001,"Procesos industriales y uso de productos","Industria química","1.86"
2001,"Procesos industriales y uso de productos","Otros","0.25"
2002,"Procesos industriales y uso de productos","Industria de los metales","5.92"
2002,"Procesos industriales y uso de productos","Industria de los minerales","2.86"
2002,"Procesos industriales y uso de productos","Industria química","1.92"
2002,"Procesos industriales y uso de productos","Otros","0.32"
2003,"Procesos industriales y uso de productos","Industria de los metales","6.5"
2003,"Procesos industriales y uso de productos","Industria de los minerales","3.44"
2003,"Procesos industriales y uso de productos","Industria química","2.45"
2003,"Procesos industriales y uso de productos","Otros","0.41"
2004,"Procesos industriales y uso de productos","Industria de los metales","6.5"
2004,"Procesos industriales y uso de productos","Industria de los minerales","4.64"
2004,"Procesos industriales y uso de productos","Industria química","2.54"
2004,"Procesos industriales y uso de productos","Otros","0.51"
2005,"Procesos industriales y uso de productos","Industria de los metales","7.08"
2005,"Procesos industriales y uso de productos","Industria de los minerales","5.4"
2005,"Procesos industriales y uso de productos","Industria química","2.46"
2005,"Procesos industriales y uso de productos","Otros","0.6"
2006,"Procesos industriales y uso de productos","Industria de los metales","6.77"
2006,"Procesos industriales y uso de productos","Industria de los minerales","6.08"
2006,"Procesos industriales y uso de productos","Industria química","2.48"
2006,"Procesos industriales y uso de productos","Otros","0.71"
2007,"Procesos industriales y uso de productos","Industria de los metales","6.95"
2007,"Procesos industriales y uso de productos","Industria de los minerales","6.79"
2007,"Procesos industriales y uso de productos","Industria química","2.18"
2007,"Procesos industriales y uso de productos","Otros","0.81"
2008,"Procesos industriales y uso de productos","Industria de los metales","7.04"
