geocodigoFundar,geonombreFundar,anio,sector,valor_en_mtco2e
AR-C,CABA,2010,Energía,17.88
AR-C,CABA,2011,Energía,20.05
AR-C,CABA,2012,Energía,19.57
AR-C,CABA,2013,Energía,18.36
AR-C,CABA,2014,Energía,17.1
AR-C,CABA,2015,Energía,17.75
AR-C,CABA,2016,Energía,17.46
AR-C,CABA,2017,Energía,16.62
AR-C,CABA,2018,Energía,14.69
AR-C,CABA,2010,PIUP,0.01
AR-C,CABA,2011,PIUP,0.01
AR-C,CABA,2012,PIUP,0.01
AR-C,CABA,2013,PIUP,0.01
AR-C,CABA,2014,PIUP,0.01
AR-C,CABA,2015,PIUP,0.01
AR-C,CABA,2016,PIUP,0.01
AR-C,CABA,2017,PIUP,0.01
AR-C,CABA,2018,PIUP,0.01
AR-C,CABA,2010,AGSyOUT,0.0
AR-C,CABA,2011,AGSyOUT,0.0
AR-C,CABA,2012,AGSyOUT,0.01
AR-C,CABA,2013,AGSyOUT,0.0
AR-C,CABA,2014,AGSyOUT,0.0
AR-C,CABA,2015,AGSyOUT,0.0
AR-C,CABA,2016,AGSyOUT,0.0
AR-C,CABA,2017,AGSyOUT,0.0
AR-C,CABA,2018,AGSyOUT,0.0
AR-C,CABA,2010,Residuos,0.66
AR-C,CABA,2011,Residuos,0.67
AR-C,CABA,2012,Residuos,0.73
AR-C,CABA,2013,Residuos,0.83
AR-C,CABA,2014,Residuos,0.9
AR-C,CABA,2015,Residuos,0.93
AR-C,CABA,2016,Residuos,0.96
AR-C,CABA,2017,Residuos,0.97
AR-C,CABA,2018,Residuos,0.99
AR-B,Buenos Aires,2010,Energía,56.12
AR-B,Buenos Aires,2011,Energía,58.59
AR-B,Buenos Aires,2012,Energía,58.64
AR-B,Buenos Aires,2013,Energía,59.87
AR-B,Buenos Aires,2014,Energía,59.22
AR-B,Buenos Aires,2015,Energía,59.7
AR-B,Buenos Aires,2016,Energía,59.79
AR-B,Buenos Aires,2017,Energía,56.91
AR-B,Buenos Aires,2018,Energía,56.23
AR-B,Buenos Aires,2010,PIUP,0.91
AR-B,Buenos Aires,2011,PIUP,1.1
AR-B,Buenos Aires,2012,PIUP,1.08
AR-B,Buenos Aires,2013,PIUP,1.1
AR-B,Buenos Aires,2014,PIUP,0.96
AR-B,Buenos Aires,2015,PIUP,0.95
