"geonombreFundar","anio","sector","valor_en_mtco2e","geocodigoFundar"
"CABA","2010","Energía","18.14","AR-C"
"CABA","2011","Energía","20.32","AR-C"
"CABA","2012","Energía","19.84","AR-C"
"CABA","2013","Energía","18.6","AR-C"
"CABA","2014","Energía","17.37","AR-C"
"CABA","2015","Energía","18.03","AR-C"
"CABA","2016","Energía","17.71","AR-C"
"CABA","2017","Energía","16.93","AR-C"
"CABA","2018","Energía","15.03","AR-C"
"CABA","2019","Energía","13.5","AR-C"
"CABA","2020","Energía","11.93","AR-C"
"CABA","2021","Energía","12.33","AR-C"
"CABA","2022","Energía","13.64","AR-C"
"CABA","2010","PIUP","0.01","AR-C"
"CABA","2011","PIUP","0.01","AR-C"
"CABA","2012","PIUP","0.01","AR-C"
"CABA","2013","PIUP","0.01","AR-C"
"CABA","2014","PIUP","0.01","AR-C"
"CABA","2015","PIUP","0.01","AR-C"
"CABA","2016","PIUP","0.01","AR-C"
"CABA","2017","PIUP","0.01","AR-C"
"CABA","2018","PIUP","0.01","AR-C"
"CABA","2019","PIUP","0.01","AR-C"
"CABA","2020","PIUP","0.01","AR-C"
"CABA","2021","PIUP","0.01","AR-C"
"CABA","2022","PIUP","0.01","AR-C"
"CABA","2010","AGSyOUT","0","AR-C"
"CABA","2011","AGSyOUT","0","AR-C"
"CABA","2012","AGSyOUT","0","AR-C"
"CABA","2013","AGSyOUT","0","AR-C"
"CABA","2014","AGSyOUT","0","AR-C"
"CABA","2015","AGSyOUT","0","AR-C"
"CABA","2016","AGSyOUT","0","AR-C"
"CABA","2017","AGSyOUT","0","AR-C"
"CABA","2018","AGSyOUT","0","AR-C"
"CABA","2019","AGSyOUT","0","AR-C"
"CABA","2020","AGSyOUT","0","AR-C"
"CABA","2021","AGSyOUT","0","AR-C"
"CABA","2022","AGSyOUT","0","AR-C"
"CABA","2010","Residuos","0.88","AR-C"
"CABA","2011","Residuos","0.9","AR-C"
"CABA","2012","Residuos","0.98","AR-C"
"CABA","2013","Residuos","1.04","AR-C"
"CABA","2014","Residuos","1.13","AR-C"
"CABA","2015","Residuos","1.2","AR-C"
"CABA","2016","Residuos","1.25","AR-C"
"CABA","2017","Residuos","1.27","AR-C"
"CABA","2018","Residuos","1.32","AR-C"
"CABA","2019","Residuos","1.38","AR-C"
"CABA","2020","Residuos","1.39","AR-C"
"CABA","2021","Residuos","1.41","AR-C"
"CABA","2022","Residuos","1.47","AR-C"
"Buenos Aires","2010","Energía","57.17","AR-B"
"Buenos Aires","2011","Energía","59.51","AR-B"
"Buenos Aires","2012","Energía","59.7","AR-B"
"Buenos Aires","2013","Energía","60.95","AR-B"
"Buenos Aires","2014","Energía","60.45","AR-B"
"Buenos Aires","2015","Energía","60.86","AR-B"
"Buenos Aires","2016","Energía","60.88","AR-B"
"Buenos Aires","2017","Energía","58.09","AR-B"
"Buenos Aires","2018","Energía","57.62","AR-B"
"Buenos Aires","2019","Energía","55.53","AR-B"
"Buenos Aires","2020","Energía","53.69","AR-B"
"Buenos Aires","2021","Energía","59.07","AR-B"
"Buenos Aires","2022","Energía","59.68","AR-B"
"Buenos Aires","2010","PIUP","0.81","AR-B"
"Buenos Aires","2011","PIUP","0.99","AR-B"
"Buenos Aires","2012","PIUP","0.96","AR-B"
"Buenos Aires","2013","PIUP","0.98","AR-B"
"Buenos Aires","2014","PIUP","0.85","AR-B"
"Buenos Aires","2015","PIUP","0.84","AR-B"
"Buenos Aires","2016","PIUP","0.88","AR-B"
"Buenos Aires","2017","PIUP","0.9","AR-B"
"Buenos Aires","2018","PIUP","0.81","AR-B"
"Buenos Aires","2019","PIUP","0.89","AR-B"
"Buenos Aires","2020","PIUP","0.89","AR-B"
"Buenos Aires","2021","PIUP","0.73","AR-B"
"Buenos Aires","2022","PIUP","0.97","AR-B"
"Buenos Aires","2010","AGSyOUT","24.71","AR-B"
"Buenos Aires","2011","AGSyOUT","15.44","AR-B"
"Buenos Aires","2012","AGSyOUT","24.32","AR-B"
"Buenos Aires","2013","AGSyOUT","27.59","AR-B"
"Buenos Aires","2014","AGSyOUT","26.46","AR-B"
"Buenos Aires","2015","AGSyOUT","23.02","AR-B"
"Buenos Aires","2016","AGSyOUT","27.86","AR-B"
"Buenos Aires","2017","AGSyOUT","22.41","AR-B"
"Buenos Aires","2018","AGSyOUT","31.11","AR-B"
"Buenos Aires","2019","AGSyOUT","23.3","AR-B"
"Buenos Aires","2020","AGSyOUT","25.6","AR-B"
"Buenos Aires","2021","AGSyOUT","25.61","AR-B"
"Buenos Aires","2022","AGSyOUT","31.12","AR-B"
"Buenos Aires","2010","Residuos","6.92","AR-B"
"Buenos Aires","2011","Residuos","6.95","AR-B"
"Buenos Aires","2012","Residuos","7.28","AR-B"
"Buenos Aires","2013","Residuos","7.52","AR-B"
"Buenos Aires","2014","Residuos","7.96","AR-B"
"Buenos Aires","2015","Residuos","8.3","AR-B"
"Buenos Aires","2016","Residuos","8.59","AR-B"
"Buenos Aires","2017","Residuos","8.8","AR-B"
"Buenos Aires","2018","Residuos","9.04","AR-B"
"Buenos Aires","2019","Residuos","9.34","AR-B"
"Buenos Aires","2020","Residuos","9.47","AR-B"
"Buenos Aires","2021","Residuos","9.61","AR-B"
"Buenos Aires","2022","Residuos","9.66","AR-B"
"Catamarca","2010","Energía","0.65","AR-K"
"Catamarca","2011","Energía","0.7","AR-K"
"Catamarca","2012","Energía","0.7","AR-K"
"Catamarca","2013","Energía","0.75","AR-K"
"Catamarca","2014","Energía","0.74","AR-K"
"Catamarca","2015","Energía","0.77","AR-K"
"Catamarca","2016","Energía","0.68","AR-K"
"Catamarca","2017","Energía","0.69","AR-K"
"Catamarca","2018","Energía","0.58","AR-K"
"Catamarca","2019","Energía","0.52","AR-K"
"Catamarca","2020","Energía","0.5","AR-K"
"Catamarca","2021","Energía","0.55","AR-K"
"Catamarca","2022","Energía","0.65","AR-K"
"Catamarca","2010","PIUP","0","AR-K"
"Catamarca","2011","PIUP","0","AR-K"
"Catamarca","2012","PIUP","0","AR-K"
"Catamarca","2013","PIUP","0","AR-K"
"Catamarca","2014","PIUP","0","AR-K"
"Catamarca","2015","PIUP","0","AR-K"
"Catamarca","2016","PIUP","0","AR-K"
"Catamarca","2017","PIUP","0","AR-K"
"Catamarca","2018","PIUP","0","AR-K"
"Catamarca","2019","PIUP","0","AR-K"
"Catamarca","2020","PIUP","0","AR-K"
"Catamarca","2021","PIUP","0","AR-K"
"Catamarca","2022","PIUP","0","AR-K"
"Catamarca","2010","AGSyOUT","0.59","AR-K"
"Catamarca","2011","AGSyOUT","1.17","AR-K"
"Catamarca","2012","AGSyOUT","1.23","AR-K"
"Catamarca","2013","AGSyOUT","1.36","AR-K"
"Catamarca","2014","AGSyOUT","0.31","AR-K"
"Catamarca","2015","AGSyOUT","0.3","AR-K"
"Catamarca","2016","AGSyOUT","0.85","AR-K"
"Catamarca","2017","AGSyOUT","0.92","AR-K"
"Catamarca","2018","AGSyOUT","0.21","AR-K"
"Catamarca","2019","AGSyOUT","0.7","AR-K"
"Catamarca","2020","AGSyOUT","1.92","AR-K"
"Catamarca","2021","AGSyOUT","0.66","AR-K"
"Catamarca","2022","AGSyOUT","1.21","AR-K"
"Catamarca","2010","Residuos","0.1","AR-K"
"Catamarca","2011","Residuos","0.1","AR-K"
"Catamarca","2012","Residuos","0.1","AR-K"
"Catamarca","2013","Residuos","0.11","AR-K"
"Catamarca","2014","Residuos","0.11","AR-K"
"Catamarca","2015","Residuos","0.11","AR-K"
"Catamarca","2016","Residuos","0.11","AR-K"
"Catamarca","2017","Residuos","0.11","AR-K"
"Catamarca","2018","Residuos","0.12","AR-K"
"Catamarca","2019","Residuos","0.12","AR-K"
"Catamarca","2020","Residuos","0.12","AR-K"
"Catamarca","2021","Residuos","0.12","AR-K"
"Catamarca","2022","Residuos","0.13","AR-K"
"Córdoba","2010","Energía","10.35","AR-X"
"Córdoba","2011","Energía","11.28","AR-X"
"Córdoba","2012","Energía","11.09","AR-X"
"Córdoba","2013","Energía","11.17","AR-X"
"Córdoba","2014","Energía","10.44","AR-X"
"Córdoba","2015","Energía","11.1","AR-X"
"Córdoba","2016","Energía","11.13","AR-X"
"Córdoba","2017","Energía","10.95","AR-X"
"Córdoba","2018","Energía","10.78","AR-X"
"Córdoba","2019","Energía","9.84","AR-X"
"Córdoba","2020","Energía","9.37","AR-X"
"Córdoba","2021","Energía","10.86","AR-X"
"Córdoba","2022","Energía","11.68","AR-X"
"Córdoba","2010","PIUP","0.09","AR-X"
"Córdoba","2011","PIUP","0.1","AR-X"
"Córdoba","2012","PIUP","0.11","AR-X"
"Córdoba","2013","PIUP","0.1","AR-X"
"Córdoba","2014","PIUP","0.1","AR-X"
"Córdoba","2015","PIUP","0.09","AR-X"
"Córdoba","2016","PIUP","0.03","AR-X"
"Córdoba","2017","PIUP","0.04","AR-X"
"Córdoba","2018","PIUP","0.03","AR-X"
"Córdoba","2019","PIUP","0.01","AR-X"
"Córdoba","2020","PIUP","0.01","AR-X"
"Córdoba","2021","PIUP","0.01","AR-X"
"Córdoba","2022","PIUP","0.01","AR-X"
"Córdoba","2010","AGSyOUT","17.67","AR-X"
"Córdoba","2011","AGSyOUT","13.38","AR-X"
"Córdoba","2012","AGSyOUT","11.05","AR-X"
"Córdoba","2013","AGSyOUT","4.81","AR-X"
"Córdoba","2014","AGSyOUT","12.04","AR-X"
"Córdoba","2015","AGSyOUT","11.01","AR-X"
"Córdoba","2016","AGSyOUT","9.49","AR-X"
"Córdoba","2017","AGSyOUT","10.56","AR-X"
"Córdoba","2018","AGSyOUT","14.96","AR-X"
"Córdoba","2019","AGSyOUT","11.13","AR-X"
"Córdoba","2020","AGSyOUT","20.92","AR-X"
"Córdoba","2021","AGSyOUT","13.25","AR-X"
"Córdoba","2022","AGSyOUT","12.78","AR-X"
"Córdoba","2010","Residuos","1.16","AR-X"
"Córdoba","2011","Residuos","1.22","AR-X"
"Córdoba","2012","Residuos","1.26","AR-X"
"Córdoba","2013","Residuos","1.3","AR-X"
"Córdoba","2014","Residuos","1.35","AR-X"
"Córdoba","2015","Residuos","1.39","AR-X"
"Córdoba","2016","Residuos","1.44","AR-X"
"Córdoba","2017","Residuos","1.48","AR-X"
"Córdoba","2018","Residuos","1.52","AR-X"
"Córdoba","2019","Residuos","1.58","AR-X"
"Córdoba","2020","Residuos","1.6","AR-X"
"Córdoba","2021","Residuos","1.63","AR-X"
"Córdoba","2022","Residuos","1.66","AR-X"
"Corrientes","2010","Energía","1.01","AR-W"
"Corrientes","2011","Energía","1.05","AR-W"
"Corrientes","2012","Energía","1.05","AR-W"
"Corrientes","2013","Energía","0.88","AR-W"
"Corrientes","2014","Energía","0.83","AR-W"
"Corrientes","2015","Energía","0.88","AR-W"
"Corrientes","2016","Energía","0.91","AR-W"
"Corrientes","2017","Energía","1.01","AR-W"
"Corrientes","2018","Energía","0.96","AR-W"
"Corrientes","2019","Energía","0.95","AR-W"
"Corrientes","2020","Energía","0.92","AR-W"
"Corrientes","2021","Energía","1.19","AR-W"
"Corrientes","2022","Energía","1.35","AR-W"
"Corrientes","2010","PIUP","0","AR-W"
"Corrientes","2011","PIUP","0","AR-W"
"Corrientes","2012","PIUP","0","AR-W"
"Corrientes","2013","PIUP","0","AR-W"
"Corrientes","2014","PIUP","0","AR-W"
"Corrientes","2015","PIUP","0","AR-W"
"Corrientes","2016","PIUP","0","AR-W"
"Corrientes","2017","PIUP","0","AR-W"
"Corrientes","2018","PIUP","0","AR-W"
"Corrientes","2019","PIUP","0","AR-W"
"Corrientes","2020","PIUP","0","AR-W"
"Corrientes","2021","PIUP","0","AR-W"
"Corrientes","2022","PIUP","0","AR-W"
"Corrientes","2010","AGSyOUT","-1.8","AR-W"
"Corrientes","2011","AGSyOUT","-2.25","AR-W"
"Corrientes","2012","AGSyOUT","2.04","AR-W"
"Corrientes","2013","AGSyOUT","1.98","AR-W"
"Corrientes","2014","AGSyOUT","1.81","AR-W"
"Corrientes","2015","AGSyOUT","0.31","AR-W"
"Corrientes","2016","AGSyOUT","-1.05","AR-W"
"Corrientes","2017","AGSyOUT","0.32","AR-W"
"Corrientes","2018","AGSyOUT","-1.22","AR-W"
"Corrientes","2019","AGSyOUT","-2.94","AR-W"
"Corrientes","2020","AGSyOUT","-1.82","AR-W"
"Corrientes","2021","AGSyOUT","0.58","AR-W"
"Corrientes","2022","AGSyOUT","0.81","AR-W"
"Corrientes","2010","Residuos","0.38","AR-W"
"Corrientes","2011","Residuos","0.38","AR-W"
"Corrientes","2012","Residuos","0.39","AR-W"
"Corrientes","2013","Residuos","0.39","AR-W"
"Corrientes","2014","Residuos","0.39","AR-W"
"Corrientes","2015","Residuos","0.39","AR-W"
"Corrientes","2016","Residuos","0.4","AR-W"
"Corrientes","2017","Residuos","0.4","AR-W"
"Corrientes","2018","Residuos","0.4","AR-W"
"Corrientes","2019","Residuos","0.41","AR-W"
"Corrientes","2020","Residuos","0.41","AR-W"
"Corrientes","2021","Residuos","0.4","AR-W"
"Corrientes","2022","Residuos","0.41","AR-W"
"Chaco","2010","Energía","1.4","AR-H"
"Chaco","2011","Energía","1.45","AR-H"
"Chaco","2012","Energía","1.4","AR-H"
"Chaco","2013","Energía","1.47","AR-H"
"Chaco","2014","Energía","1.4","AR-H"
