"anio","sector","subsector","valor_en_mtco2e"
1990,"Residuos","Aguas residuales","3.77"
1990,"Residuos","Residuos sólidos","3.99"
1991,"Residuos","Aguas residuales","3.87"
1991,"Residuos","Residuos sólidos","4.17"
1992,"Residuos","Aguas residuales","3.92"
1992,"Residuos","Residuos sólidos","4.38"
1993,"Residuos","Aguas residuales","4.09"
1993,"Residuos","Residuos sólidos","4.59"
1994,"Residuos","Aguas residuales","4.17"
1994,"Residuos","Residuos sólidos","4.82"
1995,"Residuos","Aguas residuales","4.27"
1995,"Residuos","Residuos sólidos","5.05"
1996,"Residuos","Aguas residuales","4.37"
1996,"Residuos","Residuos sólidos","5.3"
1997,"Residuos","Aguas residuales","4.47"
1997,"Residuos","Residuos sólidos","5.55"
1998,"Residuos","Aguas residuales","4.52"
1998,"Residuos","Residuos sólidos","5.8"
1999,"Residuos","Aguas residuales","4.56"
1999,"Residuos","Residuos sólidos","6.03"
2000,"Residuos","Aguas residuales","4.68"
2000,"Residuos","Residuos sólidos","6.27"
2001,"Residuos","Aguas residuales","4.87"
2001,"Residuos","Residuos sólidos","6.51"
2002,"Residuos","Aguas residuales","4.88"
2002,"Residuos","Residuos sólidos","6.73"
2003,"Residuos","Aguas residuales","5.2"
2003,"Residuos","Residuos sólidos","6.81"
2004,"Residuos","Aguas residuales","5.4"
2004,"Residuos","Residuos sólidos","6.97"
2005,"Residuos","Aguas residuales","5.61"
2005,"Residuos","Residuos sólidos","7.22"
2006,"Residuos","Aguas residuales","5.86"
2006,"Residuos","Residuos sólidos","7.36"
2007,"Residuos","Aguas residuales","5.91"
2007,"Residuos","Residuos sólidos","7.32"
2008,"Residuos","Aguas residuales","5.94"
2008,"Residuos","Residuos sólidos","7.04"
2009,"Residuos","Aguas residuales","6.01"
2009,"Residuos","Residuos sólidos","6.72"
2010,"Residuos","Aguas residuales","6.11"
2010,"Residuos","Residuos sólidos","6.83"
2011,"Residuos","Aguas residuales","6.34"
2011,"Residuos","Residuos sólidos","6.94"
2012,"Residuos","Aguas residuales","6.36"
2012,"Residuos","Residuos sólidos","7.37"
2013,"Residuos","Aguas residuales","6.4"
2013,"Residuos","Residuos sólidos","7.8"
2014,"Residuos","Aguas residuales","6.42"
2014,"Residuos","Residuos sólidos","8.29"
2015,"Residuos","Aguas residuales","6.55"
2015,"Residuos","Residuos sólidos","8.71"
2016,"Residuos","Aguas residuales","6.56"
2016,"Residuos","Residuos sólidos","9.12"
2017,"Residuos","Aguas residuales","6.64"
2017,"Residuos","Residuos sólidos","9.42"
2018,"Residuos","Aguas residuales","6.7"
2018,"Residuos","Residuos sólidos","9.73"
