sector,subsector,subsubsector,valor_en_porcent
Energía,Industrias manufactureras y de la construcción,Hierro y acero,7.2
Energía,Industrias manufactureras y de la construcción,Metales no ferrosos,0.7
Energía,Industrias manufactureras y de la construcción,Química y petroquímica,3.6
Energía,Industrias manufactureras y de la construcción,Alimentación y tabaco,1
Energía,Industrias manufactureras y de la construcción,Papel,0.6
Energía,Industrias manufactureras y de la construcción,Maquinaria,0.5
Energía,Industrias manufactureras y de la construcción,Otras industrias,10.6
Energía,Transporte,Carretera,11.9
Energía,Transporte,Aviación,1.9
Energía,Transporte,Transporte marítimo,1.7
Energía,Transporte,Ferrocarril,0.4
Energía,Transporte,Tuberías,0.3
Energía,Edificaciones,Residencial,10.9
Energía,Edificaciones,Comercial,6.6
Energía,Industria de la energía,Industria de la energía,7.8
Energía,Emisiones fugitivas de la fabricación de combustibles,Carbón,1.9
Energía,Emisiones fugitivas de la fabricación de combustibles,Petróleo y gas,3.9
Energía,"Agricultura, ganadería y pesca","Agricultura, ganadería y pesca",1.7
AGSyOUT,Ganadería y manejo de estiércol,Ganadería y manejo de estiércol,5.8
AGSyOUT,Tierras,Suelos agrícolas,4.1
AGSyOUT,Tierras,Tierras forestales,2.2
AGSyOUT,Tierras,Tierras de cultivo,1.4
AGSyOUT,Tierras,Pastizales,0.1
AGSyOUT,Quema de biomasa,Quema de biomasa,3.5
AGSyOUT,Cultivo de arroz,Cultivo de arroz,1.3
PIUP,Industria de los minerales,Cemento,3
PIUP,Industria química y petroquímica,Industria química y petroquímica,2.2
Residuos,Residuos sólidos,Residuos sólidos,1.9
Residuos,Aguas residuales,Aguas residuales,1.3
