geocodigoFundar,geonombreFundar,anio,valor_en_mtco2e_per_cap,vab_precios_basicos_2004_per_cap
AR-B,Buenos Aires,2018,5.45,11033.99
AR-C,CABA,2018,5.11,40450.69
AR-K,Catamarca,2018,2.04,8858.37
AR-H,Chaco,2018,17.0,8199.07
AR-U,Chubut,2018,15.9,20180.38
AR-X,Córdoba,2018,7.53,13306.03
AR-W,Corrientes,2018,-1.45,7145.71
AR-E,Entre Ríos,2018,7.36,11609.51
AR-P,Formosa,2018,17.43,6182.69
AR-Y,Jujuy,2018,2.99,7508.09
AR-L,La Pampa,2018,45.2,16771.76
AR-F,La Rioja,2018,3.31,8814.24
AR-M,Mendoza,2018,4.59,10750.91
AR-N,Misiones,2018,-1.83,6024.41
AR-Q,Neuquén,2018,23.5,22354.66
AR-R,Río Negro,2018,7.67,11922.03
AR-A,Salta,2018,9.93,7716.99
AR-J,San Juan,2018,2.6,9914.3
AR-D,San Luis,2018,18.4,12036.91
AR-Z,Santa Cruz,2018,19.93,26452.89
AR-S,Santa Fe,2018,7.74,12967.28
AR-G,Santiago del Estero,2018,17.26,10471.97
AR-V,Tierra del Fuego,2018,19.65,34043.89
AR-T,Tucumán,2018,4.03,7222.43
