geocodigoFundar,geonombreFundar,anio,idp,institucion,ranking
ARG,Argentina,2009,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2010,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2011,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2012,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2013,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2014,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2015,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2016,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2017,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2018,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2019,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2020,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2021,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2022,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2023,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
ARG,Argentina,2024,25417,Consejo Nacional de Investigaciones Cientificas y Tecnicas,1
MEX,México,2009,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",3
MEX,México,2010,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",3
MEX,México,2011,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",3
MEX,México,2012,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2013,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2014,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2015,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2016,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2017,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2018,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2019,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2020,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2021,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2022,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2023,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
MEX,México,2024,25836,"Consejo Nacional de Humanidades, Ciencias y Tecnologias",2
BRA,Brasil,2009,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,18
BRA,Brasil,2010,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,19
BRA,Brasil,2011,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,19
BRA,Brasil,2012,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,18
BRA,Brasil,2013,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,16
BRA,Brasil,2014,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,18
BRA,Brasil,2015,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,16
BRA,Brasil,2016,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,13
BRA,Brasil,2017,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,18
BRA,Brasil,2018,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,17
BRA,Brasil,2019,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,8
BRA,Brasil,2020,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,10
BRA,Brasil,2021,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,14
BRA,Brasil,2022,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,16
BRA,Brasil,2023,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,14
BRA,Brasil,2024,25523,Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,17
BRA,Brasil,2013,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,18
BRA,Brasil,2014,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,21
BRA,Brasil,2018,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,19
BRA,Brasil,2019,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,9
BRA,Brasil,2021,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,8
BRA,Brasil,2022,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,8
BRA,Brasil,2023,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,3
BRA,Brasil,2024,66313,Coordenacao de Aperfeicoamento de Pessoal de Nivel Superior,25
BRA,Brasil,2021,25585,Laboratorio Nacional de Astrofisica,26
BRA,Brasil,2022,25585,Laboratorio Nacional de Astrofisica,25
BRA,Brasil,2023,25585,Laboratorio Nacional de Astrofisica,6
BRA,Brasil,2024,25585,Laboratorio Nacional de Astrofisica,32
BRA,Brasil,2009,25577,Instituto Nacional de Pesquisas Espaciais,15
BRA,Brasil,2010,25577,Instituto Nacional de Pesquisas Espaciais,15
BRA,Brasil,2011,25577,Instituto Nacional de Pesquisas Espaciais,14
BRA,Brasil,2012,25577,Instituto Nacional de Pesquisas Espaciais,15
BRA,Brasil,2013,25577,Instituto Nacional de Pesquisas Espaciais,14
BRA,Brasil,2014,25577,Instituto Nacional de Pesquisas Espaciais,14
BRA,Brasil,2015,25577,Instituto Nacional de Pesquisas Espaciais,11
BRA,Brasil,2016,25577,Instituto Nacional de Pesquisas Espaciais,8
BRA,Brasil,2017,25577,Instituto Nacional de Pesquisas Espaciais,14
BRA,Brasil,2018,25577,Instituto Nacional de Pesquisas Espaciais,12
BRA,Brasil,2019,25577,Instituto Nacional de Pesquisas Espaciais,18
BRA,Brasil,2020,25577,Instituto Nacional de Pesquisas Espaciais,18
BRA,Brasil,2021,25577,Instituto Nacional de Pesquisas Espaciais,19
BRA,Brasil,2022,25577,Instituto Nacional de Pesquisas Espaciais,15
BRA,Brasil,2023,25577,Instituto Nacional de Pesquisas Espaciais,5
BRA,Brasil,2024,25577,Instituto Nacional de Pesquisas Espaciais,34
BRA,Brasil,2016,25590,Observatorio Nacional,24
BRA,Brasil,2017,25590,Observatorio Nacional,25
BRA,Brasil,2018,25590,Observatorio Nacional,29
BRA,Brasil,2019,25590,Observatorio Nacional,17
BRA,Brasil,2020,25590,Observatorio Nacional,15
BRA,Brasil,2021,25590,Observatorio Nacional,13
BRA,Brasil,2022,25590,Observatorio Nacional,29
BRA,Brasil,2023,25590,Observatorio Nacional,8
BRA,Brasil,2024,25590,Observatorio Nacional,35
PAN,Panamá,2009,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",2
PAN,Panamá,2010,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",2
PAN,Panamá,2011,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",2
PAN,Panamá,2012,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",3
PAN,Panamá,2013,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",3
PAN,Panamá,2014,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",5
PAN,Panamá,2015,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",5
PAN,Panamá,2016,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",7
PAN,Panamá,2017,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",6
PAN,Panamá,2018,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",7
PAN,Panamá,2019,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",6
PAN,Panamá,2020,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",6
PAN,Panamá,2021,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",7
PAN,Panamá,2022,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",4
PAN,Panamá,2023,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",17
PAN,Panamá,2024,61418,"Instituto Smithsonian de Investigaciones Tropicales, Panama",4
MEX,México,2009,25862,"Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias",19
MEX,México,2010,25862,"Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias",20
MEX,México,2011,25862,"Instituto Nacional de Investigaciones Forestales, Agricolas y Pecuarias",20
