geocodigoFundar,geonombreFundar,ultimo_anio_disponible,ejc_pea_1000,fuente
DNK,Dinamarca,2023,16.9399036004372,OECD
KOR,Corea del Sur,2023,16.7878732101998,OECD
FIN,Finlandia,2023,16.2993872344902,OECD
SWE,Suecia,2023,16.2363859886067,OECD
BEL,Bélgica,2023,15.6451408361397,OECD
NOR,Noruega,2023,13.6736558646736,OECD
AUT,Austria,2023,13.4854009769729,OECD
NLD,Países Bajos,2023,11.6067826966871,OECD
GRC,Grecia,2023,11.596500291607,OECD
SVN,Eslovenia,2023,11.5814587593729,OECD
PRT,Portugal,2023,11.5647959091119,OECD
DEU,Alemania,2023,11.2266051399159,OECD
FRA,Francia,2023,11.2147545500219,OECD
CHE,Suiza,2021,10.5384025507527,OECD
CAN,Canadá,2022,10.4373841125698,OECD
USA,Estados Unidos,2022,10.236196124835,OECD
LUX,Luxemburgo,2023,10.1752265861027,OECD
JPN,Japón,2023,10.0969709606961,OECD
ISL,Islandia,2023,10.0208036789664,OECD
IRL,Irlanda,2023,10.00035653166,OECD
EU27_2020,Unión Europea (27 países),2023,9.75356657399532,OECD
CZE,Chequia,2023,9.38916813559648,OECD
OECD,Países miembros de OCDE,2022,9.30787812484692,OECD
NZL,Nueva Zelanda,2021,8.96690865824007,OECD
HUN,Hungría,2023,8.95095836622341,OECD
GBR,Reino Unido,2017,8.821493000164,OECD
EST,Estonia,2023,8.73775370314642,OECD
AUS,Australia,2008,8.26805811007502,OECD
POL,Polonia,2023,8.00971653371756,OECD
ESP,España,2023,7.2573456552113,OECD
SVK,Eslovaquia,2023,6.9784347183016,OECD
LTU,Lituania,2023,6.79309598073598,OECD
ITA,Italia,2023,6.67486719839541,OECD
TUR,Turquía,2023,6.6090808098907,OECD
RUS,Rusia,2020,5.30766133606975,OECD
CUB,Cuba,2022,5.019,RICYT
LVA,Letonia,2023,4.33046037418541,OECD
ARG,Argentina,2023,2.9,DNIC
RICYT_IBE,Iberoamérica,2022,1.8455,RICYT
BRA,Brasil,2014,1.6849,RICYT
URY,Uruguay,2022,1.6687,RICYT
CHL,Chile,2022,1.50666363793723,OECD
LCN,América Latina y el Caribe,2022,1.2888,RICYT
TTO,Trinidad y Tobago,2022,1.225,RICYT
CRI,Costa Rica,2022,0.9533,RICYT
ECU,Ecuador,2014,0.8839,RICYT
MEX,México,2022,0.5913,RICYT
VEN,Venezuela,2022,0.4397,RICYT
PAN,Panamá,2022,0.319,RICYT
PRY,Paraguay,2022,0.2399,RICYT
NIC,Nicaragua,1997,0.2048,RICYT
COL,Colombia,2017,0.1737,RICYT
SLV,El Salvador,2022,0.1362,RICYT
BOL,Bolivia,2021,0.1153,RICYT
HND,Honduras,2017,0.0798,RICYT
DOM,Rep. Dominicana,2022,0.043,RICYT
GTM,Guatemala,2022,0.011,RICYT
