geocodigoFundar,geonombreFundar,ultimo_anio_disponible,gasto_investigador,fuente
USA,Estados Unidos,2022,539.314945328351,OECD
PAN,Panamá,2022,467.6751,RICYT
IRL,Irlanda,2022,387.179395569169,OECD
TWN,Taiwán,2022,381.537167011061,OECD
DEU,Alemania,2022,357.884734707651,OECD
AUT,Austria,2022,340.7446150622,OECD
OECD,Países miembros de OCDE,2022,330.001253907087,OECD
BEL,Bélgica,2022,325.970718311086,OECD
CHN,China,2022,307.990133600759,OECD
SGP,Singapur,2022,303.939612444185,OECD
SLV,El Salvador,2022,294.3415,RICYT
LUX,Luxemburgo,2022,290.899544746741,OECD
JPN,Japón,2022,285.826669227313,OECD
KOR,Corea del Sur,2022,282.224284287355,OECD
ITA,Italia,2022,271.727718166669,OECD
SWE,Suecia,2022,267.657133238838,OECD
NLD,Países Bajos,2022,264.266601579874,OECD
EU27_2020,Unión Europea (27 países),2022,261.986767443413,OECD
NOR,Noruega,2022,259.793714634694,OECD
FRA,Francia,2022,247.500635024789,OECD
DNK,Dinamarca,2022,246.785914922477,OECD
URY,Uruguay,2022,234.8703,RICYT
HRV,Croacia,2022,231.575740643599,OECD
FIN,Finlandia,2022,226.91432746188,OECD
MEX,México,2022,223.8079,RICYT
CZE,Chequia,2022,211.223328355653,OECD
ESP,España,2022,209.756709263003,OECD
CAN,Canadá,2022,206.812222718894,OECD
ZAF,Sudáfrica,2022,205.673882234611,OECD
TUR,Turquía,2022,204.045569774726,OECD
ROU,Rumania,2022,204.021139968652,OECD
SVN,Eslovenia,2022,199.660079316119,OECD
CRI,Costa Rica,2022,195.4448,RICYT
EST,Estonia,2022,182.982832876712,OECD
RICYT_IBE,Iberoamérica,2022,181.4659,RICYT
LCN,América Latina y el Caribe,2022,178.667,RICYT
POL,Polonia,2022,173.171419761871,OECD
GTM,Guatemala,2022,163.483,RICYT
CHL,Chile,2022,163.038107888238,OECD
PRY,Paraguay,2022,147.3565,RICYT
LVA,Letonia,2022,143.15289894391,OECD
PRT,Portugal,2022,132.853409732206,OECD
LTU,Lituania,2022,129.802241419445,OECD
HUN,Hungría,2022,128.449358046542,OECD
ARG,Argentina,2022,125.112973801063,OECD
SVK,Eslovaquia,2022,118.551252453312,OECD
GRC,Grecia,2022,116.404120027978,OECD
BGR,Bulgaria,2022,99.5441111682965,OECD
TTO,Trinidad y Tobago,2022,29.7824,RICYT
