anio,iso3,pais,patentes_de_residentes,geocodigoFundar,geonombreFundar
2023,ALB,Albania,29,ALB,Albania
2023,DZA,Argelia,1412,DZA,Argelia
2023,AND,Andorra,14,AND,Andorra
2019,AGO,Angola,3,AGO,Angola
2023,ATG,Antigua y Barbuda,62,ATG,Antigua y Barbuda
2023,ARG,Argentina,675,ARG,Argentina
2023,ARM,Armenia,79,ARM,Armenia
2023,AUS,Australia,10929,AUS,Australia
2023,AUT,Austria,10707,AUT,Austria
2023,AZE,Azerbaiyán,250,AZE,Azerbaiyán
2017,BHS,Bahamas,56,BHS,Bahamas
2023,BHR,Bahrein,42,BHR,Bahrein
2023,BGD,Bangladesh,89,BGD,Bangladesh
2021,BRB,Barbados,769,BRB,Barbados
2023,BLR,Belarús,429,BLR,Belarús
2023,BEL,Bélgica,10439,BEL,Bélgica
2023,BLZ,Belice,13,BLZ,Belice
2023,BEN,Benin,27,BEN,Benin
2023,BTN,Bhután,1,BTN,Bhután
2022,BOL,Bolivia,13,BOL,Bolivia
2023,BIH,Bosnia y Herzegovina,76,BIH,Bosnia y Herzegovina
2023,BWA,Botswana,24,BWA,Botswana
2023,BRA,Brasil,7230,BRA,Brasil
2022,BRN,Brunei,1,BRN,Brunei
2023,BGR,Bulgaria,445,BGR,Bulgaria
2023,BFA,Burkina Faso,6,BFA,Burkina Faso
2022,BDI,Burundi,1,BDI,Burundi
2023,CPV,Cabo Verde,2,CPV,Cabo Verde
2023,KHM,Camboya,23,KHM,Camboya
2023,CMR,Camerún,49,CMR,Camerún
2023,CAN,Canadá,23936,CAN,Canadá
2023,CAF,Rep. Centroafricana,1,CAF,Rep. Centroafricana
2023,TCD,Chad,2,TCD,Chad
2023,CHL,Chile,870,CHL,Chile
2023,CHN,China,1652437,CHN,China
2023,HKG,Hong Kong,1855,HKG,Hong Kong
2023,MAC,Macao,10,MAC,Macao
2023,COL,Colombia,424,COL,Colombia
2023,COM,Comoras,1,COM,Comoras
2023,COG,Congo,4,COG,Congo
2023,CRI,Costa Rica,123,CRI,Costa Rica
2023,CIV,Costa de Marfil,19,CIV,Costa de Marfil
2023,HRV,Croacia,315,HRV,Croacia
2023,CUB,Cuba,244,CUB,Cuba
2023,CYP,Chipre,310,CYP,Chipre
2023,CZE,Chequia,1480,CZE,Chequia
1992,CSK,Checoslovaquia,2181,CSK,Checoslovaquia
2023,PRK,Corea del Norte,6916,PRK,Corea del Norte
2020,COD,Rep. Dem. Congo,75,COD,Rep. Dem. Congo
2023,DNK,Dinamarca,10690,DNK,Dinamarca
2022,DJI,Djibouti,1,DJI,Djibouti
2023,DMA,Dominica,1,DMA,Dominica
2023,DOM,Rep. Dominicana,27,DOM,Rep. Dominicana
2023,ECU,Ecuador,60,ECU,Ecuador
2023,EGY,Egipto,808,EGY,Egipto
