geocodigoFundar,geonombreFundar,anio,valor
KOR,Corea del Sur,2023,7308.8
CHN,China,2023,4875.0
JPN,Japón,2023,3973.8
WLD,Mundo,2023,1524.3
CHE,Suiza,2023,1462.0
FIN,Finlandia,2023,1247.2
DEU,Alemania,2023,1213.5
USA,Estados Unidos,2023,1108.9
SWE,Suecia,2023,1034.5
DNK,Dinamarca,2023,859.0
NLD,Países Bajos,2023,714.3
AUT,Austria,2023,700.3
FRA,Francia,2023,650.0
IRN,Irán,2023,590.3
LUX,Luxemburgo,2023,499.2
GBR,Reino Unido,2023,470.5
BEL,Bélgica,2023,440.5
ITA,Italia,2023,437.0
IND,India,2023,380.5
RUS,Rusia,2023,363.9
TUR,Turquía,2023,308.1
ISR,Israel,2023,304.7
NOR,Noruega,2023,302.9
SVN,Eslovenia,2023,286.2
POL,Polonia,2023,285.8
ISL,Islandia,2023,240.9
PRT,Portugal,2023,239.4
LVA,Letonia,2023,234.7
SGP,Singapur,2023,214.8
GUY,Guyana,2021,214.5
DZA,Argelia,2023,199.4
IRL,Irlanda,2023,188.5
CAN,Canadá,2023,183.1
UKR,Ucrania,2023,180.4
GRC,Grecia,2023,175.4
SAU,Arabia Saudita,2023,174.1
MLT,Malta,2023,170.6
OMN,Omán,2023,170.5
EST,Estonia,2023,167.3
KGZ,Kirguistán,2023,165.0
SYR,Siria,2021,164.1
UZB,Uzbekistán,2023,162.3
AUS,Australia,2023,158.5
BLR,Belarús,2023,148.2
LTU,Lituania,2023,146.9
ESP,España,2023,145.8
CZE,Chequia,2023,136.0
SVK,Eslovaquia,2023,135.2
HRV,Croacia,2023,135.0
MNG,Mongolia,2023,133.3
IRQ,Iraq,2023,126.9
HUN,Hungría,2023,126.0
BRA,Brasil,2023,123.8
NZL,Nueva Zelanda,2023,122.5
CYP,Chipre,2023,117.1
KEN,Kenia,2023,115.6
GEO,Georgia,2023,114.8
LBN,Líbano,2015,113.5
KAZ,Kazajstán,2023,112.8
ROU,Rumania,2023,111.3
AZE,Azerbaiyán,2023,108.8
BGR,Bulgaria,2023,105.6
TUN,Túnez,2023,101.5
SDN,Sudán,2020,96.1
HKG,Hong Kong,2023,95.8
MAR,Marruecos,2023,91.9
SRB,Serbia,2023,81.4
MDA,Moldavia,2023,77.0
TGO,Togo,2023,73.8
MYS,Malasia,2023,73.2
VNM,Vietnam,2023,73.2
PHL,Filipinas,2023,69.1
BIH,Bosnia y Herzegovina,2023,69.0
CHL,Chile,2023,68.2
LKA,Sri Lanka,2023,64.4
COD,Rep. Dem. Congo,2020,58.7
NAM,Namibia,2022,55.7
MKD,Macedonia del Norte,2023,54.2
ZWE,Zimbabwe,2023,52.9
THA,Tailandia,2023,49.6
ZAF,Sudáfrica,2023,47.9
BEN,Benin,2023,47.6
MNE,Montenegro,2023,46.7
ARM,Armenia,2023,43.3
IDN,Indonesia,2023,43.1
ARE,Emiratos Árabes Unidos,2023,37.9
PER,Perú,2023,36.5
EGY,Egipto,2023,36.4
MOZ,Mozambique,2023,35.6
NGA,Nigeria,2020,35.4
ALB,Albania,2023,34.3
ARG,Argentina,2023,34.1
PAK,Pakistán,2023,34.1
MEX,México,2023,34.0
BHS,Bahamas,2017,31.6
CMR,Camerún,2023,31.0
RWA,Ruanda,2023,28.1
COL,Colombia,2023,27.2
SEN,Senegal,2023,27.1
PAN,Panamá,2021,26.0
BWA,Botswana,2023,23.5
UGA,Uganda,2023,22.1
NER,Níger,2023,20.2
JOR,Jordania,2023,19.7
NPL,Nepal,2017,17.5
QAT,Qatar,2021,16.4
ECU,Ecuador,2023,15.8
MLI,Malí,2023,15.7
BHR,Bahrein,2023,15.2
GAB,Gabón,2023,14.5
URY,Uruguay,2023,14.3
CRI,Costa Rica,2023,13.4
HND,Honduras,2018,13.2
SLV,El Salvador,2023,12.5
ETH,Etiopía,2023,12.4
LBY,Libia,1996,12.3
BFA,Burkina Faso,2023,10.5
COG,Congo,2023,10.5
MWI,Malawi,2016,10.3
TJK,Tayikistán,2022,9.3
BDI,Burundi,2022,9.1
BTN,Bhután,2019,9.0
MUS,Mauricio,2023,8.9
BOL,Bolivia,2022,8.6
MAC,Macao,2023,8.4
CIV,Costa de Marfil,2023,8.4
KWT,Kuwait,2018,6.9
JAM,Jamaica,2023,6.8
PRY,Paraguay,2022,6.8
MRT,Mauritania,2023,6.6
ZMB,Zambia,2023,6.5
TCD,Chad,2023,6.2
BRN,Brunei,2021,5.7
HTI,Haití,2014,5.6
BGD,Bangladesh,2023,4.7
MDG,Madagascar,2023,3.9
GHA,Ghana,2023,3.5
NIC,Nicaragua,2014,2.5
PNG,Papúa Nueva Guinea,2022,2.4
TTO,Trinidad y Tobago,2023,2.3
GTM,Guatemala,2023,1.8
GIN,Guinea,2023,1.8
LAO,Laos,2023,1.6
DOM,Rep. Dominicana,2023,1.5
KHM,Camboya,2023,1.2
AGO,Angola,2019,0.7
TZA,Tanzanía,2015,0.6
