"anio","disciplina_de_formacion","personas_fisicas","share"
"2009","Ciencias Agrícolas y Veterinarias","7461","11.529546297441"
"2009","Ciencias Exactas y Naturales","17637","27.2546050191618"
"2009","Ciencias Médicas","7856","12.1399431326493"
"2009","Ciencias Sociales","13613","21.0362838422549"
"2009","Humanidades y Artes","5907","9.12813697614044"
"2009","Ingenierías y Tecnologías","9159","14.1534800346149"
"2009","Sin clasificar","3079","4.75800469773767"
"2010","Ciencias Agrícolas y Veterinarias","7710","10.7462436930282"
"2010","Ciencias Exactas y Naturales","18866","26.2955426086472"
"2010","Ciencias Médicas","8396","11.7023945585817"
"2010","Ciencias Sociales","15644","21.804699913584"
"2010","Humanidades y Artes","6923","9.64931842890196"
"2010","Ingenierías y Tecnologías","10862","15.1395199732389"
"2010","Sin clasificar","3345","4.66228082401806"
"2011","Ciencias Agrícolas y Veterinarias","8475","11.0347252060466"
"2011","Ciencias Exactas y Naturales","20014","26.058877908415"
"2011","Ciencias Médicas","9949","12.9539210707915"
"2011","Ciencias Sociales","16477","21.453589052511"
"2011","Humanidades y Artes","7074","9.21057771180813"
"2011","Ingenierías y Tecnologías","11179","14.5554210122"
"2011","Sin clasificar","3635","4.73288803822767"
"2012","Ciencias Agrícolas y Veterinarias","8662","10.8758977449651"
"2012","Ciencias Exactas y Naturales","20026","25.1443925468334"
"2012","Ciencias Médicas","10124","12.711566470795"
"2012","Ciencias Sociales","17143","21.524534177088"
"2012","Humanidades y Artes","7334","9.20847772588017"
"2012","Ingenierías y Tecnologías","12467","15.6534076641053"
"2012","Sin clasificar","3888","4.88172367033298"
"2013","Ciencias Agrícolas y Veterinarias","7829","9.60566352571653"
"2013","Ciencias Exactas y Naturales","20610","25.2871024734982"
"2013","Ciencias Médicas","10219","12.5380349430703"
"2013","Ciencias Sociales","17500","21.4713388299961"
"2013","Humanidades y Artes","7437","9.12470553592462"
"2013","Ingenierías y Tecnologías","13749","16.8691107184923"
"2013","Sin clasificar","4160","5.10404397330192"
"2014","Ciencias Agrícolas y Veterinarias","8035","9.62713570247538"
"2014","Ciencias Exactas y Naturales","20903","25.0449306271117"
"2014","Ciencias Médicas","10642","12.7507128992835"
