anio,funcion,personas_fisicas,share_mujeres
2003,Becarios,4129,55.4823972050524
2003,Investigadores,17939,49.6004645118478
2004,Becarios,4757,55.6960543261913
2004,Investigadores,18730,49.7794078562696
2005,Becarios,5243,55.2243522224563
2005,Investigadores,19546,49.4134897360704
2006,Becarios,5990,55.4219096965211
2006,Investigadores,21020,49.193755997098
2007,Becarios,6962,57.215647600263
2007,Investigadores,23456,50.0298609333675
2008,Becarios,7661,57.3857677902622
2008,Investigadores,25110,49.6470727801174
2009,Becarios,7637,58.6288960540458
2009,Investigadores,26035,50.371473900089
2010,Becarios,8673,58.9478692312921
2010,Investigadores,28760,50.4269458033069
2011,Becarios,9641,59.0277352599033
2011,Investigadores,30781,50.9020852970846
2012,Becarios,9522,58.7560162902629
2012,Investigadores,32285,50.8946165366123
2013,Becarios,9781,58.6390887290168
2013,Investigadores,32996,50.8993305155339
2014,Becarios,10494,58.2708645677161
2014,Investigadores,33848,51.7134432340764
2015,Becarios,10357,58.1461935773636
2015,Investigadores,32905,50.9491514926298
2016,Becarios,11004,57.7728776185226
2016,Investigadores,34967,51.7914537510183
2017,Becarios,10461,59.0749943528349
2017,Investigadores,34850,52.3461908195145
2018,Becarios,10015,59.1064683663834
2018,Investigadores,37392,51.9853186519853
2019,Becarios,9597,59.1749907510174
2019,Investigadores,38577,51.824337032161
2020,Becarios,9657,59.9441340782123
2020,Investigadores,38929,51.81345081389
2021,Becarios,10464,60.4296604296604
2021,Investigadores,40205,52.0790155440415
2022,Becarios,10250,59.9310062562124
2022,Investigadores,41425,52.1338048553342
2023,Becarios,9863,60.3499969405862
2023,Investigadores,43369,52.7699701892073
