anio,iso3,pais_nombre,gerd_gdp,nivel_agregacion,geocodigoFundar,geonombreFundar
2016,AGO,Angola,0.03229,pais,AGO,Angola
2007,ALB,Albania,0.08757,pais,ALB,Albania
2008,ALB,Albania,0.15412,pais,ALB,Albania
2011,ARE,Emiratos Árabes Unidos,0.47252,pais,ARE,Emiratos Árabes Unidos
2014,ARE,Emiratos Árabes Unidos,0.67523,pais,ARE,Emiratos Árabes Unidos
2015,ARE,Emiratos Árabes Unidos,0.8657,pais,ARE,Emiratos Árabes Unidos
2016,ARE,Emiratos Árabes Unidos,0.9318,pais,ARE,Emiratos Árabes Unidos
2018,ARE,Emiratos Árabes Unidos,1.26389,pais,ARE,Emiratos Árabes Unidos
2019,ARE,Emiratos Árabes Unidos,1.31065,pais,ARE,Emiratos Árabes Unidos
2020,ARE,Emiratos Árabes Unidos,1.48831,pais,ARE,Emiratos Árabes Unidos
2021,ARE,Emiratos Árabes Unidos,1.49469,pais,ARE,Emiratos Árabes Unidos
1996,ARG,Argentina,0.41749,pais,ARG,Argentina
1997,ARG,Argentina,0.41959,pais,ARG,Argentina
1998,ARG,Argentina,0.41131,pais,ARG,Argentina
1999,ARG,Argentina,0.45337,pais,ARG,Argentina
2000,ARG,Argentina,0.43884,pais,ARG,Argentina
2001,ARG,Argentina,0.42461,pais,ARG,Argentina
2002,ARG,Argentina,0.38886,pais,ARG,Argentina
2003,ARG,Argentina,0.41013,pais,ARG,Argentina
2004,ARG,Argentina,0.40376,pais,ARG,Argentina
2005,ARG,Argentina,0.42074,pais,ARG,Argentina
2006,ARG,Argentina,0.45216,pais,ARG,Argentina
2007,ARG,Argentina,0.46007,pais,ARG,Argentina
2008,ARG,Argentina,0.47055,pais,ARG,Argentina
2009,ARG,Argentina,0.58398,pais,ARG,Argentina
2010,ARG,Argentina,0.56104,pais,ARG,Argentina
2011,ARG,Argentina,0.56597,pais,ARG,Argentina
2012,ARG,Argentina,0.63491,pais,ARG,Argentina
2013,ARG,Argentina,0.61849,pais,ARG,Argentina
2014,ARG,Argentina,0.59396,pais,ARG,Argentina
2015,ARG,Argentina,0.62262,pais,ARG,Argentina
2016,ARG,Argentina,0.55815,pais,ARG,Argentina
2017,ARG,Argentina,0.55631,pais,ARG,Argentina
2018,ARG,Argentina,0.4883,pais,ARG,Argentina
2019,ARG,Argentina,0.47813,pais,ARG,Argentina
2020,ARG,Argentina,0.54126,pais,ARG,Argentina
2021,ARG,Argentina,0.52216,pais,ARG,Argentina
2022,ARG,Argentina,0.54947,pais,ARG,Argentina
1997,ARM,Armenia,0.18692,pais,ARM,Armenia
1998,ARM,Armenia,0.22601,pais,ARM,Armenia
1999,ARM,Armenia,0.214,pais,ARM,Armenia
2000,ARM,Armenia,0.19106,pais,ARM,Armenia
2001,ARM,Armenia,0.27987,pais,ARM,Armenia
2002,ARM,Armenia,0.25255,pais,ARM,Armenia
2003,ARM,Armenia,0.32109,pais,ARM,Armenia
2004,ARM,Armenia,0.25659,pais,ARM,Armenia
2005,ARM,Armenia,0.25761,pais,ARM,Armenia
2006,ARM,Armenia,0.24057,pais,ARM,Armenia
2007,ARM,Armenia,0.21107,pais,ARM,Armenia
2008,ARM,Armenia,0.22438,pais,ARM,Armenia
2009,ARM,Armenia,0.29093,pais,ARM,Armenia
2010,ARM,Armenia,0.24139,pais,ARM,Armenia
2011,ARM,Armenia,0.27014,pais,ARM,Armenia
2012,ARM,Armenia,0.23853,pais,ARM,Armenia
2013,ARM,Armenia,0.22216,pais,ARM,Armenia
2014,ARM,Armenia,0.24151,pais,ARM,Armenia
2015,ARM,Armenia,0.25002,pais,ARM,Armenia
2016,ARM,Armenia,0.23305,pais,ARM,Armenia
2017,ARM,Armenia,0.22788,pais,ARM,Armenia
2018,ARM,Armenia,0.18876,pais,ARM,Armenia
2019,ARM,Armenia,0.17854,pais,ARM,Armenia
2020,ARM,Armenia,0.2092,pais,ARM,Armenia
2021,ARM,Armenia,0.20557,pais,ARM,Armenia
2022,ARM,Armenia,0.20955,pais,ARM,Armenia
2023,ARM,Armenia,0.18115,pais,ARM,Armenia
2003,ASM,Samoa Americana,0.18787,pais,ASM,Samoa Americana
2004,ASM,Samoa Americana,0.32528,pais,ASM,Samoa Americana
2005,ASM,Samoa Americana,0.36692,pais,ASM,Samoa Americana
2006,ASM,Samoa Americana,0.39552,pais,ASM,Samoa Americana
1996,AUS,Australia,1.66218,pais,AUS,Australia
1998,AUS,Australia,1.51351,pais,AUS,Australia
2000,AUS,Australia,1.57198,pais,AUS,Australia
