ultimo_anio_disponible,iso3,pais_nombre,share_mujeres,geocodigoFundar,geonombreFundar
2023,MMR,Myanmar,76.54059,MMR,Myanmar
2021,GTM,Guatemala,62.82353,GTM,Guatemala
2023,KGZ,Kirguistán,61.77541,KGZ,Kirguistán
2023,AZE,Azerbaiyán,59.7924,AZE,Azerbaiyán
2022,MNG,Mongolia,57.41091,MNG,Mongolia
2018,PHL,Filipinas,55.64839,PHL,Filipinas
2023,KAZ,Kazajstán,55.64224,KAZ,Kazajstán
2023,CUB,Cuba,55.56045,CUB,Cuba
2022,TUN,Túnez,54.86958,TUN,Túnez
2023,GEO,Georgia,54.36175,GEO,Georgia
2023,MKD,Macedonia del Norte,54.27873,MKD,Macedonia del Norte
2022,ARG,Argentina,53.59932,ARG,Argentina
2023,SRB,Serbia,53.47777,SRB,Serbia
2020,MYS,Malasia,53.2901,MYS,Malasia
2023,ARM,Armenia,52.59397,ARM,Armenia
2023,VEN,Venezuela,52.20249,VEN,Venezuela
2019,MNE,Montenegro,52.08071,MNE,Montenegro
2001,NZL,Nueva Zelandia,51.99399,NZL,Nueva Zelanda
2022,PRY,Paraguay,51.35734,PRY,Paraguay
2023,URY,Uruguay,51.02276,URY,Uruguay
2023,MDA,Moldavia,50.65789,MDA,Moldavia
2022,LVA,Letonia,50.65213,LVA,Letonia
2023,KWT,Kuwait,50.26178,KWT,Kuwait
2005,MCO,Mónaco,50.0,MCO,Mónaco
2023,BIH,Bosnia y Herzegovina,49.77686,BIH,Bosnia y Herzegovina
2022,TTO,Trinidad y Tobago,49.73214,TTO,Trinidad y Tobago
2022,NAM,Namibia,49.48042,NAM,Namibia
2017,JAM,Jamaica,49.12023,JAM,Jamaica
2022,LTU,Lituania,48.84884,LTU,Lituania
2022,LKA,Sri Lanka,48.82756,LKA,Sri Lanka
2021,THA,Tailandia,48.63125,THA,Tailandia
2022,HRV,Croacia,48.44154,HRV,Croacia
2019,HND,Honduras,47.81576,HND,Honduras
2022,ZAF,Sudáfrica,47.61077,ZAF,Sudáfrica
2017,DZA,Argelia,47.14272,DZA,Argelia
2021,VNM,Vietnam,47.10642,VNM,Vietnam
2023,PAK,Pakistán,47.08837,PAK,Pakistán
2022,BGR,Bulgaria,46.92402,BGR,Bulgaria
2022,ISL,Islandia,46.80269,ISL,Islandia
