geocodigoFundar,geonombreFundar,anio,country_name_abbreviation,sector_bp,sector_bp_name,export_value_pc
BGD,Bangladesh,2020,Bangladesh,2,Alimentos procesados,0.726725854493322
BRB,Barbados,2020,Barbados,10,Metales,7.63981486763194
BTN,Bhután,2020,Bhutan,11,Maquinaria,1.85596939788946
CAF,Rep. Centroafricana,2020,Central African Rep.,9,Piedra y vidrio,39.4216643043756
LKA,Sri Lanka,2020,Sri Lanka,1,Productos agropecuarios,21.3439326849529
CHN,China,2020,China,12,Transporte,4.01134763000432
CXR,Isla Christmas,2020,Christmas Isds,11,Maquinaria,19.9533040942669
COM,Comoras,2020,Comoros,12,Transporte,31.4820772011114
COG,Congo,2020,Congo,13,Otros productos industriales,0.199567283891859
BEN,Benin,2020,Benin,7,Madera,1.87824382437974
DOM,Rep. Dominicana,2020,Dominican Rep.,9,Piedra y vidrio,19.7636344897386
ECU,Ecuador,2020,Ecuador,7,Madera,2.97306108353545
ETH,Etiopía,2020,Ethiopia,8,"Textiles, indumentaria y calzado",10.3649063412888
ERI,Eritrea,2020,Eritrea,8,"Textiles, indumentaria y calzado",0.35885490029801
FJI,Fiji,2020,Fiji,1,Productos agropecuarios,18.1981594374255
ATF,Tierras Australes Francesas,2020,Fr. South Antarctic Terr.,8,"Textiles, indumentaria y calzado",1.05057948498079
GMB,Gambia,2020,Gambia,8,"Textiles, indumentaria y calzado",0.496396435789714
GHA,Ghana,2020,Ghana,3,Minerales,25.4399839397421
GRC,Grecia,2020,Greece,10,Metales,12.870144511018
GRL,Groenlandia,2020,Greenland,7,Madera,0.0148443151331048
GRD,Granada,2020,Grenada,10,Metales,4.44629181318073
GUM,Guam,2020,Guam,11,Maquinaria,2.38685968890496
GTM,Guatemala,2020,Guatemala,4,Químicos,9.2121046860702
IRN,Irán,2020,Iran,1,Productos agropecuarios,14.2476673134477
ISR,Israel,2020,Israel,3,Minerales,5.04001766051536
CIV,Costa de Marfil,2020,Côte d'Ivoire,1,Productos agropecuarios,12.8043505471678
JOR,Jordania,2020,Jordan,4,Químicos,37.0379988911979
KEN,Kenia,2020,Kenya,3,Minerales,10.1591656103545
KWT,Kuwait,2020,Kuwait,7,Madera,0.232579289574109
LAO,Laos,2020,Lao People's Dem. Rep.,8,"Textiles, indumentaria y calzado",6.50284591831937
LBN,Líbano,2020,Lebanon,9,Piedra y vidrio,37.3411016321142
LBY,Libia,2020,Libya,11,Maquinaria,0.310527009293462
MDG,Madagascar,2020,Madagascar,8,"Textiles, indumentaria y calzado",23.623040061349
MLI,Malí,2020,Mali,8,"Textiles, indumentaria y calzado",0.954565390091292
MUS,Mauricio,2020,Mauritius,3,Minerales,1.78693515223885
MOZ,Mozambique,2020,Mozambique,7,Madera,2.77831245127423
CUW,Curazao,2020,Curaçao,4,Químicos,11.942562566686
BES,Bonaire,2020,Bonaire,1,Productos agropecuarios,3.73655904675219
NIU,Niue,2020,Niue,11,Maquinaria,0.472367654917959
FSM,Micronesia,2020,FS Micronesia,8,"Textiles, indumentaria y calzado",0.0193890353895139
PLW,Palau,2020,Palau,8,"Textiles, indumentaria y calzado",1.12507792127511
PAK,Pakistán,2020,Pakistan,1,Productos agropecuarios,16.8610306649625
PNG,Papúa Nueva Guinea,2020,Papua New Guinea,1,Productos agropecuarios,9.26548863194446
ROU,Rumania,2020,Romania,9,Piedra y vidrio,1.03208127322827
RWA,Ruanda,2020,Rwanda,7,Madera,0.658084454708706
BLM,San Barthélemy,2020,Saint Barthélemy,7,Madera,0.557907100469311
AIA,Anguila,2020,Anguilla,8,"Textiles, indumentaria y calzado",2.16638885966971
LCA,Santa Lucía,2020,Saint Lucia,10,Metales,4.1940676996629
SPM,San Pedro y Miquelón,2020,Saint Pierre and Miquelon,1,Productos agropecuarios,12.8243097709027
VCT,San Vicente y las Granadinas,2020,Saint Vincent and the Grenadines,3,Minerales,20.688427655022
SRB,Serbia,2020,Serbia,10,Metales,11.1056549004009
IND,India,2020,India,9,Piedra y vidrio,10.8235055350779
SVN,Eslovenia,2020,Slovenia,12,Transporte,14.5117851479827
SYR,Siria,2020,Syria,1,Productos agropecuarios,63.4377972643137
TTO,Trinidad y Tobago,2020,Trinidad and Tobago,4,Químicos,32.309347999778
TKM,Turkmenistán,2020,Turkmenistan,3,Minerales,91.8773456232929
TUV,Tuvalu,2020,Tuvalu,9,Piedra y vidrio,0.682232282604673
GBR,Reino Unido,2020,United Kingdom,10,Metales,5.2509538266202
URY,Uruguay,2020,Uruguay,1,Productos agropecuarios,53.7382245780308
VEN,Venezuela,2020,Venezuela,10,Metales,10.5372086847589
AFG,Afganistán,2020,Afghanistan,3,Minerales,3.04323157300514
ATG,Antigua y Barbuda,2020,Antigua and Barbuda,11,Maquinaria,1.68540593867834
AZE,Azerbaiyán,2020,Azerbaijan,9,Piedra y vidrio,1.51037337759182
ARM,Armenia,2020,Armenia,1,Productos agropecuarios,6.53840544642669
BMU,Bermuda,2020,Bermuda,11,Maquinaria,2.4560483684477
BIH,Bosnia y Herzegovina,2020,Bosnia Herzegovina,9,Piedra y vidrio,1.59336026418701
BRA,Brasil,2020,Brazil,7,Madera,5.3865901754905
IOT,Territorio Británico del Océano Índico,2020,Br. Indian Ocean Terr.,10,Metales,37.5094612726527
SLB,Islas Salomón,2020,Solomon Isds,7,Madera,64.9709394094822
BDI,Burundi,2020,Burundi,8,"Textiles, indumentaria y calzado",0.363892838232374
BLR,Belarús,2020,Belarus,6,Cueros y pieles,0.20254831232408
KHM,Camboya,2020,Cambodia,8,"Textiles, indumentaria y calzado",51.1437735902145
CMR,Camerún,2020,Cameroon,7,Madera,12.5023278165418
CHN,China,2020,China,2,Alimentos procesados,0.992427226266262
COL,Colombia,2020,Colombia,6,Cueros y pieles,0.253518783474276
COD,Rep. Dem. Congo,2020,Dem. Rep. of the Congo,10,Metales,75.1690980275263
CRI,Costa Rica,2020,Costa Rica,8,"Textiles, indumentaria y calzado",0.947885498475576
HRV,Croacia,2020,Croatia,11,Maquinaria,17.3678377994915
EST,Estonia,2020,Estonia,3,Minerales,8.61196042403862
FLK,Islas Malvinas,2020,Falkland Isds (Malvinas),10,Metales,0.0901223246314382
FJI,Fiji,2020,Fiji,3,Minerales,5.87813829439592
KIR,Kiribati,2020,Kiribati,11,Maquinaria,1.75502912569443
GUM,Guam,2020,Guam,10,Metales,17.2372662047249
GIN,Guinea,2020,Guinea,1,Productos agropecuarios,0.890042003698168
JAM,Jamaica,2020,Jamaica,9,Piedra y vidrio,0.576149513367487
MDV,Maldivas,2020,Maldives,10,Metales,2.73440794770985
MRT,Mauritania,2020,Mauritania,8,"Textiles, indumentaria y calzado",0.0522590770794274
MEX,México,2020,Mexico,11,Maquinaria,37.2481717617807
MNE,Montenegro,2020,Montenegro,10,Metales,20.3158100128619
CUW,Curazao,2020,Curaçao,10,Metales,3.65283884933854
SXM,San Martín (parte holandesa),2020,Saint Maarten,13,Otros productos industriales,11.1604705345035
NIC,Nicaragua,2020,Nicaragua,10,Metales,0.767901718844257
ROU,Rumania,2020,Romania,6,Cueros y pieles,0.467404857154106
BLM,San Barthélemy,2020,Saint Barthélemy,11,Maquinaria,1.24732458477453
LCA,Santa Lucía,2020,Saint Lucia,4,Químicos,6.656024769721
STP,Santo Tomé y Príncipe,2020,Sao Tome and Principe,1,Productos agropecuarios,15.0283824701262
SOM,Somalia,2020,Somalia,13,Otros productos industriales,0.0387409615141168
SUR,Suriname,2020,Suriname,4,Químicos,0.31264095992917
THA,Tailandia,2020,Thailand,8,"Textiles, indumentaria y calzado",2.86163782105621
ARE,Emiratos Árabes Unidos,2020,United Arab Emirates,1,Productos agropecuarios,2.8983703460601
TKM,Turkmenistán,2020,Turkmenistan,10,Metales,0.556596830820792
