"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"ABW","Aruba",1,"Diferenciado","77.3214846803109"
2020,"ABW","Aruba",2,"No diferenciado","22.6785153196891"
2020,"AFG","Afghanistan",1,"Diferenciado","60.1600925883472"
2020,"AFG","Afghanistan",2,"No diferenciado","39.8399074116528"
2020,"AGO","Angola",1,"Diferenciado","64.9009429492753"
2020,"AGO","Angola",2,"No diferenciado","35.0990570507248"
2020,"AIA","Anguilla",1,"Diferenciado","44.6459757569006"
2020,"AIA","Anguilla",2,"No diferenciado","55.3540242430994"
2020,"ALB","Albania",1,"Diferenciado","69.5979705540942"
2020,"ALB","Albania",2,"No diferenciado","30.4020294459058"
2020,"AND","Andorra",1,"Diferenciado","85.225017693936"
2020,"AND","Andorra",2,"No diferenciado","14.774982306064"
2020,"ARE","United Arab Emirates",1,"Diferenciado","57.2207107420595"
2020,"ARE","United Arab Emirates",2,"No diferenciado","42.7792892579405"
2020,"ARG","Argentina",1,"Diferenciado","66.5803039087331"
2020,"ARG","Argentina",2,"No diferenciado","33.4196960912669"
2020,"ARM","Armenia",1,"Diferenciado","59.8319850267101"
2020,"ARM","Armenia",2,"No diferenciado","40.16801497329"
2020,"ASM","American Samoa",1,"Diferenciado","29.4997497874822"
2020,"ASM","American Samoa",2,"No diferenciado","70.5002502125178"
2020,"ATF","Fr. South Antarctic Terr.",1,"Diferenciado","92.9449534581868"
2020,"ATF","Fr. South Antarctic Terr.",2,"No diferenciado","7.05504654181321"
2020,"ATG","Antigua and Barbuda",1,"Diferenciado","76.6763171734115"
2020,"ATG","Antigua and Barbuda",2,"No diferenciado","23.3236828265884"
2020,"AUS","Australia",1,"Diferenciado","74.8392139822424"
2020,"AUS","Australia",2,"No diferenciado","25.1607860177576"
2020,"AUT","Austria",1,"Diferenciado","73.9053716278196"
2020,"AUT","Austria",2,"No diferenciado","26.0946283721803"
2020,"AZE","Azerbaijan",1,"Diferenciado","76.4934663319825"
2020,"AZE","Azerbaijan",2,"No diferenciado","23.5065336680175"
2020,"BDI","Burundi",1,"Diferenciado","57.6654480489409"
2020,"BDI","Burundi",2,"No diferenciado","42.3345519510591"
2020,"BEL","Belgium",1,"Diferenciado","61.3747085321763"
2020,"BEL","Belgium",2,"No diferenciado","38.6252914678237"
2020,"BEN","Benin",1,"Diferenciado","48.9879248880307"
2020,"BEN","Benin",2,"No diferenciado","51.0120751119693"
2020,"BES","Bonaire",1,"Diferenciado","97.6277377633653"
2020,"BES","Bonaire",2,"No diferenciado","2.37226223663463"
2020,"BFA","Burkina Faso",1,"Diferenciado","55.3354473689608"
2020,"BFA","Burkina Faso",2,"No diferenciado","44.6645526310391"
2020,"BGD","Bangladesh",1,"Diferenciado","41.6855964624098"
2020,"BGD","Bangladesh",2,"No diferenciado","58.3144035375902"
2020,"BGR","Bulgaria",1,"Diferenciado","57.2102837163639"
2020,"BGR","Bulgaria",2,"No diferenciado","42.7897162836361"
2020,"BHR","Bahrain",1,"Diferenciado","58.451598975137"
2020,"BHR","Bahrain",2,"No diferenciado","41.548401024863"
2020,"BHS","Bahamas",1,"Diferenciado","54.8417684320525"
2020,"BHS","Bahamas",2,"No diferenciado","45.1582315679475"
2020,"BIH","Bosnia Herzegovina",1,"Diferenciado","61.7230382546705"
2020,"BIH","Bosnia Herzegovina",2,"No diferenciado","38.2769617453295"
2020,"BLM","Saint Barthélemy",1,"Diferenciado","97.2013553444604"
2020,"BLM","Saint Barthélemy",2,"No diferenciado","2.79864465553963"
2020,"BLR","Belarus",1,"Diferenciado","57.5200722917077"
2020,"BLR","Belarus",2,"No diferenciado","42.4799277082924"
2020,"BLZ","Belize",1,"Diferenciado","74.1199147141799"
2020,"BLZ","Belize",2,"No diferenciado","25.88008528582"
2020,"BMU","Bermuda",1,"Diferenciado","87.105148300403"
2020,"BMU","Bermuda",2,"No diferenciado","12.894851699597"
2020,"BOL","Bolivia (Plurinational State of)",1,"Diferenciado","72.8285778744008"
2020,"BOL","Bolivia (Plurinational State of)",2,"No diferenciado","27.1714221255991"
2020,"BRA","Brazil",1,"Diferenciado","61.5092435941691"
2020,"BRA","Brazil",2,"No diferenciado","38.4907564058309"
2020,"BRB","Barbados",1,"Diferenciado","65.8193339829173"
2020,"BRB","Barbados",2,"No diferenciado","34.1806660170827"
