anio,iso3,country_name_abbreviation,sector_bp,sector_bp_name,import_value_pc,geocodigoFundar,geonombreFundar
2020,BGD,Bangladesh,2,Alimentos procesados,2.64053885580708,BGD,Bangladesh
2020,BRB,Barbados,10,Metales,4.12837997777925,BRB,Barbados
2020,BTN,Bhutan,11,Maquinaria,22.6792804189728,BTN,Bhután
2020,CAF,Central African Rep.,9,Piedra y vidrio,0.247151300716142,CAF,Rep. Centroafricana
2020,LKA,Sri Lanka,1,Productos agropecuarios,12.0879493286152,LKA,Sri Lanka
2020,CHN,China,12,Transporte,5.23636788291714,CHN,China
2020,CXR,Christmas Isds,11,Maquinaria,10.8156482532994,CXR,Isla Christmas
2020,COM,Comoros,12,Transporte,9.76518846936758,COM,Comoras
2020,COG,Congo,13,Otros productos industriales,3.3138175026586,COG,Congo
2020,BEN,Benin,7,Madera,1.47151342120476,BEN,Benin
2020,DOM,Dominican Rep.,9,Piedra y vidrio,5.7247896260601,DOM,Rep. Dominicana
2020,ECU,Ecuador,7,Madera,3.67959279825892,ECU,Ecuador
2020,ETH,Ethiopia,8,"Textiles, indumentaria y calzado",7.04077390928802,ETH,Etiopía
2020,ERI,Eritrea,8,"Textiles, indumentaria y calzado",4.88434919579444,ERI,Eritrea
2020,FJI,Fiji,1,Productos agropecuarios,14.6436217012603,FJI,Fiji
2020,ATF,Fr. South Antarctic Terr.,8,"Textiles, indumentaria y calzado",1.20284949238166,ATF,Tierras Australes Francesas
2020,GMB,Gambia,8,"Textiles, indumentaria y calzado",8.9526690798572,GMB,Gambia
2020,GHA,Ghana,3,Minerales,7.29560771999672,GHA,Ghana
2020,GRC,Greece,10,Metales,7.13098083382635,GRC,Grecia
2020,GRL,Greenland,7,Madera,2.11389307026014,GRL,Groenlandia
2020,GRD,Grenada,10,Metales,4.45446398520813,GRD,Granada
2020,GUM,Guam,11,Maquinaria,5.53713071419232,GUM,Guam
2020,GTM,Guatemala,4,Químicos,15.1981576875073,GTM,Guatemala
2020,IRN,Iran,1,Productos agropecuarios,29.103657806545,IRN,Irán
2020,ISR,Israel,3,Minerales,3.97853423173816,ISR,Israel
2020,CIV,Côte d'Ivoire,1,Productos agropecuarios,14.2476296410476,CIV,Costa de Marfil
2020,JOR,Jordan,4,Químicos,10.3683041425704,JOR,Jordania
2020,KEN,Kenya,3,Minerales,13.9637418952753,KEN,Kenia
2020,KWT,Kuwait,7,Madera,2.2517663452033,KWT,Kuwait
2020,LAO,Lao People's Dem. Rep.,8,"Textiles, indumentaria y calzado",4.24982268860042,LAO,Laos
