"year","iso3","descripcionpais","export_value_pc"
"2015","DEU","Alemania","1.84376403537301"
"2015","BOL","Bolivia","2.96504514550326"
"2015","BRA","Brasil","9.6919574408772"
"2015","BEL","Bélgica","1.63391100992736"
"2015","CHL","Chile","7.38589725719773"
"2015","COL","Colombia","0.92768975824312"
"2015","KOR","Corea del Sur","0.728677848503152"
"2015","ESP","España","1.78800972602952"
"2015","USA","Estados Unidos","21.4468243274636"
"2015","FRA","Francia","1.31951865446267"
"2015","GRC","Grecia","0.718611098205021"
"2015","IRL","Irlanda","1.03300345366972"
"2015","JPN","Japón","0.702349424646502"
"2015","MEX","México","1.30325698090415"
"2015","PRY","Paraguay","4.52229398008332"
"2015","NLD","Países Bajos","1.73535287831622"
"2015","PER","Perú","0.833217178522201"
"2015","GBR","Reino Unido","2.19067973795475"
"2015","","Resto","31.6707708033267"
"2015","SGP","Singapur","0.751134445322059"
"2015","URY","Uruguay","4.80803481546872"
"2016","DEU","Alemania","3.0331852939194"
"2016","BOL","Bolivia","2.52840334623997"
"2016","BRA","Brasil","8.94003280333725"
"2016","BEL","Bélgica","1.53531601297155"
"2016","CHL","Chile","6.75389258779386"
"2016","CHN","China","1.12639769927278"
"2016","COL","Colombia","2.09626805868652"
"2016","KOR","Corea del Sur","1.73453262733761"
"2016","ESP","España","4.52206735918156"
"2016","USA","Estados Unidos","26.7474517498858"
"2016","FRA","Francia","2.4385311893831"
"2016","ITA","Italia","2.04683837241524"
"2016","JPN","Japón","1.08745309796814"
"2016","MEX","México","2.13671052927211"
"2016","PRY","Paraguay","4.88904533301379"
"2016","NLD","Países Bajos","1.84612388876823"
"2016","PER","Perú","2.53364588872329"
"2016","GBR","Reino Unido","3.37245268605409"
"2016","","Resto","14.5016214434966"
"2016","CHE","Suiza","1.70232843779723"
"2016","URY","Uruguay","4.42770159448185"
"2017","DEU","Alemania","3.33239295126298"
"2017","BOL","Bolivia","2.2170080712305"
"2017","BRA","Brasil","9.96896739167831"
"2017","BEL","Bélgica","1.59773207368008"
"2017","CAN","Canadá","0.987401173872058"
"2017","CHL","Chile","6.04344565165037"
"2017","CHN","China","1.33419573250029"
"2017","COL","Colombia","2.43650700814004"
"2017","KOR","Corea del Sur","2.23076976006495"
"2017","USA","Estados Unidos","31.1750418011298"
"2017","FRA","Francia","2.44201168367382"
"2017","IRL","Irlanda","1.08373299571323"
"2017","ITA","Italia","2.05462014298395"
"2017","MEX","México","2.47985632796857"
"2017","PRY","Paraguay","4.84480255416945"
"2017","NLD","Países Bajos","2.47710399020168"
"2017","PER","Perú","2.73995224693974"
"2017","GBR","Reino Unido","3.84501586034638"
"2017","","Resto","10.3852584789205"
"2017","CHE","Suiza","1.75736766415975"
"2017","URY","Uruguay","4.56681643971348"
"2018","DEU","Alemania","3.71574954503263"
"2018","BOL","Bolivia","2.13487498446899"
"2018","BEL","Bélgica","1.40546545536935"
"2018","CAN","Canadá","1.12773437214503"
"2018","CHL","Chile","6.65312118576555"
"2018","CHN","China","1.63934426229508"
"2018","COL","Colombia","2.64283051826082"
"2018","KOR","Corea del Sur","2.25985397191993"
"2018","ESP","España","4.97577161734504"
"2018","USA","Estados Unidos","30.7170578046089"
"2018","FRA","Francia","2.44695701746052"
"2018","IRL","Irlanda","1.29144953699305"
"2018","ITA","Italia","2.06251872857634"
"2018","MEX","México","2.60043998450553"
"2018","PRY","Paraguay","4.78428334417459"
"2018","NLD","Países Bajos","2.55000986676217"
"2018","PER","Perú","2.67133449785489"
"2018","GBR","Reino Unido","4.28875262200069"
"2018","","Resto","13.3610577169043"
"2018","CHE","Suiza","2.0296295213524"
"2018","URY","Uruguay","4.64176344620422"
"2019","DEU","Alemania","3.41900676663844"
"2019","BOL","Bolivia","2.12865709867256"
"2019","BRA","Brasil","10.8763041698447"
"2019","BEL","Bélgica","1.20777848530863"
"2019","CAN","Canadá","1.04613489892028"
"2019","CHL","Chile","6.18584114144164"
"2019","CHN","China","1.66331950149398"
"2019","KOR","Corea del Sur","1.30084600474434"
"2019","ESP","España","4.00470235887675"
"2019","USA","Estados Unidos","27.4598165240331"
"2019","FRA","Francia","2.53591496567698"
"2019","IRL","Irlanda","1.47298592791116"
"2019","ITA","Italia","2.15174903958518"
"2019","MEX","México","2.48973108385174"
"2019","PRY","Paraguay","4.51622383788058"
"2019","NLD","Países Bajos","2.36517455408063"
"2019","PER","Perú","2.43095159789234"
"2019","GBR","Reino Unido","3.57295303938925"
"2019","","Resto","12.6417880159824"
"2019","CHE","Suiza","2.34068310159754"
"2019","URY","Uruguay","4.18943788617772"
"2020","DEU","Alemania","3.41950296562427"
"2020","BOL","Bolivia","1.7283530687302"
"2020","BRA","Brasil","6.38831607814792"
"2020","BEL","Bélgica","2.01747486128532"
"2020","CHL","Chile","5.34131252790238"
"2020","CHN","China","1.1915644465231"
"2020","COL","Colombia","1.54446310508302"
"2020","KOR","Corea del Sur","1.35844724590234"
"2020","ESP","España","2.60315908076277"
"2020","USA","Estados Unidos","34.1833372308085"
"2020","FRA","Francia","1.84102553200536"
"2020","IRL","Irlanda","2.67862837220179"
"2020","ITA","Italia","1.1596760135207"
"2020","MEX","México","2.21305725036672"
"2020","PRY","Paraguay","3.30045281574863"
"2020","NLD","Países Bajos","2.40863963944812"
"2020","PER","Perú","1.20431981972406"
"2020","GBR","Reino Unido","3.70331001934565"
"2020","","Resto","14.450774888922"
"2020","CHE","Suiza","2.7402793426731"
"2020","URY","Uruguay","4.52390569527414"
"2021","DEU","Alemania","2.44061143289919"
"2021","BRA","Brasil","6.7063479364673"
"2021","BEL","Bélgica","2.18460324063703"
"2021","CAN","Canadá","1.29924157573042"
"2021","CHL","Chile","4.76815258088259"
"2021","CHN","China","1.28004096131076"
