"geocodigoFundar","geonombreFundar","anio","participacion"
"ARG","Argentina","1820","0.04288"
"ARG","Argentina","1850","0.06697"
"ARG","Argentina","1870","0.08330"
"ARG","Argentina","1900","0.20028"
"ARG","Argentina","1920","0.24034"
"ARG","Argentina","1940","0.24912"
"ARG","Argentina","1950","0.22569"
"ARG","Argentina","1960","0.18010"
"ARG","Argentina","1970","0.15899"
"ARG","Argentina","1980","0.12020"
"ARG","Argentina","1990","0.09551"
"ARG","Argentina","2000","0.10327"
"ARG","Argentina","2010","0.10149"
"ARG","Argentina","2015","0.09731"
"ARG","Argentina","2016","0.09637"
"ARG","Argentina","2017","0.09800"
"ARG","Argentina","2018","0.09459"
"ARG","Argentina","2019","0.09275"
"ARG","Argentina","2020","0.08971"
"ARG","Argentina","2021","0.09280"
"ARG","Argentina","2022","0.09417"
"BRA","Brasil","1820","0.19723"
"BRA","Brasil","1850","0.19149"
"BRA","Brasil","1870","0.21050"
"BRA","Brasil","1900","0.14637"
"BRA","Brasil","1920","0.16676"
"BRA","Brasil","1940","0.17546"
"BRA","Brasil","1950","0.19783"
"BRA","Brasil","1960","0.24018"
"BRA","Brasil","1970","0.25282"
"BRA","Brasil","1980","0.32870"
"BRA","Brasil","1990","0.33424"
"BRA","Brasil","2000","0.33489"
"BRA","Brasil","2010","0.36428"
"BRA","Brasil","2015","0.34571"
"BRA","Brasil","2016","0.33820"
"BRA","Brasil","2017","0.33890"
"BRA","Brasil","2018","0.34188"
"BRA","Brasil","2019","0.34625"
"BRA","Brasil","2020","0.35971"
"BRA","Brasil","2021","0.35386"
"BRA","Brasil","2022","0.35108"
"MEX","México","1820","0.33481"
"MEX","México","1850","0.24657"
"MEX","México","1870","0.19113"
"MEX","México","1900","0.23086"
"MEX","México","1920","0.18630"
"MEX","México","1940","0.13838"
"MEX","México","1950","0.16552"
"MEX","México","1960","0.17963"
"MEX","México","1970","0.20678"
"MEX","México","1980","0.21981"
"MEX","México","1990","0.23220"
"MEX","México","2000","0.23892"
"MEX","México","2010","0.21159"
"MEX","México","2015","0.21925"
"MEX","México","2016","0.22707"
"MEX","México","2017","0.22981"
"MEX","México","2018","0.23274"
"MEX","México","2019","0.23244"
"MEX","México","2020","0.22923"
"MEX","México","2021","0.22541"
"MEX","México","2022","0.22398"
"CRECIM_AML-RESTO","Resto de América Latina","1820","0.42508"
"CRECIM_AML-RESTO","Resto de América Latina","1850","0.49497"
"CRECIM_AML-RESTO","Resto de América Latina","1870","0.51507"
"CRECIM_AML-RESTO","Resto de América Latina","1900","0.42248"
"CRECIM_AML-RESTO","Resto de América Latina","1920","0.40660"
"CRECIM_AML-RESTO","Resto de América Latina","1940","0.43704"
"CRECIM_AML-RESTO","Resto de América Latina","1950","0.41096"
"CRECIM_AML-RESTO","Resto de América Latina","1960","0.40009"
"CRECIM_AML-RESTO","Resto de América Latina","1970","0.38141"
"CRECIM_AML-RESTO","Resto de América Latina","1980","0.33129"
"CRECIM_AML-RESTO","Resto de América Latina","1990","0.33805"
"CRECIM_AML-RESTO","Resto de América Latina","2000","0.32292"
"CRECIM_AML-RESTO","Resto de América Latina","2010","0.32264"
"CRECIM_AML-RESTO","Resto de América Latina","2015","0.33773"
"CRECIM_AML-RESTO","Resto de América Latina","2016","0.33835"
"CRECIM_AML-RESTO","Resto de América Latina","2017","0.33329"
"CRECIM_AML-RESTO","Resto de América Latina","2018","0.33079"
"CRECIM_AML-RESTO","Resto de América Latina","2019","0.32856"
"CRECIM_AML-RESTO","Resto de América Latina","2020","0.32135"
"CRECIM_AML-RESTO","Resto de América Latina","2021","0.32794"
"CRECIM_AML-RESTO","Resto de América Latina","2022","0.33078"
