"anio","iso3","participacion"
"1950","AFG","0.00111343637592542"
"1960","AFG","0.000977146377987164"
"1970","AFG","0.000720639854071323"
"1980","AFG","0.000479317756548447"
"1990","AFG","0.000303622816717786"
"2000","AFG","0.000188384518032743"
"2010","AFG","0.000527787959664181"
"2015","AFG","0.0005874643721802"
"2016","AFG","0.000583043645271678"
"2017","AFG","0.000569016966494635"
"2018","AFG","0.000555687991136004"
"2019","AFG","0.000598330611667083"
"2020","AFG","0.00060222357810031"
"2021","AFG","0.000449497578361238"
"2022","AFG","0.000409671993888629"
"1950","AGO","0.000816072932921941"
"1960","AGO","0.000718266635882047"
"1970","AGO","0.00071992989240094"
"1980","AGO","0.000323000419706415"
"1990","AGO","0.000266826426081501"
"2000","AGO","0.000392539176003768"
"2010","AGO","0.00141395645942699"
"2015","AGO","0.00158445850008036"
"2016","AGO","0.00149415217291212"
"2017","AGO","0.00143821099527372"
"2018","AGO","0.00136866003650288"
"2019","AGO","0.00132140612628024"
"2020","AGO","0.00128432972240297"
"2021","AGO","0.00122195267787978"
"2022","AGO","0.00121699428468094"
"1870","ALB","0.000218402248545587"
"1900","ALB","0.00024933582993339"
"1950","ALB","0.000231463558114386"
"1960","ALB","0.000281469553323267"
"1970","ALB","0.000313929427481033"
"1980","ALB","0.000312474505800476"
"1990","ALB","0.000300877631198524"
"2000","ALB","0.000246033531403887"
"2010","ALB","0.000297834354119934"
"2015","ALB","0.00027352076127789"
"2016","ALB","0.000273539162492993"
"2017","ALB","0.000273719442843561"
"2018","ALB","0.000274565544858052"
"2019","ALB","0.000272533097371024"
"2020","ALB","0.000270939552929557"
"2021","ALB","0.000276711484086835"
"2022","ALB","0.000277997791596213"
"1950","ARE","0.000212847075872267"
"1960","ARE","0.000276260984199919"
"1970","ARE","0.000444767352161004"
"1980","ARE","0.00138139379088159"
"1990","ARE","0.000944410040270421"
"2000","ARE","0.00268008238270441"
"2010","ARE","0.00545664674670568"
"2015","ARE","0.0063135690165554"
"2016","ARE","0.00645125569579996"
"2017","ARE","0.00626475890569309"
"2018","ARE","0.00612068534964968"
"2019","ARE","0.0060170803600132"
"2020","ARE","0.00589045751249942"
"2021","ARE","0.00576092883648513"
"2022","ARE","0.00599251501122584"
"1820","ARG","0.000722988698788832"
"1850","ARG","0.00141813032278385"
"1870","ARG","0.00214088028173158"
"1900","ARG","0.00613864442260544"
"1920","ARG","0.0101668435775882"
"1940","ARG","0.0122903526588622"
"1950","ARG","0.0161114672434986"
"1960","ARG","0.0136960110937318"
"1970","ARG","0.0127107010279739"
"1980","ARG","0.0116024581873001"
"1990","ARG","0.00787178191153856"
"2000","ARG","0.00895662511560483"
"2010","ARG","0.00874964044320344"
"2015","ARG","0.00795678980411942"
"2016","ARG","0.00754180193256218"
"2017","ARG","0.00747529292023616"
"2018","ARG","0.00702000769588325"
"2019","ARG","0.00668897350483868"
"2020","ARG","0.00620468915517803"
"2021","ARG","0.00644677175230405"
"2022","ARG","0.00657057492187894"
"1980","ARM","0.000904996315071747"
"1990","ARM","0.00075871207479918"
"2000","ARM","0.000254514482680968"
"2010","ARM","0.000272645539063367"
"2015","ARM","0.000275702824980971"
"2016","ARM","0.000267394873945492"
"2017","ARM","0.000277149368811636"
"2018","ARM","0.000281228376839911"
"2019","ARM","0.000294304368633606"
"2020","ARM","0.000281460242463854"
"2021","ARM","0.000279954390052971"
"2022","ARM","0.00030528747105937"
"1820","AUS","0.000234772154907707"
"1850","AUS","0.00123136952902105"
"1870","AUS","0.0047172553592227"
"1900","AUS","0.00683024253500212"
"1920","AUS","0.00843630280312299"
"1940","AUS","0.00905057800125014"
"1950","AUS","0.0115438142452991"
"1960","AUS","0.0108855657697601"
"1970","AUS","0.0110584886608917"
"1980","AUS","0.0104980921297133"
"1990","AUS","0.010785445488862"
"2000","AUS","0.0115540258709583"
"2010","AUS","0.0110664671221326"
"2015","AUS","0.0106604643812048"
"2016","AUS","0.010596837806462"
"2017","AUS","0.0104587195886845"
"2018","AUS","0.0103697925670343"
"2019","AUS","0.0102784446694998"
"2020","AUS","0.0103909233548104"
"2021","AUS","0.01029091894578"
"2022","AUS","0.0103314499705481"
"1820","AUT","0.00556476230504476"
"1850","AUT","0.00671662572182003"
"1870","AUT","0.00683856653295961"
"1900","AUT","0.00783169150481992"
"1920","AUT","0.00514398761742165"
"1940","AUT","0.0055336553852692"
"1950","AUT","0.00484138545771213"
"1960","AUT","0.00549029037599026"
"1970","AUT","0.00528741523111211"
"1980","AUT","0.00517700496583038"
"1990","AUT","0.00483294695106226"
"2000","AUT","0.00468148705982716"
"2010","AUT","0.00377286411579165"
"2015","AUT","0.00335082020478742"
"2016","AUT","0.00330805144291629"
"2017","AUT","0.00326100616989623"
"2018","AUT","0.00322096082571959"
"2019","AUT","0.00317926058476889"
"2020","AUT","0.00306333604167679"
"2021","AUT","0.00301445041321505"
"2022","AUT","0.00306515685460906"
"1980","AZE","0.00138300540652174"
"1990","AZE","0.00123707050928044"
"2000","AZE","0.000571903827533892"
"2010","AZE","0.00160672814646371"
"2015","AZE","0.0015348937118395"
"2016","AZE","0.00144022129425353"
"2017","AZE","0.00139052000437241"
"2018","AZE","0.00136103566921381"
"2019","AZE","0.00135615359209064"
"2020","AZE","0.00133820297370399"
"2021","AZE","0.00132998566592007"
"2022","AZE","0.00134783725961655"
"1950","BDI","0.000166127982100943"
"1960","BDI","0.000154721839317052"
"1970","BDI","0.000143335967195656"
"1980","BDI","0.000127628198685956"
"1990","BDI","0.000140398384196304"
"2000","BDI","0.0000775852859074264"
"2010","BDI","0.0000730334789349714"
"2015","BDI","0.0000686844986202352"
"2016","BDI","0.0000684229999612163"
"2017","BDI","0.0000684003222060843"
"2018","BDI","0.0000691051328714454"
"2019","BDI","0.0000701876658242573"
"2020","BDI","0.0000728194264428048"
"2021","BDI","0.0000710782953137506"
"2022","BDI","0.0000705318301968525"
"1820","BEL","0.00689071302985793"
"1850","BEL","0.00846834446843094"
"1870","BEL","0.0111393057945211"
"1900","BEL","0.0114044578909622"
"1920","BEL","0.00988422584216394"
"1940","BEL","0.00793683583880475"
"1950","BEL","0.0088889538073054"
"1960","BEL","0.00757562816816891"
"1970","BEL","0.00742932461622795"
"1980","BEL","0.00709970704998277"
"1990","BEL","0.00635035650220861"
"2000","BEL","0.00577162459937761"
"2010","BEL","0.00457935849976294"
"2015","BEL","0.0041315980339921"
"2016","BEL","0.00404995772823972"
"2017","BEL","0.00396741479345958"
"2018","BEL","0.00389449825277367"
"2019","BEL","0.0038714730714723"
"2020","BEL","0.00377387653561384"
"2021","BEL","0.00376966476764244"
"2022","BEL","0.00376349803876596"
"1950","BEN","0.000321621776640483"
"1960","BEN","0.000227298857391572"
"1970","BEN","0.000186050412506811"
"1980","BEN","0.000185585126466075"
"1990","BEN","0.000202715402666666"
"2000","BEN","0.000212800013759873"
"2010","BEN","0.000189551622728592"
"2015","BEN","0.000208471288155628"
"2016","BEN","0.000209539828704054"
"2017","BEN","0.000214514645570538"
"2018","BEN","0.000221836086206342"
"2019","BEN","0.000230499855664309"
"2020","BEN","0.00024655564678727"
"2021","BEN","0.000248651115849819"
"2022","BEN","0.000255858151534057"
"1950","BFA","0.000390989548904979"
"1960","BFA","0.000354225559038374"
"1970","BFA","0.000287161884733827"
"1980","BFA","0.000230146591661018"
"1990","BFA","0.000249858138848272"
"2000","BFA","0.000242863745771288"
"2010","BFA","0.000230362599055446"
"2015","BFA","0.0002466607428275"
"2016","BFA","0.000252987862959496"
"2017","BFA","0.000259009767568518"
"2018","BFA","0.000266263614005437"
"2019","BFA","0.000273616223536738"
"2020","BFA","0.00028727062440179"
"2021","BFA","0.000289034901557243"
"2022","BFA","0.000286831962141743"
"1950","BGD","0.00464467678541029"
"1960","BGD","0.0035568105687728"
"1970","BGD","0.00308088953740727"
"1980","BGD","0.00240584338437228"
"1990","BGD","0.00260506350852643"
"2000","BGD","0.00335278956920097"
"2010","BGD","0.00445493873405323"
"2015","BGD","0.00516604573032705"
"2016","BGD","0.00534324426173423"
"2017","BGD","0.00550912527185946"
"2018","BGD","0.00571639528075496"
"2019","BGD","0.00587161939852613"
"2020","BGD","0.00636106078645143"
"2021","BGD","0.00640696570918808"
"2022","BGD","0.00659539601693951"
"1870","BGR","0.00176392164712156"
"1920","BGR","0.00167561749318738"
"1940","BGR","0.00233884331926117"
"1950","BGR","0.00225529732393059"
"1960","BGR","0.00273805204984537"
"1970","BGR","0.00294361834581319"
"1980","BGR","0.00266390176965965"
"1990","BGR","0.00184396636127384"
"2000","BGR","0.0011305909698505"
"2010","BGR","0.0012142077385364"
