geocodigoFundar,geonombreFundar,anio,pib_per_capita,cambio_relativo
ARG,Argentina,1820,1591.0,0.0
ARG,Argentina,1850,1994.0,0.253299811439346
ARG,Argentina,1860,2160.0,0.357636706473916
ARG,Argentina,1870,2340.0,0.470773098680075
ARG,Argentina,1875,2606.0,0.637963544940289
ARG,Argentina,1876,2611.0,0.641106222501571
ARG,Argentina,1877,2820.0,0.772470144563168
ARG,Argentina,1878,2619.0,0.646134506599623
ARG,Argentina,1879,2664.0,0.674418604651163
ARG,Argentina,1880,2557.0,0.607165304839723
ARG,Argentina,1881,2541.0,0.59710873664362
ARG,Argentina,1882,3108.0,0.953488372093023
ARG,Argentina,1883,3373.0,1.12005028284098
ARG,Argentina,1884,3486.0,1.19107479572596
ARG,Argentina,1885,3904.0,1.45380263984915
ARG,Argentina,1886,3771.0,1.37020741671904
ARG,Argentina,1887,3841.0,1.414204902577
ARG,Argentina,1888,4219.0,1.65179132620993
ARG,Argentina,1889,4288.0,1.69516027655563
ARG,Argentina,1890,3851.0,1.42049025769956
ARG,Argentina,1891,3631.0,1.28221244500314
ARG,Argentina,1892,4251.0,1.67190446260214
ARG,Argentina,1893,4409.0,1.77121307353866
ARG,Argentina,1894,4968.0,2.12256442489001
ARG,Argentina,1895,5384.0,2.38403519798869
ARG,Argentina,1896,5716.0,2.59270898805783
ARG,Argentina,1897,4500.0,1.82840980515399
ARG,Argentina,1898,4741.0,1.97988686360779
ARG,Argentina,1899,5412.0,2.40163419233187
ARG,Argentina,1900,4583.0,1.88057825267128
ARG,Argentina,1901,4591.0,1.88560653676933
ARG,Argentina,1902,4331.0,1.72218730358265
ARG,Argentina,1903,4769.0,1.99748585795097
ARG,Argentina,1904,5086.0,2.19673161533627
ARG,Argentina,1905,5545.0,2.48522941546197
ARG,Argentina,1906,5608.0,2.52482715273413
ARG,Argentina,1907,5514.0,2.46574481458202
ARG,Argentina,1908,5829.0,2.6637335009428
ARG,Argentina,1909,5896.0,2.70584538026398
ARG,Argentina,1910,6092.0,2.82903834066625
ARG,Argentina,1911,5971.0,2.75298554368322
ARG,Argentina,1912,6223.0,2.91137649277184
ARG,Argentina,1913,6052.0,2.80389692017599
ARG,Argentina,1914,5263.0,2.30798240100566
ARG,Argentina,1915,5171.0,2.25015713387806
ARG,Argentina,1916,4927.0,2.09679446888749
ARG,Argentina,1917,4447.0,1.7950974230044
ARG,Argentina,1918,5177.0,2.2539283469516
ARG,Argentina,1919,5271.0,2.31301068510371
ARG,Argentina,1920,5536.0,2.47957259585167
ARG,Argentina,1921,5533.0,2.4776869893149
ARG,Argentina,1922,5796.0,2.64299182903834
ARG,Argentina,1923,6213.0,2.90509113764928
ARG,Argentina,1924,6464.0,3.06285355122564
ARG,Argentina,1925,6247.0,2.926461345066
ARG,Argentina,1926,6366.0,3.00125707102451
ARG,Argentina,1927,6625.0,3.16404776869893
ARG,Argentina,1928,6840.0,3.29918290383407
ARG,Argentina,1929,6961.0,3.3752357008171
ARG,Argentina,1930,6503.0,3.08736643620365
ARG,Argentina,1931,5917.0,2.71904462602137
ARG,Argentina,1932,5614.0,2.52859836580767
ARG,Argentina,1933,5772.0,2.62790697674419
ARG,Argentina,1934,6129.0,2.85229415461974
ARG,Argentina,1935,6296.0,2.95725958516656
ARG,Argentina,1936,6236.0,2.91954745443118
ARG,Argentina,1937,6575.0,3.13262099308611
ARG,Argentina,1938,6491.0,3.07982401005657
ARG,Argentina,1939,6612.0,3.1558768070396
ARG,Argentina,1940,6633.0,3.16907605279698
ARG,Argentina,1941,6861.0,3.31238214959145
ARG,Argentina,1942,6829.0,3.29226901319925
ARG,Argentina,1943,6666.0,3.18981772470145
ARG,Argentina,1944,7299.0,3.58768070395977
ARG,Argentina,1945,6943.0,3.36392206159648
ARG,Argentina,1946,7436.0,3.67379006913891
ARG,Argentina,1947,8112.0,4.09868007542426
ARG,Argentina,1948,8372.0,4.26209930861094
ARG,Argentina,1949,8045.0,4.05656819610308
ARG,Argentina,1950,7949.0,3.99622878692646
ARG,Argentina,1951,8086.0,4.08233815210559
ARG,Argentina,1952,7519.0,3.72595851665619
ARG,Argentina,1953,7769.0,3.8830923947203
ARG,Argentina,1954,7938.0,3.98931489629164
ARG,Argentina,1955,8348.0,4.24701445631678
ARG,Argentina,1956,8424.0,4.29478315524827
ARG,Argentina,1957,8705.0,4.47140163419233
ARG,Argentina,1958,9083.0,4.70898805782527
ARG,Argentina,1959,8354.0,4.25078566939032
ARG,Argentina,1960,8861.0,4.56945317410434
ARG,Argentina,1961,9344.0,4.8730358265242
ARG,Argentina,1962,9049.0,4.68761785040855
ARG,Argentina,1963,8695.0,4.46511627906977
ARG,Argentina,1964,9446.0,4.93714644877436
ARG,Argentina,1965,10155.0,5.38277812696417
ARG,Argentina,1966,10076.0,5.33312382149591
ARG,Argentina,1967,10200.0,5.41106222501571
ARG,Argentina,1968,10485.0,5.5901948460088
ARG,Argentina,1969,11217.0,6.05028284098052
ARG,Argentina,1970,11639.0,6.31552482715273
ARG,Argentina,1971,12003.0,6.54431175361408
ARG,Argentina,1972,12170.0,6.6492771841609
ARG,Argentina,1973,12691.0,6.97674418604651
ARG,Argentina,1974,13284.0,7.34946574481458
ARG,Argentina,1975,12946.0,7.1370207416719
ARG,Argentina,1976,12696.0,6.97988686360779
ARG,Argentina,1977,13236.0,7.31929604022627
ARG,Argentina,1978,12444.0,6.82149591451917
ARG,Argentina,1979,13114.0,7.24261470773099
ARG,Argentina,1980,13080.0,7.22124450031427
ARG,Argentina,1981,12125.0,6.62099308610937
ARG,Argentina,1982,11550.0,6.25958516656191
ARG,Argentina,1983,11775.0,6.40100565681961
ARG,Argentina,1984,11837.0,6.43997485857951
ARG,Argentina,1985,10895.0,5.84789440603394
ARG,Argentina,1986,11515.0,6.23758642363294
ARG,Argentina,1987,11633.0,6.3117536140792
ARG,Argentina,1988,11244.0,6.06725329981144
ARG,Argentina,1989,10393.0,5.53236957888121
ARG,Argentina,1990,10254.0,5.44500314267756
ARG,Argentina,1991,11223.9846365402,6.05467293308626
ARG,Argentina,1992,12267.0835867812,6.71029766611011
ARG,Argentina,1993,12926.7946652176,7.12494950673642
ARG,Argentina,1994,13571.379431201,7.53009392281646
ARG,Argentina,1995,13086.0364515543,7.22503862448417
ARG,Argentina,1996,13715.2268187077,7.62050711420977
ARG,Argentina,1997,14722.6459400365,8.2537058076911
ARG,Argentina,1998,15185.9586884861,8.54491432337281
ARG,Argentina,1999,14577.8322730293,8.16268527531698
ARG,Argentina,2000,14368.9427373623,8.0313907840115
ARG,Argentina,2001,13651.980987935,7.58075486356695
ARG,Argentina,2002,12094.7728377935,6.60199424122784
ARG,Argentina,2003,13088.5650108326,7.2266279137854
ARG,Argentina,2004,14183.225137777,7.91466067742112
ARG,Argentina,2005,15344.1571340567,8.6443476643977
ARG,Argentina,2006,16490.4735815761,9.36484825994725
ARG,Argentina,2007,17891.9434108489,10.2457218170012
ARG,Argentina,2008,18520.3040835795,10.6406688143177
ARG,Argentina,2009,17328.97575242,9.8918766514268
ARG,Argentina,2010,18979.9917029921,10.9295988076631
ARG,Argentina,2011,20003.0,11.5725958516656
ARG,Argentina,2012,19573.9631854518,11.3029309776567
ARG,Argentina,2013,19821.6424799123,11.4586062098757
ARG,Argentina,2014,19112.2329000231,11.0127170961804
ARG,Argentina,2015,19423.6669777037,11.2084644737295
ARG,Argentina,2016,18819.6428869525,10.828813882434
ARG,Argentina,2017,19150.5204834216,11.0367822020249
ARG,Argentina,2018,18460.8690085816,10.6033117590079
ARG,Argentina,2019,17912.6357651773,10.2587276965288
ARG,Argentina,2020,15975.8387725535,9.04138200663328
ARG,Argentina,2021,17470.6824151873,9.98094432129936
ARG,Argentina,2022,18292.3178246598,10.4973713542802
AUS,Australia,1820,826.0,0.0
AUS,Australia,1821,834.0,0.0096852300242131
AUS,Australia,1822,858.0,0.0387409200968523
AUS,Australia,1823,886.0,0.0726392251815982
AUS,Australia,1824,936.0,0.13317191283293
AUS,Australia,1825,982.0,0.188861985472155
AUS,Australia,1826,999.0,0.209443099273608
AUS,Australia,1827,1030.0,0.246973365617433
AUS,Australia,1828,1057.0,0.279661016949152
AUS,Australia,1829,1114.0,0.348668280871671
AUS,Australia,1830,1352.0,0.63680387409201
AUS,Australia,1831,1398.0,0.692493946731235
AUS,Australia,1832,1428.0,0.728813559322034
AUS,Australia,1833,1435.0,0.73728813559322
AUS,Australia,1834,1508.0,0.825665859564165
AUS,Australia,1835,1825.0,1.20944309927361
AUS,Australia,1836,1793.0,1.17070217917676
AUS,Australia,1837,1881.0,1.2772397094431
AUS,Australia,1838,1857.0,1.24818401937046
AUS,Australia,1839,1733.0,1.09806295399516
AUS,Australia,1840,2190.0,1.65133171912833
AUS,Australia,1841,1868.0,1.26150121065375
AUS,Australia,1842,1704.0,1.06295399515739
AUS,Australia,1843,1975.0,1.3910411622276
AUS,Australia,1844,2246.0,1.71912832929782
AUS,Australia,1845,2310.0,1.79661016949153
AUS,Australia,1846,2554.0,2.09200968523002
AUS,Australia,1847,2954.0,2.57627118644068
AUS,Australia,1848,3381.0,3.09322033898305
AUS,Australia,1849,3339.0,3.04237288135593
AUS,Australia,1850,3148.0,2.81113801452784
AUS,Australia,1851,3736.0,3.52300242130751
AUS,Australia,1852,4382.0,4.30508474576271
AUS,Australia,1853,4798.0,4.80871670702179
AUS,Australia,1854,4202.0,4.08716707021792
AUS,Australia,1855,3988.0,3.82808716707022
AUS,Australia,1856,4866.0,4.8910411622276
AUS,Australia,1857,4294.0,4.19854721549637
AUS,Australia,1858,3661.0,3.43220338983051
AUS,Australia,1859,4728.0,4.72397094430993
AUS,Australia,1860,4613.0,4.58474576271186
AUS,Australia,1861,4544.0,4.50121065375303
AUS,Australia,1862,4368.0,4.28813559322034
AUS,Australia,1863,4352.0,4.26876513317191
AUS,Australia,1864,4616.0,4.58837772397094
AUS,Australia,1865,4403.0,4.33050847457627
AUS,Australia,1866,4532.0,4.48668280871671
AUS,Australia,1867,4956.0,5.0
AUS,Australia,1868,5031.0,5.090799031477
AUS,Australia,1869,4932.0,4.97094430992736
AUS,Australia,1870,5217.0,5.31598062953995
AUS,Australia,1871,5259.0,5.36682808716707
AUS,Australia,1872,5663.0,5.85593220338983
AUS,Australia,1873,6095.0,6.37893462469734
AUS,Australia,1874,6113.0,6.40072639225182
AUS,Australia,1875,6596.0,6.98547215496368
AUS,Australia,1876,6387.0,6.73244552058111
AUS,Australia,1877,6433.0,6.78813559322034
AUS,Australia,1878,6817.0,7.25302663438257
AUS,Australia,1879,6703.0,7.11501210653753
AUS,Australia,1880,6830.0,7.26876513317191
AUS,Australia,1881,7101.0,7.59685230024213
AUS,Australia,1882,6476.0,6.84019370460048
AUS,Australia,1883,7133.0,7.63559322033898
AUS,Australia,1884,6861.0,7.30629539951574
AUS,Australia,1885,7049.0,7.53389830508475
AUS,Australia,1886,6900.0,7.35351089588378
AUS,Australia,1887,7383.0,7.93825665859564
AUS,Australia,1888,7179.0,7.69128329297821
AUS,Australia,1889,7567.0,8.16101694915254
AUS,Australia,1890,7106.0,7.60290556900726
AUS,Australia,1891,7438.0,8.00484261501211
AUS,Australia,1892,6368.0,6.70944309927361
AUS,Australia,1893,5910.0,6.15496368038741
AUS,Australia,1894,6003.0,6.26755447941889
AUS,Australia,1895,5558.0,5.72881355932203
AUS,Australia,1896,5874.0,6.11138014527845
AUS,Australia,1897,5451.0,5.59927360774818
AUS,Australia,1898,6202.0,6.50847457627119
AUS,Australia,1899,6121.0,6.41041162227603
AUS,Australia,1900,6397.0,6.74455205811138
AUS,Australia,1901,6119.0,6.40799031476998
AUS,Australia,1902,6094.0,6.37772397094431
AUS,Australia,1903,6497.0,6.86561743341404
AUS,Australia,1904,6846.0,7.28813559322034
AUS,Australia,1905,6825.0,7.26271186440678
AUS,Australia,1906,7184.0,7.69733656174334
AUS,Australia,1907,7358.0,7.90799031476998
AUS,Australia,1908,7481.0,8.05690072639225
AUS,Australia,1909,7940.0,8.61259079903148
AUS,Australia,1910,8305.0,9.0544794188862
AUS,Australia,1911,8136.0,8.8498789346247
AUS,Australia,1912,8126.0,8.83777239709443
AUS,Australia,1913,8220.0,8.95157384987894
AUS,Australia,1914,8013.0,8.70096852300242
AUS,Australia,1915,7806.0,8.45036319612591
AUS,Australia,1916,7775.0,8.41283292978208
AUS,Australia,1917,7637.0,8.24576271186441
AUS,Australia,1918,7336.0,7.88135593220339
AUS,Australia,1919,7517.0,8.10048426150121
AUS,Australia,1920,7597.0,8.19733656174334
AUS,Australia,1921,7828.0,8.47699757869249
