"anio","iso3","pib_per_capita","cambio_relativo"
"1900","ALB","1092","0"
"1910","ALB","1243","0.138278388278388"
"1913","ALB","1293","0.184065934065934"
"1929","ALB","1476","0.351648351648352"
"1950","ALB","1596","0.461538461538461"
"1951","ALB","1666","0.525641025641026"
"1952","ALB","1667","0.526556776556776"
"1953","ALB","1736","0.58974358974359"
"1954","ALB","1785","0.634615384615385"
"1955","ALB","1882","0.723443223443224"
"1956","ALB","1902","0.741758241758242"
"1957","ALB","2023","0.852564102564103"
"1958","ALB","2114","0.935897435897436"
"1959","ALB","2201","1.01556776556777"
"1960","ALB","2313","1.11813186813187"
"1961","ALB","2332","1.13553113553114"
"1962","ALB","2409","1.20604395604396"
"1963","ALB","2491","1.28113553113553"
"1964","ALB","2576","1.35897435897436"
"1965","ALB","2670","1.44505494505495"
"1966","ALB","2770","1.53663003663004"
"1967","ALB","2876","1.63369963369963"
"1968","ALB","2979","1.72802197802198"
"1969","ALB","3080","1.82051282051282"
"1970","ALB","3194","1.92490842490842"
"1971","ALB","3322","2.04212454212454"
"1972","ALB","3451","2.16025641025641"
"1973","ALB","3623","2.31776556776557"
"1974","ALB","3637","2.33058608058608"
"1975","ALB","3649","2.34157509157509"
"1976","ALB","3665","2.35622710622711"
"1977","ALB","3681","2.37087912087912"
"1978","ALB","3696","2.38461538461538"
"1979","ALB","3716","2.4029304029304"
"1980","ALB","3741","2.42582417582418"
"1981","ALB","3762","2.44505494505495"
"1982","ALB","3783","2.46428571428571"
"1983","ALB","3805","2.48443223443223"
"1984","ALB","3826","2.503663003663"
"1985","ALB","3846","2.52197802197802"
"1986","ALB","3870","2.54395604395604"
"1987","ALB","3894","2.56593406593407"
"1988","ALB","3920","2.58974358974359"
"1989","ALB","3948","2.61538461538462"
"1990","ALB","3983","2.6474358974359"
"1991","ALB","2942.10059831345","1.69423131713686"
"1992","ALB","2841.76516466455","1.60234905189061"
"1993","ALB","3137.0239335031","1.87273253983801"
"1994","ALB","3399.71018272432","2.11328771311751"
"1995","ALB","3666.65056914009","2.35773861642865"
"1996","ALB","3965.68531531917","2.63157995908349"
"1997","ALB","3526.98564071555","2.2298403303256"
"1998","ALB","3873.37315205246","2.54704501103705"
"1999","ALB","4432.04263745532","3.05864710389681"
"2000","ALB","4808.47961481352","3.40336961063509"
"2001","ALB","5285.80909643499","3.84048452054486"
"2002","ALB","5608.96234460107","4.13641240348084"
"2003","ALB","6004.64523899215","4.49875937636643"
"2004","ALB","6419.87039572498","4.87900219388735"
"2005","ALB","6858.46704735724","5.28064747926487"
"2006","ALB","7347.33012304625","5.72832428850389"
"2007","ALB","7866.15774715018","6.20344116039394"
"2008","ALB","8522.12984128861","6.80414820630825"
"2009","ALB","8859.47159720472","7.11306922820945"
"2010","ALB","9222.97275207776","7.44594574366095"
"2011","ALB","9484","7.68498168498168"
"2012","ALB","9634.33370462354","7.82264991265892"
"2013","ALB","9748.72726226394","7.92740591782412"
"2014","ALB","9942.27611537283","8.10464845730113"
"2015","ALB","10192.5291797694","8.33381793019178"
"2016","ALB","10547.2552096775","8.65865861692079"
"2017","ALB","10958.306302702","9.03507903177835"
"2018","ALB","11426.9201046629","9.46421255005763"
"2019","ALB","11715.3063184704","9.72830248944173"
"2020","ALB","11372.5414213064","9.41441522097652"
"2021","ALB","12455.9165536791","10.4065169905487"
"2022","ALB","12978.1007294332","10.8847076276861"
"1900","ARG","4583","0"
"1901","ARG","4591","0.00174558149683612"
"1902","ARG","4331","-0.0549858171503382"
"1903","ARG","4769","0.0405847698014401"
"1904","ARG","5086","0.109753436613572"
"1905","ARG","5545","0.209906174994545"
"1906","ARG","5608","0.22365262928213"
"1907","ARG","5514","0.203142046694305"
"1908","ARG","5829","0.271874318132228"
"1909","ARG","5896","0.28649356316823"
"1910","ARG","6092","0.329260309840716"
"1911","ARG","5971","0.302858389701069"
"1912","ARG","6223","0.357844206851407"
"1913","ARG","6052","0.320532402356535"
"1914","ARG","5263","0.148374427231071"
"1915","ARG","5171","0.128300240017456"
"1916","ARG","4927","0.0750600043639538"
"1917","ARG","4447","-0.0296748854462142"
"1918","ARG","5177","0.129609426140083"
"1919","ARG","5271","0.150120008727908"
"1920","ARG","5536","0.207942395810604"
"1921","ARG","5533","0.207287802749291"
"1922","ARG","5796","0.264673794457779"
"1923","ARG","6213","0.355662229980362"
"1924","ARG","6464","0.410429849443596"
"1925","ARG","6247","0.363080951341916"
"1926","ARG","6366","0.389046476107353"
"1927","ARG","6625","0.445559677067423"
"1928","ARG","6840","0.492472179794894"
"1929","ARG","6961","0.518874099934541"
"1930","ARG","6503","0.418939559240672"
"1931","ARG","5917","0.291075714597425"
"1932","ARG","5614","0.224961815404757"
"1933","ARG","5772","0.25943704996727"
"1934","ARG","6129","0.337333624263583"
"1935","ARG","6296","0.373772638010037"
"1936","ARG","6236","0.360680776783766"
"1937","ARG","6575","0.434649792712197"
"1938","ARG","6491","0.416321186995418"
"1939","ARG","6612","0.442723107135064"
"1940","ARG","6633","0.447305258564259"
"1941","ARG","6861","0.497054331224089"
"1942","ARG","6829","0.490072005236744"
"1943","ARG","6666","0.454505782238708"
"1944","ARG","7299","0.592624918175867"
"1945","ARG","6943","0.514946541566659"
"1946","ARG","7436","0.622518001309186"
"1947","ARG","8112","0.770019637791839"
"1948","ARG","8372","0.826751036439014"
"1949","ARG","8045","0.755400392755837"
"1950","ARG","7949","0.734453414793803"
"1951","ARG","8086","0.764346497927122"
"1952","ARG","7519","0.640628409338861"
"1953","ARG","7769","0.69517783111499"
"1954","ARG","7938","0.732053240235653"
"1955","ARG","8348","0.821514291948505"
"1956","ARG","8424","0.838097316168449"
"1957","ARG","8705","0.899410866244818"
"1958","ARG","9083","0.981889591970325"
"1959","ARG","8354","0.822823478071133"
"1960","ARG","8861","0.933449705433122"
"1961","ARG","9344","1.0388391883046"
"1962","ARG","9049","0.974470870608771"
"1963","ARG","8695","0.897228889373773"
"1964","ARG","9446","1.06109535238926"
"1965","ARG","10155","1.21579751254637"
"1966","ARG","10076","1.19855989526511"
"1967","ARG","10200","1.22561640846607"
"1968","ARG","10485","1.28780274929086"
"1969","ARG","11217","1.44752345625136"
"1970","ARG","11639","1.53960288020947"
"1971","ARG","12003","1.61902683831551"
"1972","ARG","12170","1.65546585206197"
"1973","ARG","12691","1.76914684704342"
"1974","ARG","13284","1.8985380754964"
"1975","ARG","12946","1.82478725725507"
"1976","ARG","12696","1.77023783547894"
