"anio","iso3","relativo_arg"
"1950","AFG","6.87629757785467"
"1951","AFG","6.91111111111111"
"1952","AFG","6.32380151387721"
"1953","AFG","6.26532258064516"
"1954","AFG","6.37590361445783"
"1955","AFG","6.69983948635634"
"1956","AFG","6.59154929577465"
"1957","AFG","6.94732641660016"
"1958","AFG","6.99768875192604"
"1959","AFG","6.39173680183627"
"1960","AFG","6.68250377073907"
"1961","AFG","7.13827349121467"
"1962","AFG","6.95007680491551"
"1963","AFG","6.69876733436055"
"1964","AFG","7.31680867544539"
"1965","AFG","7.87209302325581"
"1966","AFG","7.92138364779874"
"1967","AFG","7.98747063429914"
"1968","AFG","8.12790697674419"
"1969","AFG","8.77699530516432"
"1970","AFG","9.1501572327044"
"1971","AFG","9.70331447049313"
"1972","AFG","12.085402184707"
"1973","AFG","12.5529179030663"
"1974","AFG","12.7853705486044"
"1975","AFG","12.0540037243948"
"1976","AFG","11.489592760181"
"1977","AFG","12.9510763209393"
"1978","AFG","11.6299065420561"
"1979","AFG","12.8191593352884"
"1980","AFG","12.8361138370952"
"1981","AFG","10.5987762237762"
"1982","AFG","9.09448818897638"
"1983","AFG","8.74164810690423"
"1984","AFG","8.85340314136126"
"1985","AFG","8.35506134969325"
"1986","AFG","8.56770833333333"
"1987","AFG","9.60611065235343"
"1988","AFG","10.2125340599455"
"1989","AFG","10.4034034034034"
"1990","AFG","10.6479750778816"
"1991","AFG","12.7375864475394"
"1992","AFG","14.5366061501538"
"1993","AFG","22.3491240292659"
"1994","AFG","31.677407769022"
"1995","AFG","20.6749901394156"
"1996","AFG","22.8520361148004"
"1997","AFG","25.8021284174175"
"1998","AFG","27.8621632207437"
"1999","AFG","28.1068372969213"
"2000","AFG","28.602154203728"
"2001","AFG","27.8792789486889"
"2002","AFG","15.1788672521099"
"2003","AFG","15.5297636356839"
"2004","AFG","16.3205801876992"
"2005","AFG","15.9104397565624"
"2006","AFG","15.5997799511195"
"2007","AFG","14.1999917965615"
"2008","AFG","14.0347080068796"
"2009","AFG","11.1274296027835"
"2010","AFG","11.6608235379608"
"2011","AFG","11.1623883928571"
"2012","AFG","10.0637342855793"
"2013","AFG","9.78846542217891"
"2014","AFG","9.45214287834969"
"2015","AFG","10.0745160672737"
"2016","AFG","9.74483012724954"
"2017","AFG","10.0278522357187"
"2018","AFG","9.77378911536605"
"2019","AFG","8.81641309162311"
"2020","AFG","8.28426973922562"
"2021","AFG","11.7604372941419"
"2022","AFG","13.4701633706094"
"1950","AGO","4.74001192605844"
"1951","AGO","4.71486880466472"
"1952","AGO","4.28433048433048"
"1953","AGO","4.32813370473538"
"1954","AGO","4.61511627906977"
"1955","AGO","4.56174863387978"
"1956","AGO","4.76201243640475"
"1957","AGO","4.56236897274633"
"1958","AGO","4.59201213346815"
"1959","AGO","4.27752176139273"
"1960","AGO","4.4371557336004"
"1961","AGO","4.19955056179775"
"1962","AGO","4.25234962406015"
"1963","AGO","3.95227272727273"
"1964","AGO","3.92438720398837"
"1965","AGO","3.99174528301887"
"1966","AGO","3.80801209372638"
"1967","AGO","3.70504903741373"
"1968","AGO","3.9343339587242"
"1969","AGO","4.1621521335807"
"1970","AGO","4.13023420865862"
"1971","AGO","4.35838779956427"
"1972","AGO","4.45950897764749"
"1973","AGO","4.44985974754558"
"1974","AGO","4.87128712871287"
"1975","AGO","7.57076023391813"
"1976","AGO","8.34714003944773"
"1977","AGO","8.824"
"1978","AGO","8.13333333333333"
"1979","AGO","8.58808120497708"
"1980","AGO","8.5378590078329"
"1981","AGO","8.24269204622706"
"1982","AGO","8.4061135371179"
"1983","AGO","9.14208074534161"
"1984","AGO","9.40190627482129"
"1985","AGO","8.77214170692432"
"1986","AGO","10.4113924050633"
"1987","AGO","9.60611065235343"
"1988","AGO","8.26764705882353"
"1989","AGO","7.64191176470588"
"1990","AGO","7.40895953757225"
"1991","AGO","7.80990582265845"
"1992","AGO","8.82949919670876"
"1993","AGO","11.9639298843106"
"1994","AGO","12.1081338538479"
"1995","AGO","9.91998458753747"
"1996","AGO","8.9409194832486"
"1997","AGO","8.72547308042097"
"1998","AGO","8.38462114249494"
"1999","AGO","7.67490553219436"
"2000","AGO","7.13581853897962"
"2001","AGO","6.31309852601566"
"2002","AGO","4.79442967820773"
"2003","AGO","4.82629461840812"
"2004","AGO","4.62853878024091"
"2005","AGO","4.13726241487314"
"2006","AGO","3.59086723905184"
"2007","AGO","3.09895102889556"
"2008","AGO","2.74629235046265"
"2009","AGO","2.44496948152771"
"2010","AGO","2.52371163461544"
"2011","AGO","2.49538423153693"
"2012","AGO","2.33664667349908"
"2013","AGO","2.34189253705171"
"2014","AGO","2.23579529830379"
"2015","AGO","2.33469676351836"
"2016","AGO","2.40686639572438"
"2017","AGO","2.54133565255749"
"2018","AGO","2.57102446958841"
"2019","AGO","2.60095180124532"
"2020","AGO","2.54395209823797"
"2021","AGO","2.84677716642086"
"2022","AGO","2.98947575320808"
"1870","ALB","3.29113924050633"
"1890","ALB","4.04092339979014"
"1900","ALB","4.19688644688645"
"1910","ALB","4.90104585679807"
"1913","ALB","4.68058778035576"
"1929","ALB","4.71612466124661"
"1950","ALB","4.98057644110276"
"1951","ALB","4.85354141656663"
"1952","ALB","4.51049790041992"
"1953","ALB","4.47523041474654"
"1954","ALB","4.44705882352941"
"1955","ALB","4.43570669500531"
"1956","ALB","4.42902208201893"
"1957","ALB","4.30301532377657"
"1958","ALB","4.29659413434248"
"1959","ALB","3.7955474784189"
"1960","ALB","3.83095546908776"
"1961","ALB","4.00686106346484"
"1962","ALB","3.7563304275633"
"1963","ALB","3.49056603773585"
"1964","ALB","3.66692546583851"
"1965","ALB","3.80337078651685"
"1966","ALB","3.63754512635379"
"1967","ALB","3.54659248956885"
"1968","ALB","3.51963746223565"
"1969","ALB","3.64188311688312"
"1970","ALB","3.64402003757044"
