anio,region_pbg,participacion_vab,vab,provincia_id,geocodigoFundar,geonombreFundar
1895,Pampeana y AMBA,0.239169847011028,4158.05089965885,AR-B,AR-B,Buenos Aires
1914,Pampeana y AMBA,0.282959899415241,9971.40063342666,AR-B,AR-B,Buenos Aires
1937,Pampeana y AMBA,0.264679271827705,19945.8100329982,AR-B,AR-B,Buenos Aires
1946,Pampeana y AMBA,0.272508981702785,26974.6569212173,AR-B,AR-B,Buenos Aires
1953,Pampeana y AMBA,0.306406022030465,36854.0998742519,AR-B,AR-B,Buenos Aires
1965,Pampeana y AMBA,0.366953748941282,70339.393296255,AR-B,AR-B,Buenos Aires
1975,Pampeana y AMBA,0.313311963236234,85571.8369397267,AR-B,AR-B,Buenos Aires
1986,Pampeana y AMBA,0.381939510349889,112645.434525819,AR-B,AR-B,Buenos Aires
1993,Pampeana y AMBA,0.334509305658719,116632.444690729,AR-B,AR-B,Buenos Aires
2004,Pampeana y AMBA,0.319959029210507,131865.786636821,AR-B,AR-B,Buenos Aires
2005,Pampeana y AMBA,0.32044294276269,144250.345682527,AR-B,AR-B,Buenos Aires
2006,Pampeana y AMBA,0.319347405557077,154663.034209731,AR-B,AR-B,Buenos Aires
2007,Pampeana y AMBA,0.316801170437451,165749.012204857,AR-B,AR-B,Buenos Aires
2008,Pampeana y AMBA,0.319961007278232,173648.574231527,AR-B,AR-B,Buenos Aires
2009,Pampeana y AMBA,0.317966606439515,162655.453195104,AR-B,AR-B,Buenos Aires
2010,Pampeana y AMBA,0.323698010827591,182141.753328669,AR-B,AR-B,Buenos Aires
2011,Pampeana y AMBA,0.326253347574731,193543.064849225,AR-B,AR-B,Buenos Aires
2012,Pampeana y AMBA,0.329315718942012,192585.816217016,AR-B,AR-B,Buenos Aires
2013,Pampeana y AMBA,0.328352892195079,196250.056341122,AR-B,AR-B,Buenos Aires
2014,Pampeana y AMBA,0.322710761700288,189375.858813846,AR-B,AR-B,Buenos Aires
2015,Pampeana y AMBA,0.324168367264903,195355.68059942,AR-B,AR-B,Buenos Aires
2016,Pampeana y AMBA,0.324519539157648,191237.577916727,AR-B,AR-B,Buenos Aires
2017,Pampeana y AMBA,0.324375420002236,196083.56732278,AR-B,AR-B,Buenos Aires
2018,Pampeana y AMBA,0.322555042427047,189744.806588547,AR-B,AR-B,Buenos Aires
2019,Pampeana y AMBA,0.319596829811588,184973.879974974,AR-B,AR-B,Buenos Aires
2020,Pampeana y AMBA,0.322562296649565,168199.966570467,AR-B,AR-B,Buenos Aires
2021,Pampeana y AMBA,0.324420291019988,186754.84682226,AR-B,AR-B,Buenos Aires
2022,Pampeana y AMBA,0.32532430310218,196496.897853212,AR-B,AR-B,Buenos Aires
1895,Pampeana y AMBA,0.224275301226469,3899.10404547351,AR-C,AR-C,CABA
1914,Pampeana y AMBA,0.261423079870706,9212.45119750949,AR-C,AR-C,CABA
1937,Pampeana y AMBA,0.320247640401493,24133.3541340637,AR-C,AR-C,CABA
1946,Pampeana y AMBA,0.340614371624804,33716.1577559894,AR-C,AR-C,CABA
1953,Pampeana y AMBA,0.30313107474418,36460.1936658431,AR-C,AR-C,CABA
1965,Pampeana y AMBA,0.252934397091747,48483.6361163171,AR-C,AR-C,CABA
1975,Pampeana y AMBA,0.278529934788529,76072.1611660448,AR-C,AR-C,CABA
1986,Pampeana y AMBA,0.238434046608463,70321.3625669543,AR-C,AR-C,CABA
1993,Pampeana y AMBA,0.241501254913881,84203.5820229827,AR-C,AR-C,CABA
2004,Pampeana y AMBA,0.207959241728895,85706.9389997919,AR-C,AR-C,CABA
2005,Pampeana y AMBA,0.207702435454527,93499.1666694516,AR-C,AR-C,CABA
2006,Pampeana y AMBA,0.209961839361804,101686.547561911,AR-C,AR-C,CABA
2007,Pampeana y AMBA,0.214358694188302,112151.548462316,AR-C,AR-C,CABA
2008,Pampeana y AMBA,0.21608957876942,117275.687993353,AR-C,AR-C,CABA
2009,Pampeana y AMBA,0.223041772260542,114096.763036589,AR-C,AR-C,CABA
2010,Pampeana y AMBA,0.2147989718813,120865.312862531,AR-C,AR-C,CABA
2011,Pampeana y AMBA,0.213823581768616,126846.426742204,AR-C,AR-C,CABA
2012,Pampeana y AMBA,0.213685131792167,124964.352299507,AR-C,AR-C,CABA
2013,Pampeana y AMBA,0.20924205096678,125059.852577044,AR-C,AR-C,CABA
2014,Pampeana y AMBA,0.20872971251229,122488.535426325,AR-C,AR-C,CABA
2015,Pampeana y AMBA,0.206208577613482,124268.809338207,AR-C,AR-C,CABA
2016,Pampeana y AMBA,0.209106202579269,123225.134031753,AR-C,AR-C,CABA
2017,Pampeana y AMBA,0.208441392864596,126001.939019724,AR-C,AR-C,CABA
2018,Pampeana y AMBA,0.210970303115193,124104.459999484,AR-C,AR-C,CABA
2019,Pampeana y AMBA,0.204331960030008,118261.734548255,AR-C,AR-C,CABA
2020,Pampeana y AMBA,0.199665734686953,104115.608824856,AR-C,AR-C,CABA
2021,Pampeana y AMBA,0.197235378646253,113539.947859618,AR-C,AR-C,CABA
2022,Pampeana y AMBA,0.197283268789553,119159.71215748,AR-C,AR-C,CABA
1895,NOA,0.0100217923921715,174.23234322068,AR-K,AR-K,Catamarca
1914,NOA,0.0064094131870404,225.86531464432,AR-K,AR-K,Catamarca
1937,NOA,0.0032028048115378,241.35828961057,AR-K,AR-K,Catamarca
1946,NOA,0.0038604926495994,382.13589922479,AR-K,AR-K,Catamarca
1953,NOA,0.0035335604680279,425.01185041155,AR-K,AR-K,Catamarca
1965,NOA,0.0029908586859017,573.30163817137,AR-K,AR-K,Catamarca
1975,NOA,0.0044127389900696,1205.20830872681,AR-K,AR-K,Catamarca
1986,NOA,0.0043161881523918,1272.97353833849,AR-K,AR-K,Catamarca
1993,NOA,0.0058467415036937,2038.5673687245,AR-K,AR-K,Catamarca
2004,NOA,0.009360948863586,3857.95921624612,AR-K,AR-K,Catamarca
2005,NOA,0.0096653230667422,4350.93430827525,AR-K,AR-K,Catamarca
2006,NOA,0.0094672468415295,4585.0791227479,AR-K,AR-K,Catamarca
2007,NOA,0.0090477779158048,4733.75855942323,AR-K,AR-K,Catamarca
2008,NOA,0.0083937348001744,4555.43034111145,AR-K,AR-K,Catamarca
2009,NOA,0.0081228197366704,4155.21912909302,AR-K,AR-K,Catamarca
2010,NOA,0.0075618520606147,4254.98133031771,AR-K,AR-K,Catamarca
2011,NOA,0.0071254362903538,4227.01801613573,AR-K,AR-K,Catamarca
2012,NOA,0.0073846114862888,4318.56528167404,AR-K,AR-K,Catamarca
2013,NOA,0.0069094266598813,4129.6282247484,AR-K,AR-K,Catamarca
2014,NOA,0.0072505687640442,4254.84009069075,AR-K,AR-K,Catamarca
2015,NOA,0.006382182832967,3846.13613463823,AR-K,AR-K,Catamarca
2016,NOA,0.0065308267120805,3848.58022864819,AR-K,AR-K,Catamarca
2017,NOA,0.0062671372638365,3788.45792811959,AR-K,AR-K,Catamarca
2018,NOA,0.0061462455229246,3615.56328252667,AR-K,AR-K,Catamarca
2019,NOA,0.0056549541005362,3272.93234314382,AR-K,AR-K,Catamarca
2020,NOA,0.0056468306818099,2944.53735534188,AR-K,AR-K,Catamarca
2021,NOA,0.0059129888577846,3403.85407128948,AR-K,AR-K,Catamarca
2022,NOA,0.0062655691451475,3784.4233848081,AR-K,AR-K,Catamarca
1895,NEA,0.0030294849029459,52.66864775649,AR-H,AR-H,Chaco
1914,NEA,0.004821863288117,169.92065216587,AR-H,AR-H,Chaco
1937,NEA,0.0127808309412384,963.1431439926,AR-H,AR-H,Chaco
1946,NEA,0.0150662081367923,1491.34825962132,AR-H,AR-H,Chaco
1953,NEA,0.0186444397095464,2242.52786744111,AR-H,AR-H,Chaco
1965,NEA,0.017022131031182,3262.88087476192,AR-H,AR-H,Chaco
1975,NEA,0.0119294352767271,3258.17016285913,AR-H,AR-H,Chaco
1986,NEA,0.009343133473703,2755.57071593315,AR-H,AR-H,Chaco
1993,NEA,0.0131848548760707,4597.1272878654,AR-H,AR-H,Chaco
2004,NEA,0.0135803538038041,5596.91671012912,AR-H,AR-H,Chaco
2005,NEA,0.0138903969478771,6252.89027782605,AR-H,AR-H,Chaco
2006,NEA,0.0141556854456431,6855.73524081874,AR-H,AR-H,Chaco
2007,NEA,0.0142812103555711,7471.8679424609,AR-H,AR-H,Chaco
2008,NEA,0.0145380899061246,7890.08200006388,AR-H,AR-H,Chaco
2009,NEA,0.0146908510895482,7515.0880419476,AR-H,AR-H,Chaco
2010,NEA,0.0150415726064757,8463.74804824855,AR-H,AR-H,Chaco
2011,NEA,0.015766766611187,9353.30887905321,AR-H,AR-H,Chaco
2012,NEA,0.0145741959930553,8523.07761089154,AR-H,AR-H,Chaco
2013,NEA,0.0149623314521852,8942.69080700333,AR-H,AR-H,Chaco
2014,NEA,0.0164510359441618,9653.93606302013,AR-H,AR-H,Chaco
2015,NEA,0.0158375102330825,9544.26126364082,AR-H,AR-H,Chaco
2016,NEA,0.0160039492521973,9431.03919115832,AR-H,AR-H,Chaco
2017,NEA,0.0162188464244919,9804.22395985727,AR-H,AR-H,Chaco
2018,NEA,0.0164534084289922,9678.80947261149,AR-H,AR-H,Chaco
2019,NEA,0.0158130085532302,9152.13567009661,AR-H,AR-H,Chaco
2020,NEA,0.0165078869563796,8608.03033414859,AR-H,AR-H,Chaco
2021,NEA,0.0159772338637416,9197.4082554616,AR-H,AR-H,Chaco
2022,NEA,0.0163086493810732,9850.4752980292,AR-H,AR-H,Chaco
1895,Patagonia,0.0007271402194753,12.64158539027,AR-U,AR-U,Chubut
1914,Patagonia,0.0030227650443673,106.52110543011,AR-U,AR-U,Chubut
1937,Patagonia,0.0119797135089568,902.7722052029,AR-U,AR-U,Chubut
1946,Patagonia,0.0108199223062322,1071.02411928266,AR-U,AR-U,Chubut
1953,Patagonia,0.0098946918145566,1190.12008296089,AR-U,AR-U,Chubut
1965,Patagonia,0.0091945593210448,1762.45569403409,AR-U,AR-U,Chubut
1975,Patagonia,0.0151920794139635,4149.26429542962,AR-U,AR-U,Chubut
1986,Patagonia,0.0168065183783374,4956.74711385492,AR-U,AR-U,Chubut
1993,Patagonia,0.0135268755162708,4716.3786890265,AR-U,AR-U,Chubut
2004,Patagonia,0.0231644465061629,9546.84094422621,AR-U,AR-U,Chubut
2005,Patagonia,0.0221390358035665,9966.09112439513,AR-U,AR-U,Chubut
2006,Patagonia,0.0227073993361275,10997.4129090265,AR-U,AR-U,Chubut
2007,Patagonia,0.0214057971721311,11199.4211758721,AR-U,AR-U,Chubut
2008,Patagonia,0.0208615709689748,11321.9485268158,AR-U,AR-U,Chubut
2009,Patagonia,0.0209426998101341,10713.2140915382,AR-U,AR-U,Chubut
2010,Patagonia,0.0203541929692468,11453.1083633483,AR-U,AR-U,Chubut
2011,Patagonia,0.0200852993525108,11915.1892968965,AR-U,AR-U,Chubut
2012,Patagonia,0.0196541056453294,11493.839376637,AR-U,AR-U,Chubut
2013,Patagonia,0.0198329201688523,11853.7457505745,AR-U,AR-U,Chubut
2014,Patagonia,0.0207345183986082,12167.605468561,AR-U,AR-U,Chubut
2015,Patagonia,0.0203617748510546,12270.7481232719,AR-U,AR-U,Chubut
2016,Patagonia,0.0200271171646811,11801.8698940885,AR-U,AR-U,Chubut
