"geocodigoFundar","geonombreFundar","region_pbg","anio","pib_pc"
"AR-B","Buenos Aires","Pampeana y AMBA","1895","4413.34341"
"AR-B","Buenos Aires","Pampeana y AMBA","1914","4803.57149"
"AR-B","Buenos Aires","Pampeana y AMBA","1937","5497.82380"
"AR-B","Buenos Aires","Pampeana y AMBA","1946","6410.10310"
"AR-B","Buenos Aires","Pampeana y AMBA","1953","6734.00185"
"AR-B","Buenos Aires","Pampeana y AMBA","1965","8846.22757"
"AR-B","Buenos Aires","Pampeana y AMBA","1975","8589.21472"
"AR-B","Buenos Aires","Pampeana y AMBA","1986","9448.25036"
"AR-B","Buenos Aires","Pampeana y AMBA","1993","8931.99015"
"AR-B","Buenos Aires","Pampeana y AMBA","2004","8989.67216"
"AR-B","Buenos Aires","Pampeana y AMBA","2005","9720.21900"
"AR-B","Buenos Aires","Pampeana y AMBA","2006","10303.47031"
"AR-B","Buenos Aires","Pampeana y AMBA","2007","10916.25567"
"AR-B","Buenos Aires","Pampeana y AMBA","2008","11305.54762"
"AR-B","Buenos Aires","Pampeana y AMBA","2009","10469.71626"
"AR-B","Buenos Aires","Pampeana y AMBA","2010","11592.35822"
"AR-B","Buenos Aires","Pampeana y AMBA","2011","12168.55224"
"AR-B","Buenos Aires","Pampeana y AMBA","2012","11965.31966"
"AR-B","Buenos Aires","Pampeana y AMBA","2013","12052.15432"
"AR-B","Buenos Aires","Pampeana y AMBA","2014","11499.41868"
"AR-B","Buenos Aires","Pampeana y AMBA","2015","11730.85843"
"AR-B","Buenos Aires","Pampeana y AMBA","2016","11360.53740"
"AR-B","Buenos Aires","Pampeana y AMBA","2017","11527.33938"
"AR-B","Buenos Aires","Pampeana y AMBA","2018","11041.62139"
"AR-B","Buenos Aires","Pampeana y AMBA","2019","10656.22419"
"AR-B","Buenos Aires","Pampeana y AMBA","2020","9569.84538"
"AR-B","Buenos Aires","Pampeana y AMBA","2021","10540.11173"
"AR-B","Buenos Aires","Pampeana y AMBA","2022","11004.55531"
"AR-B","Buenos Aires","Pampeana y AMBA","2023","10702.96178"
"AR-C","CABA","Pampeana y AMBA","1895","5742.60588"
"AR-C","CABA","Pampeana y AMBA","1914","5821.13792"
"AR-C","CABA","Pampeana y AMBA","1937","9283.34686"
"AR-C","CABA","Pampeana y AMBA","1946","11455.92242"
"AR-C","CABA","Pampeana y AMBA","1953","11833.57414"
"AR-C","CABA","Pampeana y AMBA","1965","15821.46006"
"AR-C","CABA","Pampeana y AMBA","1975","25294.38260"
"AR-C","CABA","Pampeana y AMBA","1986","23579.44961"
"AR-C","CABA","Pampeana y AMBA","1993","28109.13425"
"AR-C","CABA","Pampeana y AMBA","2004","28503.20025"
"AR-C","CABA","Pampeana y AMBA","2005","31055.88308"
"AR-C","CABA","Pampeana y AMBA","2006","33728.91310"
"AR-C","CABA","Pampeana y AMBA","2007","37155.38142"
"AR-C","CABA","Pampeana y AMBA","2008","38808.88386"
"AR-C","CABA","Pampeana y AMBA","2009","37714.39716"
"AR-C","CABA","Pampeana y AMBA","2010","39903.42531"
"AR-C","CABA","Pampeana y AMBA","2011","41806.47664"
"AR-C","CABA","Pampeana y AMBA","2012","41117.36634"
"AR-C","CABA","Pampeana y AMBA","2013","41077.12704"
"AR-C","CABA","Pampeana y AMBA","2014","40162.34280"
"AR-C","CABA","Pampeana y AMBA","2015","40679.85947"
"AR-C","CABA","Pampeana y AMBA","2016","40272.95460"
"AR-C","CABA","Pampeana y AMBA","2017","41117.76637"
"AR-C","CABA","Pampeana y AMBA","2018","40441.29342"
"AR-C","CABA","Pampeana y AMBA","2019","38488.37047"
"AR-C","CABA","Pampeana y AMBA","2020","33760.29779"
"AR-C","CABA","Pampeana y AMBA","2021","36832.96690"
"AR-C","CABA","Pampeana y AMBA","2022","38642.00218"
"AR-C","CABA","Pampeana y AMBA","2023","38759.01190"
"AR-K","Catamarca","NOA","1895","1889.41266"
"AR-K","Catamarca","NOA","1914","2231.82551"
"AR-K","Catamarca","NOA","1937","1738.43251"
"AR-K","Catamarca","NOA","1946","2608.73862"
"AR-K","Catamarca","NOA","1953","2620.58454"
"AR-K","Catamarca","NOA","1965","3262.86725"
"AR-K","Catamarca","NOA","1975","6243.26837"
"AR-K","Catamarca","NOA","1986","5309.01153"
"AR-K","Catamarca","NOA","1993","7203.13828"
"AR-K","Catamarca","NOA","2004","11044.22790"
"AR-K","Catamarca","NOA","2005","12290.14373"
"AR-K","Catamarca","NOA","2006","12788.09840"
"AR-K","Catamarca","NOA","2007","13031.06177"
"AR-K","Catamarca","NOA","2008","12374.86920"
"AR-K","Catamarca","NOA","2009","11145.66165"
"AR-K","Catamarca","NOA","2010","11268.54779"
"AR-K","Catamarca","NOA","2011","11080.89719"
"AR-K","Catamarca","NOA","2012","11212.78390"
"AR-K","Catamarca","NOA","2013","10616.86081"
"AR-K","Catamarca","NOA","2014","10829.64241"
"AR-K","Catamarca","NOA","2015","9696.38583"
"AR-K","Catamarca","NOA","2016","9608.87865"
"AR-K","Catamarca","NOA","2017","9370.62962"
"AR-K","Catamarca","NOA","2018","8858.68164"
"AR-K","Catamarca","NOA","2019","7936.02310"
"AR-K","Catamarca","NOA","2020","7085.83093"
"AR-K","Catamarca","NOA","2021","8180.72810"
"AR-K","Catamarca","NOA","2022","9030.80308"
"AR-K","Catamarca","NOA","2023","9606.24958"
"AR-H","Chaco","NEA","1895","4941.03423"
"AR-H","Chaco","NEA","1914","3656.34163"
