"geocodigoFundar","geonombreFundar","region_pbg","anio","pib_pc_relativo"
"AR-B","Buenos Aires","Pampeana y AMBA","1895","102.68176"
"AR-B","Buenos Aires","Pampeana y AMBA","1914","107.94688"
"AR-B","Buenos Aires","Pampeana y AMBA","1937","98.53907"
"AR-B","Buenos Aires","Pampeana y AMBA","1946","101.31722"
"AR-B","Buenos Aires","Pampeana y AMBA","1953","102.06829"
"AR-B","Buenos Aires","Pampeana y AMBA","1965","102.83629"
"AR-B","Buenos Aires","Pampeana y AMBA","1975","81.92125"
"AR-B","Buenos Aires","Pampeana y AMBA","1986","98.53371"
"AR-B","Buenos Aires","Pampeana y AMBA","1993","86.88807"
"AR-B","Buenos Aires","Pampeana y AMBA","2004","83.60636"
"AR-B","Buenos Aires","Pampeana y AMBA","2005","83.62648"
"AR-B","Buenos Aires","Pampeana y AMBA","2006","83.25205"
"AR-B","Buenos Aires","Pampeana y AMBA","2007","82.49825"
"AR-B","Buenos Aires","Pampeana y AMBA","2008","83.22491"
"AR-B","Buenos Aires","Pampeana y AMBA","2009","82.61984"
"AR-B","Buenos Aires","Pampeana y AMBA","2010","84.03100"
"AR-B","Buenos Aires","Pampeana y AMBA","2011","84.63718"
"AR-B","Buenos Aires","Pampeana y AMBA","2012","85.38762"
"AR-B","Buenos Aires","Pampeana y AMBA","2013","85.10173"
"AR-B","Buenos Aires","Pampeana y AMBA","2014","83.61463"
"AR-B","Buenos Aires","Pampeana y AMBA","2015","83.96023"
"AR-B","Buenos Aires","Pampeana y AMBA","2016","84.03439"
"AR-B","Buenos Aires","Pampeana y AMBA","2017","83.99058"
"AR-B","Buenos Aires","Pampeana y AMBA","2018","83.51666"
"AR-B","Buenos Aires","Pampeana y AMBA","2019","82.74010"
"AR-B","Buenos Aires","Pampeana y AMBA","2020","83.27722"
"AR-B","Buenos Aires","Pampeana y AMBA","2021","83.82732"
"AR-B","Buenos Aires","Pampeana y AMBA","2022","84.07049"
"AR-B","Buenos Aires","Pampeana y AMBA","2023","83.81754"
"AR-C","CABA","Pampeana y AMBA","1895","133.60866"
"AR-C","CABA","Pampeana y AMBA","1914","130.81385"
"AR-C","CABA","Pampeana y AMBA","1937","166.38809"
"AR-C","CABA","Pampeana y AMBA","1946","181.07076"
"AR-C","CABA","Pampeana y AMBA","1953","179.36328"
"AR-C","CABA","Pampeana y AMBA","1965","183.92250"
"AR-C","CABA","Pampeana y AMBA","1975","241.24993"
"AR-C","CABA","Pampeana y AMBA","1986","245.90486"
"AR-C","CABA","Pampeana y AMBA","1993","273.43831"
"AR-C","CABA","Pampeana y AMBA","2004","265.08741"
"AR-C","CABA","Pampeana y AMBA","2005","267.18473"
"AR-C","CABA","Pampeana y AMBA","2006","272.52966"
"AR-C","CABA","Pampeana y AMBA","2007","280.79721"
"AR-C","CABA","Pampeana y AMBA","2008","285.68858"
"AR-C","CABA","Pampeana y AMBA","2009","297.61624"
"AR-C","CABA","Pampeana y AMBA","2010","289.25304"
"AR-C","CABA","Pampeana y AMBA","2011","290.78087"
"AR-C","CABA","Pampeana y AMBA","2012","293.42416"
"AR-C","CABA","Pampeana y AMBA","2013","290.05060"
"AR-C","CABA","Pampeana y AMBA","2014","292.02863"
"AR-C","CABA","Pampeana y AMBA","2015","291.15435"
"AR-C","CABA","Pampeana y AMBA","2016","297.90078"
"AR-C","CABA","Pampeana y AMBA","2017","299.59255"
"AR-C","CABA","Pampeana y AMBA","2018","305.89003"
"AR-C","CABA","Pampeana y AMBA","2019","298.84239"
"AR-C","CABA","Pampeana y AMBA","2020","293.78360"
"AR-C","CABA","Pampeana y AMBA","2021","292.93890"
"AR-C","CABA","Pampeana y AMBA","2022","295.20976"
"AR-C","CABA","Pampeana y AMBA","2023","303.53142"
"AR-K","Catamarca","NOA","1895","43.95947"
"AR-K","Catamarca","NOA","1914","50.15406"
"AR-K","Catamarca","NOA","1937","31.15843"
"AR-K","Catamarca","NOA","1946","41.23337"
"AR-K","Catamarca","NOA","1953","39.72060"
"AR-K","Catamarca","NOA","1965","37.93042"
"AR-K","Catamarca","NOA","1975","59.54635"
"AR-K","Catamarca","NOA","1986","55.36651"
"AR-K","Catamarca","NOA","1993","70.07025"
"AR-K","Catamarca","NOA","2004","102.71428"
"AR-K","Catamarca","NOA","2005","105.73645"
"AR-K","Catamarca","NOA","2006","103.32785"
"AR-K","Catamarca","NOA","2007","98.48064"
"AR-K","Catamarca","NOA","2008","91.09664"
"AR-K","Catamarca","NOA","2009","87.95394"
"AR-K","Catamarca","NOA","2010","81.68376"
"AR-K","Catamarca","NOA","2011","77.07210"
"AR-K","Catamarca","NOA","2012","80.01733"
"AR-K","Catamarca","NOA","2013","74.96695"
"AR-K","Catamarca","NOA","2014","78.74455"
"AR-K","Catamarca","NOA","2015","69.39908"
"AR-K","Catamarca","NOA","2016","71.07729"
"AR-K","Catamarca","NOA","2017","68.27634"
"AR-K","Catamarca","NOA","2018","67.00533"
"AR-K","Catamarca","NOA","2019","61.61914"
"AR-K","Catamarca","NOA","2020","61.66121"
"AR-K","Catamarca","NOA","2021","65.06273"
"AR-K","Catamarca","NOA","2022","68.99180"
"AR-K","Catamarca","NOA","2023","75.22892"
"AR-H","Chaco","NEA","1895","114.95913"
"AR-H","Chaco","NEA","1914","82.16609"
"AR-H","Chaco","NEA","1937","74.50406"
"AR-H","Chaco","NEA","1946","58.19604"
"AR-H","Chaco","NEA","1953","68.45359"
"AR-H","Chaco","NEA","1965","66.24649"
"AR-H","Chaco","NEA","1975","48.31152"
"AR-H","Chaco","NEA","1986","36.68864"
"AR-H","Chaco","NEA","1993","50.70319"
"AR-H","Chaco","NEA","2004","51.01618"
"AR-H","Chaco","NEA","2005","52.22828"
"AR-H","Chaco","NEA","2006","53.26599"
"AR-H","Chaco","NEA","2007","53.77996"
"AR-H","Chaco","NEA","2008","54.79561"
"AR-H","Chaco","NEA","2009","55.41226"
"AR-H","Chaco","NEA","2010","56.78194"
"AR-H","Chaco","NEA","2011","59.52016"
"AR-H","Chaco","NEA","2012","55.00218"
"AR-H","Chaco","NEA","2013","56.45722"
"AR-H","Chaco","NEA","2014","62.05878"
"AR-H","Chaco","NEA","2015","59.73068"
"AR-H","Chaco","NEA","2016","60.33397"
"AR-H","Chaco","NEA","2017","61.11539"
"AR-H","Chaco","NEA","2018","61.97282"
"AR-H","Chaco","NEA","2019","59.55244"
"AR-H","Chaco","NEA","2020","61.81382"
"AR-H","Chaco","NEA","2021","59.83886"
"AR-H","Chaco","NEA","2022","61.39360"
"AR-H","Chaco","NEA","2023","60.71800"
"AR-U","Chubut","Patagonia","1895","76.72631"
"AR-U","Chubut","Patagonia","1914","103.33934"
"AR-U","Chubut","Patagonia","1937","251.96465"
"AR-U","Chubut","Patagonia","1946","189.72520"
"AR-U","Chubut","Patagonia","1953","154.30406"
"AR-U","Chubut","Patagonia","1965","120.72264"
"AR-U","Chubut","Patagonia","1975","173.50531"
"AR-U","Chubut","Patagonia","1986","164.26644"
"AR-U","Chubut","Patagonia","1993","122.86254"
"AR-U","Chubut","Patagonia","2004","196.00543"
"AR-U","Chubut","Patagonia","2005","185.35409"
"AR-U","Chubut","Patagonia","2006","188.15963"
"AR-U","Chubut","Patagonia","2007","175.54570"
"AR-U","Chubut","Patagonia","2008","169.29792"
"AR-U","Chubut","Patagonia","2009","168.20723"
"AR-U","Chubut","Patagonia","2010","161.76240"
"AR-U","Chubut","Patagonia","2011","158.16426"
"AR-U","Chubut","Patagonia","2012","153.37690"
"AR-U","Chubut","Patagonia","2013","153.41664"
"AR-U","Chubut","Patagonia","2014","159.02575"
"AR-U","Chubut","Patagonia","2015","154.90018"
"AR-U","Chubut","Patagonia","2016","151.13669"
