region_pbg,var_participacion,provincia_id,geocodigoFundar,geonombreFundar
Pampeana y AMBA,0.0187520228898239,AR-B,AR-B,Buenos Aires
Pampeana y AMBA,-0.1059486282949,AR-C,AR-C,CABA
NOA,0.0027288066349584,AR-K,AR-K,Catamarca
NEA,-0.002344124923735,AR-H,AR-H,Chaco
Patagonia,0.0092473595879263,AR-U,AR-U,Chubut
NEA,-0.0011042998448989,AR-W,AR-W,Corrientes
Pampeana y AMBA,0.0190220301004348,AR-X,AR-X,Córdoba
Pampeana y AMBA,-0.0023205800486907,AR-E,AR-E,Entre Ríos
NEA,0.0012866801872657,AR-P,AR-P,Formosa
NOA,0.0020129327083427,AR-Y,AR-Y,Jujuy
Pampeana y AMBA,0.0005507467252715,AR-L,AR-L,La Pampa
NOA,0.002807193305168,AR-F,AR-F,La Rioja
Cuyo,-0.0067196909410656,AR-M,AR-M,Mendoza
NEA,0.0047367980787248,AR-N,AR-N,Misiones
Patagonia,0.0310823787425658,AR-Q,AR-Q,Neuquén
Patagonia,0.0042874816002964,AR-R,AR-R,Río Negro
NOA,0.0071614607420995,AR-A,AR-A,Salta
Cuyo,0.0009144330200302,AR-J,AR-J,San Juan
Cuyo,0.0050865447913772,AR-D,AR-D,San Luis
Patagonia,0.0092129704713116,AR-Z,AR-Z,Santa Cruz
Pampeana y AMBA,-0.0097995162157733,AR-S,AR-S,Santa Fe
NOA,0.0063739161451543,AR-G,AR-G,Santiago del Estero
Patagonia,0.0086643975152687,AR-V,AR-V,Tierra del Fuego
NOA,-0.0062023666557195,AR-T,AR-T,Tucumán
