"valor_fecha","medida_fecha","exp_vida_al_nacer","fuente"
"1950","año","61.2746","World Population Prospects (UN)"
"1951","año","61.7087","World Population Prospects (UN)"
"1952","año","62.4656","World Population Prospects (UN)"
"1953","año","62.4599","World Population Prospects (UN)"
"1954","año","63.0694","World Population Prospects (UN)"
"1955","año","62.7026","World Population Prospects (UN)"
"1956","año","63.5774","World Population Prospects (UN)"
"1957","año","63.22","World Population Prospects (UN)"
"1958","año","64.2017","World Population Prospects (UN)"
"1959","año","64.0997","World Population Prospects (UN)"
"1960","año","64.2423","World Population Prospects (UN)"
"1961","año","64.6314","World Population Prospects (UN)"
"1962","año","64.6184","World Population Prospects (UN)"
"1963","año","64.8554","World Population Prospects (UN)"
"1964","año","64.8161","World Population Prospects (UN)"
"1965","año","65.0531","World Population Prospects (UN)"
"1966","año","65.3976","World Population Prospects (UN)"
"1967","año","65.4672","World Population Prospects (UN)"
"1968","año","65.234","World Population Prospects (UN)"
"1969","año","65.0853","World Population Prospects (UN)"
"1970","año","65.6474","World Population Prospects (UN)"
"1971","año","65.6193","World Population Prospects (UN)"
"1972","año","65.953","World Population Prospects (UN)"
"1973","año","66.186","World Population Prospects (UN)"
"1974","año","66.4053","World Population Prospects (UN)"
"1975","año","66.9647","World Population Prospects (UN)"
"1976","año","67.0299","World Population Prospects (UN)"
"1977","año","67.5946","World Population Prospects (UN)"
"1978","año","67.9989","World Population Prospects (UN)"
"1979","año","68.4341","World Population Prospects (UN)"
"1980","año","68.5761","World Population Prospects (UN)"
"1981","año","68.8576","World Population Prospects (UN)"
"1982","año","68.9728","World Population Prospects (UN)"
"1983","año","69.2905","World Population Prospects (UN)"
"1984","año","69.3533","World Population Prospects (UN)"
"1985","año","69.8793","World Population Prospects (UN)"
"1986","año","70.2812","World Population Prospects (UN)"
"1987","año","70.6989","World Population Prospects (UN)"
"1988","año","71.0973","World Population Prospects (UN)"
"1989","año","71.5019","World Population Prospects (UN)"
"1990","año","71.6145","World Population Prospects (UN)"
"1991","año","72.0204","World Population Prospects (UN)"
"1992","año","72.0958","World Population Prospects (UN)"
"1993","año","72.3033","World Population Prospects (UN)"
"1994","año","72.7317","World Population Prospects (UN)"
"1995","año","72.8644","World Population Prospects (UN)"
"1996","año","73.0565","World Population Prospects (UN)"
"1997","año","73.4071","World Population Prospects (UN)"
"1998","año","73.4121","World Population Prospects (UN)"
"1999","año","73.6833","World Population Prospects (UN)"
"2000","año","73.91","World Population Prospects (UN)"
"2001","año","74.1542","World Population Prospects (UN)"
"2002","año","74.3122","World Population Prospects (UN)"
"2003","año","74.3073","World Population Prospects (UN)"
"2004","año","74.8713","World Population Prospects (UN)"
"2005","año","75.2306","World Population Prospects (UN)"
"2006","año","75.2791","World Population Prospects (UN)"
"2007","año","74.7827","World Population Prospects (UN)"
"2008","año","75.4281","World Population Prospects (UN)"
"2009","año","75.5773","World Population Prospects (UN)"
"2010","año","75.68","World Population Prospects (UN)"
"2011","año","76.0998","World Population Prospects (UN)"
"2012","año","75.8024","World Population Prospects (UN)"
"2013","año","75.8292","World Population Prospects (UN)"
"2014","año","76.2678","World Population Prospects (UN)"
"2015","año","76.5995","World Population Prospects (UN)"
"2016","año","76.105","World Population Prospects (UN)"
"2017","año","76.5434","World Population Prospects (UN)"
"2018","año","76.7698","World Population Prospects (UN)"
"2019","año","76.8475","World Population Prospects (UN)"
"2020","año","75.8781","World Population Prospects (UN)"
"2021","año","73.9485","World Population Prospects (UN)"
"2022","año","75.8061","World Population Prospects (UN)"
"2023","año","77.3947","World Population Prospects (UN)"
"2024","año","77.5434","World Population Prospects (UN)"
"2025","año","77.6894","World Population Prospects (UN)"
"1869-1895","período","32.86","INDEC"
"1895-1914","período","40.04","INDEC"
"1913-1915","período","46.3","INDEC"
"1946-1948","período","59","INDEC"
"1970-1975","período","67.37","INDEC"
"1980-1981","período","68.88","INDEC"
"1990-1992","período","71.93","INDEC"
"2000-2001","período","73.77","INDEC"
"2008-2010","período","75.34","INDEC"
